gm_id;gc_ids;role;policy
GM-006;GC-001;prérequis premières étoiles;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-007;GC-001;production C;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-008;GC-001;production alpha;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-009;GC-001|GC-003;pic du fer/explosions;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-010;GC-001|GC-002;s-process/AGB;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-011;GC-001|GC-003;r-process;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-012;GC-003|GC-017;26Al;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-013;GC-002|GC-003|GC-004|GC-011;grains réfractaires;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-014;GC-006;chimie H2 sur grains;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-015;GC-006|GC-008;glaces;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-016;GC-006|GC-008;organiques;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-017;GC-013;agrégats;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-018;GC-014;galets;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-019;GC-015;concentrations;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-020;GC-016;planétésimaux;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-021;GC-017;chauffage 26Al;"extension sans réécriture; GM demeure l’autorité qualitative historique"
GM-022;GC-018;différenciation;"extension sans réécriture; GM demeure l’autorité qualitative historique"
