record_id,stage_id,source_id,evidence_mode,quantity,value_numeric,uncertainty_minus,uncertainty_plus,unit,sample_n,value_text,scope_note
M001,GC-E00,S001,astronomical_observation,primordial_D_over_H,2.527e-05,3e-07,3e-07,ratio,7,,Combinaison de sept mesures D/H haute précision homogénéisées.
M002,GC-E00,S002,astronomical_observation,primordial_helium_mass_fraction,0.2448,0.0033,0.0033,fraction,7,,Sept régions H II extragalactiques pauvres en métaux.
M003,GC-E01,S003,astronomical_observation,Ti44_line_energy_1,67.9,,,keV,,,
M004,GC-E01,S003,astronomical_observation,Ti44_line_energy_2,78.4,,,keV,,,
M005,GC-E01,S003,astronomical_observation,Ti44_initial_mass,0.00031,8e-05,8e-05,solar_mass,,,
M006,GC-E01,S004,astronomical_observation,CasA_K_detection_sigma,6.0,,,sigma,,>6,
M007,GC-E01,S004,astronomical_observation,CasA_Cl_detection_sigma,5.0,,,sigma,,≥5,
M008,GC-E01,S004,astronomical_observation,CasA_P_detection_sigma,4.0,,,sigma,,marginal ≥4,
M009,GC-E04,S005,astronomical_observation,dense_cloud_ice_budget_min,2,,,percent,,,
M010,GC-E04,S005,astronomical_observation,dense_cloud_ice_budget_max,19,,,percent,,,
M011,GC-E04,S005,astronomical_observation,prestellar_lines_of_sight,2,,,count,,,
M012,GC-E04,S006,astronomical_observation,dense_cloud_grain_scale,1,,,micrometre,,micrometre-scale,Article: les grains atteignent des tailles micrométriques avant la phase protostellaire.
M013,GC-E05,S007,astronomical_observation,streamer_length_lower_bound,10500,,,au,,>10500,
M014,GC-E06,S008,astronomical_observation,V883_D2O_over_H2O,3.2e-05,1.2e-05,1.2e-05,ratio,,,
M015,GC-E06,S008,astronomical_observation,V883_double_to_single_deuteration_ratio,2.3,1.0,1.0,ratio,,,
M016,GC-E06,S009,spacecraft_observation,67P_HDO_over_H2O,0.00105,0.00014,0.00014,ratio,,,
M017,GC-E06,S009,spacecraft_observation,67P_D2O_over_HDO,0.018,0.009,0.009,ratio,,,
M018,GC-E03,S010,returned_sample_measurement,Bennu_O_rich_presolar_grains,7,,,count,,,
M019,GC-E03,S010,returned_sample_measurement,Bennu_SiC_presolar_grains,39,,,count,,,
M020,GC-E03,S010,returned_sample_measurement,Bennu_graphite_presolar_grains,6,,,count,,,
M021,GC-E03,S010,returned_sample_measurement,Bennu_SiC_abundance,25,4,5,ppm,,,
M022,GC-E03,S010,returned_sample_measurement,Bennu_graphite_abundance,12,5,7,ppm,,,
M023,GC-E03,S010,returned_sample_measurement,Bennu_O_rich_abundance,4,2,2,ppm,,,
M024,GC-E08,S011,returned_sample_measurement,rocky_material_O17_O18_enrichment_vs_sun,7,,,percent,,~7,
M025,GC-E08,S012,meteorite_isotope_measurement,iron_meteorite_groups_Pd,6,,,groups,,,
M026,GC-E08,S013,meteorite_isotope_measurement,NC_CC_separation_start,1,,,Myr_after_solar_start,,~1,
M027,GC-E08,S013,meteorite_isotope_measurement,NC_CC_separation_end_min,3,,,Myr_after_solar_start,,~3,
M028,GC-E08,S013,meteorite_isotope_measurement,NC_CC_separation_end_max,4,,,Myr_after_solar_start,,~4,
M029,GC-E08,S014,meteorite_isotope_measurement,EC002_PbPb_age,4565.56,0.12,0.12,Ma,,,
M030,GC-E08,S014,meteorite_isotope_measurement,Al26_heterogeneity_factor_min,3,,,factor,,3–4,
M031,GC-E08,S014,meteorite_isotope_measurement,Al26_heterogeneity_factor_max,4,,,factor,,3–4,
M032,GC-E08,S015,meteorite_isotope_measurement,outer_disk_mu30Si_mu26Mg_slope,0.83,0.17,0.17,slope_2SE,,,
M033,GC-E10,S016,meteoritic_chronometry,CAI_PbPb_age,4567.3,0.16,0.16,Ma,,,
M034,GC-E10,S016,meteoritic_chronometry,chondrule_oldest_PbPb_age,4567.32,0.42,0.42,Ma,,,
M035,GC-E10,S016,meteoritic_chronometry,chondrule_youngest_PbPb_age,4564.71,0.3,0.3,Ma,,,
M036,GC-E13,S017,meteoritic_chronometry,angrite_PbPb_age,4566.2,0.1,0.1,Ma,,,4.5662 ± 0.0001 Gyr converti en Ma.
M037,GC-E13,S017,meteoritic_chronometry,angrite_Mg26_excess_detected,1,,,boolean,,true,
M038,GC-E14,S018,meteoritic_chronometry,CM_carbonate_age,4563.4,0.5,0.4,Ma,,,
M039,GC-E11,S019,laboratory_experiment,basalt_bead_diameter,0.5,,,mm,,,
M040,GC-E11,S019,laboratory_experiment,largest_cluster_length,3,,,cm,,~3,
M041,GC-E11,S019,laboratory_experiment,erosion_threshold_velocity,0.5,0.1,0.1,m_per_s,,,
M042,GC-E12,S020,laboratory_experiment,instability_min_observed_wavelength,3,,,cm,,~3,
M043,GC-E12,S020,laboratory_experiment,observed_frequency_lower,300,,,Hz,,>300,
M044,GC-E12,S020,laboratory_experiment,sampling_Nyquist_upper,500,,,Hz,,,
M045,GC-E15,S021,astronomical_observation,TMC1A_age,100000,,,yr,,~100000,
M046,GC-E15,S021,astronomical_observation,TMC1A_inner_region,15,,,au,,~15,
M047,GC-E15,S022,astronomical_observation,IRS63_age_upper,500000,,,yr,,<500000,
M048,GC-E15,S022,astronomical_observation,IRS63_annular_substructures,4,,,count,,,
M049,GC-E15,S022,astronomical_observation,IRS63_resolution,5,,,au,,~5,
M050,GC-E15,S023,astronomical_observation,DSHARP_disks,20,,,count,,,
M051,GC-E15,S023,astronomical_observation,DSHARP_resolution,5,,,au,,~5,
M052,GC-E07,S024,astronomical_observation,HOPS315_refractory_detection_radius_upper,2.2,,,au,,<2.2,
M053,GC-E07,S024,astronomical_observation,HOPS315_warm_SiO_detected,1,,,boolean,,true,
