section,sample,institution,iso1_value,iso1_sigma,iso2_value,iso2_sigma,ratio_proxy,diameter_um,phase
oxygen,OREX-501018-100,JSC,2746.328,359.1664,-261.2091,68.94604,0.0009382189,0.1703693,oxide
oxygen,OREX-501018-100,JSC,1601.482,383.782,97.71624,108.3023,0.00833991,0.2646225,silicate
oxygen,OREX-501018-100,JSC,-689.2642,106.0822,-22.15852,79.05389,0.01046037,0.2646225,silicate
oxygen,OREX-501018-100,JSC,104.4762,115.9176,-261.6475,41.39898,0.01656998,0.394476,silicate
oxygen,OREX-501080-0,UA,8067.241557311052,386.9540679730989,-50.98906906628753,52.514967905516876,,0.229,
oxygen,OREX-501080-0,UA,467.79445809386175,95.20791689361614,58.29850826300343,35.17835498835401,,0.268,
oxygen,OREX-501049-100,UA,82.36453835838553,27.19569674096447,91.13534036718818,11.53058332608804,,0.195,
carbon_nitrogen,OREX-501018-100,JSC,210.5564,35.81968,,,0.04813145,0.2789366,graphite
carbon_nitrogen,OREX-501018-100,JSC,313.4378,53.31599,,,0.05662861,0.2646225,graphite
carbon_nitrogen,OREX-501018-100,JSC,-736.7081,31.29254,,,0.06993631,0.3180367,graphite
carbon_nitrogen,OREX-501018-100,JSC,621.0652,102.0714,,,0.1495747,0.2160634,graphite
carbon_nitrogen,OREX-501018-100,JSC,647.3762,156.1193,,,0.1564142,0.176415,graphite
carbon_nitrogen,OREX-501018-100,JSC,596.3499,77.13771,,,0.1322897,0.2494885,graphite
carbon_nitrogen,OREX-501018-100,JSC,894.9453,143.242,,,0.3940938,0.2646225,SiC
carbon_nitrogen,OREX-501018-100,JSC,686.0203,135.9063,,,0.9070242,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,178.3041,49.16307,,,1.007351,0.2789366,SiC
carbon_nitrogen,OREX-501018-100,JSC,5513.103,370.0837,,,0.8141242,0.2646225,SiC
carbon_nitrogen,OREX-501018-100,JSC,823.305,116.4679,,,0.749739,0.3300423,SiC
carbon_nitrogen,OREX-501018-100,JSC,-251.8879,56.6239,,,0.4365293,0.2646225,SiC
carbon_nitrogen,OREX-501018-100,JSC,682.6149,137.2527,,,0.4770904,0.2333751,SiC
carbon_nitrogen,OREX-501018-100,JSC,1435.306,196.4343,,,0.7651398,0.2646225,SiC
carbon_nitrogen,OREX-501018-100,JSC,2064.269,153.0921,,,0.6117444,0.2646225,SiC
carbon_nitrogen,OREX-501018-100,JSC,736.4848,150.0842,,,0.7993908,0.2160634,SiC
carbon_nitrogen,OREX-501018-100,JSC,1213.822,168.6824,,,1.233037,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,412.67,75.88193,,,0.3850206,0.2160634,SiC
carbon_nitrogen,OREX-501018-100,JSC,1208.966,148.3835,,,1.302534,0.2789366,SiC
carbon_nitrogen,OREX-501018-100,JSC,232.0071,67.66869,,,0.9111949,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,998.3566,92.09951,,,0.6345813,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,1926.858,155.6462,,,0.5498245,0.2789366,SiC
carbon_nitrogen,OREX-501018-100,JSC,-428.9038,56.44877,,,1.012919,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,1467.011,184.8196,,,1.051025,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,974.0563,137.3748,,,0.5086927,0.2494885,SiC
carbon_nitrogen,OREX-501018-100,JSC,-621.6468,97.89236,,,1.036773,0.197238,SiC
carbon_nitrogen,OREX-501018-100,JSC,2455.548,231.1328,,,0.8313077,0.2789366,SiC
carbon_nitrogen,OREX-501018-100,JSC,3727.216,176.5069,,,0.4559945,0.3055598,SiC
carbon_nitrogen,OREX-501049-100,UA,418.74844060633995,64.76461716498675,599.420188780131,89,,0.176,likely SiC
