chondrule_name,meteorite,type,reference,epsilon54Cr,epsilon54Cr_2sigma,epsilon50Ti,epsilon50Ti_2sigma,Delta17O,Delta17O_2sigma_or_2SD,comment,mean_size_mm
AL1,Allende,CV3.6,This study,0.64,0.11,4.3,0.26,-4.1020811706973355,0.19811131948454855,,1.7
AL2,Allende,CV3.6,This study,0.63,0.11,-0.71,0.35,-0.09145144885068035,0.1643586137951092,,2.5
AL3,Allende,CV3.6,This study,1.07,0.08,2.24,0.19,-9.429483524859384,1.7175626352370708,,2.2
AL4,Allende,CV3.6,This study,,,,,-3.681727979514144,0.14632123751821488,,2.8
AL5,Allende,CV3.6,This study,,,,,-0.013432708045583164,0.19134164671697942,,1.5
MSc2,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),1.24,0.14,4.85,0.16,-5.21,1.29,,1.5
MSc3,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),0.71,0.19,-0.15,0.14,-5.95,0.75,,1.2
MSc5,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),1.16,0.21,1.73,0.18,-4.82,1.22,,1.2
MSc8,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),1.43,0.16,-0.05,0.08,-2.98,1.21,,1.9
MSc10,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),0.82,0.15,1.3,0.11,-4.99,1.9,,1.4
MSc12,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),0.09,0.11,1.56,0.2,-5.43,1.45,,1.8
MSc14,Allende,CV3.6,Gerber et al. (2017) + Schneider et al. (2020),0.44,0.32,7.32,0.09,-5.74,1.13,,1.8
MSc31,Allende,CV3.6,Gerber et al. (2017),,,-0.33,0.36,,,,0.6
MSc33,Allende,CV3.6,Gerber et al. (2017),,,0.31,0.24,,,,0.9
MSc35,Allende,CV3.6,Gerber et al. (2017),,,2.71,0.15,,,,1
MSc36,Allende,CV3.6,Gerber et al. (2017),,,1.27,0.32,,,,0.9
MSc37,Allende,CV3.6,Gerber et al. (2017),,,0.61,0.36,,,,0.7
MSc40,Allende,CV3.6,Gerber et al. (2017),,,3.45,0.36,,,,0.7
MSc41,Allende,CV3.6,Gerber et al. (2017),,,0.32,0.16,,,,1
ALL-C1,Allende,CV3.6,Williams et al. (2020),-0.54,0.07,-1.26,0.23,-0.08,0.26,,3.2805755395683454
ALL-C2,Allende,CV3.6,Williams et al. (2020),0.86,0.07,2.05,0.23,-2.43,0.17,,2.3020833333333335
ALL-C3,Allende,CV3.6,Williams et al. (2020),0.73,0.25,2.32,0.54,-3.18,0.24,,1.2598425196850394
ALL-C4,Allende,CV3.6,Williams et al. (2020),0.72,0.12,2.38,0.23,-3.03,0.24,,1.489495798319328
ALL-C5,Allende,CV3.6,Williams et al. (2020),-0.6,0.09,-1.17,0.23,-2.04,0.26,,1.8135593220338984
ALL-C6,Allende,CV3.6,Williams et al. (2020),0.11,0.08,8.42,0.26,-10.012504265196736,0.4729285744920794,Maximum value (heterogeneous O-isotope),2.0549450549450547
ALL-C7,Allende,CV3.6,Williams et al. (2020),-0.23,0.1,1.76,0.3,-5.28,0.21,,1.8864864864864863
ALL-C8,Allende,CV3.6,Williams et al. (2020),-0.55,0.08,,,0.04,0.26,,2.892018779342723
ALL-C9,Allende,CV3.6,Williams et al. (2020),-0.67,0.07,,,-0.18,0.21,,2.7301587301587302
ALL-C11,Allende,CV3.6,Williams et al. (2020),0.69,0.15,,,-2.89,0.21,,2.7884615384615383
ALL-C12,Allende,CV3.6,Williams et al. (2020),-0.63,0.1,-1.77,0.21,,,,
ALL-C13,Allende,CV3.6,Williams et al. (2020),-0.64,0.16,-2.32,0.21,,,,
ALL-C14,Allende,CV3.6,Williams et al. (2020),0.44,0.22,3.62,0.21,,,,
C30,Allende,CV3.6,Connelly et al. (2012),-0.58,0.09,,,,,,3.985549132947977
C20,Allende,CV3.6,Connelly et al. (2012),-0.36,0.09,,,,,,3.789473684210526
C1,NWA5697,L3.10,Connelly et al. (2012),-0.6,0.09,,,,,,
C3,NWA5697,L3.10,Connelly et al. (2012),-0.87,0.09,,,,,,
C2,NWA5697,L3.10,Connelly et al. (2012),-0.24,0.09,,,,,,
V1,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.02,0.2,,,,,,2.0304487179487176
V2,Vigarano,CV3.1-3.4,Olsen et al. (2016),1.14,0.2,,,,,,
V3,Vigarano,CV3.1-3.4,Olsen et al. (2016),2.01,0.13,,,,,,
V4,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.12,0.1,,,,,,
V6,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.33,0.2,,,,,,2.0196428571428573
V7,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.01,0.14,,,,,,3.016666666666666
V9,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.84,0.11,,,,,,
V11,Vigarano,CV3.1-3.4,Olsen et al. (2016),0.18,0.02,,,,,,2.01158940397351
V12,Vigarano,CV3.1-3.4,Olsen et al. (2016),1.41,0.17,,,,,,2.7072649572649574
V15,Vigarano,CV3.1-3.4,Olsen et al. (2016),-0.79,0.1,,,,,,2.7991452991453
CV1,NWA3118,CV3,Olsen et al. (2016),,,,,,,,1.95
CV2,NWA3118,CV3,Olsen et al. (2016),0.75,0.1,,,,,,
CV3,NWA3118,CV3,Olsen et al. (2016),0.88,0.15,,,,,,3.338541666666667
CV4,NWA3118,CV3,Olsen et al. (2016),,,,,,,,
CV5,NWA3118,CV3,Olsen et al. (2016),,,,,,,,1.5980113636363635
CV6,NWA3118,CV3,Olsen et al. (2016),0.33,0.11,,,,,,
CV9,NWA3118,CV3,Olsen et al. (2016),0.56,0.08,,,,,,
CV10,NWA3118,CV3,Olsen et al. (2016),0.81,0.1,,,,,,
CV11,NWA3118,CV3,Olsen et al. (2016),1.19,0.12,,,,,,
