PGD ID,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),Density min (g/cm^3),Density max (g/cm^3),12C/13C,err[12C/13C],14N/15N,err[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
Gra-1995-HOP-000001,LD,KE1-101,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,88.4,1.2,214,9,,,,,,,,
Gra-1995-HOP-000002,LD,KE1-102,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.8,,1.6,2.05,92.5,1.2,264,6,,,,,,,,
Gra-1995-HOP-000003,LD,KE1-112,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.6,,1.6,2.05,87.7,0.9,220,5,,,,,,,,
Gra-1995-HOP-000004,LD,KE1-121,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.3,,1.6,2.05,89.3,0.8,267,7,,,,,,,,
Gra-1995-HOP-000005,LD,KE1-133,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.1,,1.6,2.05,121.5,0.9,263,10,,,,,,,,
Gra-1995-HOP-000006,LD,KE1-141,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.1,,1.6,2.05,89.7,0.6,299,5,,,,,,,,
Gra-1995-HOP-000007,LD,KE1-142,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,12.9,,1.6,2.05,90.6,0.6,221,4,,,,,,,,
Gra-1995-HOP-000008,LD,KE1-143,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,1.6,2.05,721.7,22.4,134,6,,,,,,,,
Gra-1995-HOP-000009,LD,KE1-151,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.4,,1.6,2.05,14,0.1,240,28,,,,,,,,
Gra-1995-HOP-000010,LD,KE1-314,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,1.6,2.05,86.4,0.8,163,1,,,,,,,,
Gra-1995-HOP-000011,LD,KE1-352,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.1,,1.6,2.05,88.3,0.7,285,5,,,,,,,,
Gra-1995-HOP-000012,LD,KE1-551,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.9,,1.6,2.05,89,0.6,208,4,,,,,,,,
Gra-1995-HOP-000013,LD,KE1-552,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.2,,1.6,2.05,90.7,0.8,223,4,,,,,,,,
Gra-1995-HOP-000014,LD,KE1a-071,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,4.923,0.034,500,50,,,,,,,,
Gra-1995-HOP-000015,LD,KE1a-073,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,94.3,5,274,3,,,,,,,,
Gra-1995-HOP-000016,LD,KE1a-074,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,90.7,1.1,288,3,,,,,,,,
Gra-1995-HOP-000017,LD,KE1a-075,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,113,1.9,184,3,0.1,0.0071,-125,467,-887,155,,
Gra-1995-HOP-000018,LD,KE1a-076,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,89.5,0.7,300,9,,,,,,,,
