PGD ID,PGD Type,PGD Subtype,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),12C/13C,err+[12C/13C],err-[12C/13C],14N/15N,err+[14N/15N],err-[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
SiC-1992-AMA-000001,X,X1,X,X1 (KJG2-422),Amari et al. (1992) ApJL 394:L43,full,Murchison,WU 3f,4.5,3,1135.2433189143,58.0727861825,58.0727861825,18.111922396237,0.21246732383367,0.21246732383367,0.2,0.012,-375.85,4.17877927782394,-585.46,4.31526404142657,,
SiC-1992-AMA-000002,X,X2,X,X2 (KJH1-166),Amari et al. (1992) ApJL 394:L43,full,Murchison,WU 3f & ANU SHRIMP,5,4.5,303.77785891684,3.0590362990431,3.0590362990431,105.88145207687,0.67965971481806,0.67965971481806,0.23252,0.032095127,-458.65,2.33703415639136,-454.33,2.4051759502914,0.159,0.017
SiC-1992-AMA-000003,X,X1,X,X3 (KJG4-052),Amari et al. (1992) ApJL 394:L43,full,Murchison,WU 3f,2.5,2,190.77694979246,7.2921152802958,7.2921152802958,71,3,3,0.0979,0.014,-317.6,10.6930731242905,-517.4,11.4903736735833,,
SiC-1992-AMA-000004,X,X1,X,X4 (KJH8-511),Amari et al. (1992) ApJL 394:L43,full,Murchison,WU 3f,9,9,2525.3043067449,143,143,12.60605793266,0.14881706646453,0.14881706646453,0.60506290095363,0.035093264480732,-363.43,2.00350944916077,-529.46,2.23847043472178,,
SiC-1992-AMA-000005,X,X1,X,X5 (KJH10-621),Amari et al. (1992) ApJL 394:L43,full,Murchison,WU 3f,5,3.5,167.84240917691,3.8746743522856,3.8746743522856,158.74877013359,8.366418504813,8.366418504813,0.22637045513514,0.012263785945946,-248.59,4.70106100980147,-387.5,7.72463755668345,,
SiC-1992-VIR-000001,M,,M,LS+LU-1,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,7,2.5,92.9786260734382,0.579908270728305,0.579908270728305,289.36170212766,25.5500226346763,25.5500226346763,,,3,3.1,2.9,3.1,,
SiC-1992-VIR-000002,M,,M,LS+LU-2,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,6,2,90.4402813778034,0.548677136771305,0.548677136771305,289.97867803838,43.8986911316097,43.8986911316097,,,9.1,4.3,8,6.4,,
SiC-1992-VIR-000003,M,,M,LS+LU-3,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,14,8,48.5588698602864,0.13181017877385,0.13181017877385,2014.81481481481,179.094650205761,179.094650205761,,,44.2,2.2,52.3,2.3,,
SiC-1992-VIR-000004,M,,M,LS+LU-4,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,7,5,48.8239291935849,0.133253081860221,0.133253081860221,715.789473684211,60.2770083102493,60.2770083102493,,,43.4,2.8,47,2.9,,
SiC-1992-VIR-000005,M,,M,LS+LU-5,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,1.5,1,57.3735973589786,0.404816915297475,0.404816915297475,,,,,,75.9,4.8,53.9,3.8,,
SiC-1992-VIR-000006,M,,M,LS+LU-6,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,3.5,2.5,94.0540886252866,0.89010178509735,0.89010178509735,,,,,,78.6,3.7,71.5,3.8,,
SiC-1992-VIR-000007,M,,M,LS+LU-7,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,4,2,48.3750342253367,0.261628092078619,0.261628092078619,353.246753246753,24.7731489289931,24.7731489289931,,,42.8,2.8,52.9,6,,
SiC-1992-VIR-000008,AB,AB1,AB,LS+LU-8,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,3,2,3.02364404984949,0.0196247602451187,0.0196247602451187,101.228135467064,3.99336894659797,3.99336894659797,0.0021,0.0002,-15.9,2.4,-9.7,3.1,,
SiC-1992-VIR-000009,M,,M,LS+LU-9,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,4,3.7,94.1530929291027,1.18930222647288,1.18930222647288,906.666666666667,114.844444444444,114.844444444444,,,-5.9,3.4,24.7,3.4,,
SiC-1992-VIR-000010,M,,M,LS+LU-10,Virag et al. (1992) GCA 56:1715,partial,Murchison,WU 3f & ANU SHRIMP,10,3,91.5511139024028,0.562238161120181,0.562238161120181,284.221525600836,29.1052345965328,29.1052345965328,,,1,2.5,-1.1,3.1,,
SiC-1992-VIR-000011,M,,M,LS+LU-11,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,12,11,92.8820750598625,0.385803011671288,0.385803011671288,248.175182481752,7.69886514998135,7.69886514998135,,,-2.2,2.5,-2.5,2.2,,
SiC-1992-VIR-000012,M,,M,LS+LU-12,Virag et al. (1992) GCA 56:1715,full,Murchison,WU 3f,17,11,48.6380849824076,0.238033042328259,0.238033042328259,715.789473684211,94.1828254847645,94.1828254847645,,,35.9,3.8,43.1,3.3,,
