Chondrites,Reservoir,Group,17O,48Ca,50Ti,54Cr,54Fe,64Ni,66Zn,96Zr,94Mo,95Mo,100Ru,17O_uncertainty,48Ca_uncertainty,50Ti_uncertainty,54Cr_uncertainty,54Fe_uncertainty,64Ni_uncertainty,66Zn_uncertainty,96Zr_uncertainty,94Mo_uncertainty,95Mo_uncertainty,100Ru_uncertainty
CI,CC,,0.41,2.07,1.91,1.474,0.031,0.62,0.3,0.81,0.79,0.69,-0.24,0.11,0.072,0.06,0.092,0.016,0.1,0.07,0.16,0.41,0.25,0.13
CM,CC,,-2.92,3.13,2.95,0.977,0.228,0.367,0.25,1.23,2.33,1.42,-0.69,0.44,0.14,0.1,0.059,0.027,0.086,0.05,0.07,0.9,0.22,0.24
CO,CC,,-4.32,3.87,3.41,0.84,0.163,0.26,0.24,1.09,1.31,0.75,-0.92,0.26,0.56,0.35,0.13,0.045,0.11,0.02,0.07,0.25,0.17,0.45
CV,CC,,-3.62,2.51,3.35,0.91,0.269,0.3,0.29,1.16,1.11,1.01,-1.06,0.48,0.02,0.14,0.03,0.036,0.03,0.04,0.16,0.04,0.03,0.08
CK,CC,,-4.46,,3.6,0.52,0.27,,,1.18,1.62,1.22,-1.1,0.21,,0.51,0.062,0.045,,,0.05,0.07,0.15,0.09
CR,CC,,-1.48,2.1,2.22,1.29,0.323,0.26,0.3,1.18,2.22,1.32,-0.95,0.55,0.02,0.24,0.06,0.046,0.15,0.03,0.09,0.27,0.19,0.13
CH,CC,,-1.55,,2.11,1.49,0.155,,,1.11,1.33,1.14,-0.91,0.27,,0.17,0.05,0.066,,,0.09,0.04,0.03,0.13
CB,CC,,-2.14,,1.85,1.282,,0.19,,1.12,,,-1.05,0.38,,0.16,0.046,,0.18,,0.15,,,0.09
CL,CC,,,,2.59,0.735,,,,0.89,,,,,,0.14,0.061,,,,0.18,,,
IIC,CC,,,,,,0.35,0.39,,,2.38,1.57,-1,,,,,0.05,0.1,,,0.04,0.03,0.02
IID,CC,,,,,,0.27,0.23,0.23,,1.18,1.01,-1,,,,,0.03,0.22,0.03,,0.07,0.03,0.05
IIF,CC,,,,,,,,,,1.1,0.96,-1,,,,,,,,,0.08,0.05,0.05
IIIF,CC,,,,,,,0.12,,,1.18,0.95,-0.91,,,,,,0.04,,,0.04,0.03,0.11
