group,lab_id,sample_name,sample_note,epsilon46Ti,epsilon46Ti_2sigma,epsilon48Ti,epsilon48Ti_2sigma,epsilon50Ti,epsilon50Ti_2sigma,Ti_reference,epsilon53Cr,epsilon53Cr_2sigma,epsilon54Cr,epsilon54Cr_2sigma,Cr_reference,epsilon94Mo,epsilon94Mo_2sigma,epsilon95Mo,epsilon95Mo_2sigma,Mo_reference
Terrestrial rocks,BHVO-2,BHVO-2,Ocean island basalt,-0.01,0.04,0.02,0.03,-0.1,0.03,this study,0.14,0.09,0.2,0.12,this study,0.03,0.04,0.04,0.02,2
Terrestrial rocks,JB-2,JB-2,Arc basalt,-0.04,0.02,0.01,0.02,-0.02,0.03,this study,,,,,,0.06,0.07,0.13,0.04,9
Terrestrial rocks,JA-2,JA-2,Andesite,-0.12,0.07,0.01,0.05,0.01,0.09,this study,0.04,0.05,0.17,0.12,this study,0.09,0.04,0.12,0.04,7
Terrestrial rocks,DTS-2a,DTS-2a,Dunite,,,,,,,,0.08,0.04,0.13,0.16,this study,,,,,
Terrestrial rocks,DTS-2b,DTS-2b,Dunite,,,,,,,,0.08,0.04,0.07,0.06,this study,0.02,0.24,0.1,0.12,9
Terrestrial rocks,"""CJA""",DTS-2b,Dunite,,,,,,,,0.05,0.02,0.08,0.13,this study,0.02,0.24,0.1,0.12,9
RC,Rumuruti,Rumuruti,,-0.06567367618837139,0.08041325665618268,-0.057581739283284576,0.030218634475003205,-0.3897817997624362,0.07382155550770235,this study,0.27,0.03,-0.03,0.04,Zhu+ 21 (GCA),,,,,
RC,DI02,NWA 753,,-0.09638315640297934,0.04788154752664808,0.016580752377882826,0.0566723110271441,-0.3802445838035906,0.07894306563260928,this study,0.25436670766459946,0.04516365768261646,-0.06959922886615177,0.08832660067707149,this study,0.65,0.22,0.31,0.15,-8
RC,EW11,NWA 6145 (vein),,-0.09926898664363631,0.07351492496065143,-0.003131515929806946,0.05246132364079893,-0.44631166504540315,0.13011891760770283,this study,0.24217607005616593,0.050875577053595814,-0.11290016704446071,0.13717198411933684,this study,0.49,0.22,0.23,0.15,-6
RC,EW12,NWA 6145 (matrix),,-0.09942969527350816,0.07268233171006631,-0.0872085438901234,0.029469484239787885,-0.4436353052787829,0.14193224035930177,this study,0.17751323037940026,0.06268869609428704,-0.12684210064928259,0.14104914175296573,this study,0.49,0.22,0.23,0.15,-6
KC,DI 57,LEW 87232,,-0.2648572370755192,0.061571055863576106,-0.05645326249018431,0.06423882701048725,-1.2833509239450203,0.08310956839388739,this study,0.61,0.04,-0.41,0.09,this study,0.94,0.12,0.37,0.09,-19
Ungrouped chondrites,"""CJA/JPA""",NWA 13202 meas.,,-0.08,0.04,-0.01,0.03,-0.64,0.05,this study,0.28,0.19,-0.24,0.17,this study,0.69,0.16,0.39,0.16,-2
Ungrouped chondrites,"""JPA""",NWA 13202 corr.,,,,,,,,,,,,,,0.73,0.16,0.45,0.16,1
Ungrouped chondrites,"""GBU""",NWA 5492,,,,,,,,,,,,,,0.33,0.16,0.18,0.06,-2
Acapulcoites,DI14,Dho 125,,-0.281479955608856,0.08625546925910206,0.0012032504179138037,0.027077833370131532,-1.404174592151142,0.05847414317071395,this study,0.29,0.042842456520760824,-0.49,0.12,this study,0.94,0.12,0.41,0.07,-15
Acapulcoites,DI15,NWA 11048,,-0.30481771898506943,0.08741235898970989,-0.02752769210634387,0.04676276594350592,-1.4212042680643173,0.16017640971386204,this study,,,,,,0.56,0.11,0.28,0.12,-5
Acapulcoites,DI56,MET 01195,,-0.23307996922341165,0.06416200923810673,0.03662144096611142,0.030992096327279225,-1.3872896222714235,0.08558031889615669,this study,0.2761389756402721,0.09793153647073972,-0.6236974987040844,0.06474343723426437,this study,0.89,0.09,0.49,0.03,-4
