stage_id,anchor_stage_id,measurement_records_in_anchor,covered
GC-QE01,GC-E00,2,True
GC-QE02,GC-E01,6,True
GC-QE03,GC-E02,6,True
GC-QE04,GC-E03,15,True
GC-QE05,GC-E04,4,True
GC-QE06,GC-E04,4,True
GC-QE07,GC-E05,3,True
GC-QE08,GC-E06,6,True
GC-QE09,GC-E07,8,True
GC-QE10,GC-E08,9,True
GC-QE11,GC-E08,9,True
GC-QE12,GC-E09,2,True
GC-QE13,GC-E10,6,True
GC-QE14,GC-E10,6,True
GC-QE15,GC-E11,3,True
GC-QE16,GC-E12,3,True
GC-QE17,GC-E13,2,True
GC-QE18,GC-E14,3,True
GC-QE19,GC-E15,8,True
GC-QE20,GC-E16,1,True
GC-QE21,GC-E17,1,True
GC-QE22,GC-E18,1,True
GC-QE23,GC-E19,1,True
