element;in_bbn_baseline;families_with_positive_yield;families_total;source_models_with_positive_yield;positive_yield_min;positive_yield_max;log10_dynamic_range
Ag;False;5;6;15;3.40740615444e-10;1.83871413565e-08;1.7320903113614814
Al;False;6;6;18;0.00010376428583;0.0167547984875;2.208091307540931
Ar;False;6;6;18;4.40557056833e-05;0.053378369101;3.0833631382599247
As;False;6;6;18;1.0506896578e-07;1.8926968727e-05;2.2556066071323544
Au;False;5;6;15;1.98264269866e-10;1.22315739196e-08;1.7902378892382202
B;False;6;6;18;9.06050204567e-19;2.11236249921e-07;11.367616186094494
Ba;False;5;6;15;6.17872175096e-09;3.39152668706e-07;1.7394966008828585
Be;False;6;6;18;5.78626392727e-29;3.09260639389e-08;20.727926410325207
Bi;False;5;6;15;7.45868104271e-11;1.09333558111e-08;2.166091446139844
Br;False;6;6;18;4.39859953926e-08;6.59596866193e-06;2.175964159204588
C;False;6;6;18;0.00137849264739;0.597851011008;2.6371885139973963
Ca;False;6;6;18;3.48804699555e-05;0.0228802101098;2.81687768059572
Cd;False;5;6;15;1.62017922611e-09;8.311926942e-08;1.710138657957256
Ce;False;5;6;15;1.7140254397e-09;7.53156787917e-08;1.642868131111642
Cl;False;6;6;18;6.72722320546e-06;0.0084151889126;3.0972280323322807
Co;False;6;6;18;0.000112650011677;0.00238931034226;1.3265413218900934
Cr;False;6;6;18;1.1328123903e-05;0.00436450969006;2.585777471517442
Cs;False;5;6;15;5.83475728146e-10;2.50554050498e-08;1.632878633356555
Cu;False;6;6;18;7.16559828865e-06;0.0063249971537;2.9458078769273977
Dy;False;5;6;15;4.71157114266e-10;1.95648696003e-08;1.6183112045169863
Er;False;5;6;15;3.44425537184e-10;1.57123607052e-08;1.659146096132216
Eu;False;5;6;15;3.9129891017e-11;5.61680473699e-09;2.1569806879706617
F;False;6;6;18;1.59848103458e-07;2.93375884806e-05;2.2637169245318787
Fe;False;6;6;18;0.00039876968329;0.0507586129662;2.104787612630053
Ga;False;6;6;18;1.37195745593e-06;0.000227465426877;2.2195747521321603
Gd;False;5;6;15;4.0251459333e-10;1.71184716457e-08;1.62868335731337
Ge;False;6;6;18;1.2265901417e-06;0.000293263845768;2.3785590556002347
H;True;5;6;15;1.95127879593e-31;5.66568481461;31.462933085594365
He;True;6;6;18;0.137211051507;5.19381880804;1.578097702195886
Hf;False;5;6;15;2.64223734738e-10;1.08429341863e-08;1.6131749948155352
Hg;False;5;6;15;6.14977616455e-10;5.16704116674e-08;1.9243826127588965
Ho;False;5;6;15;9.61447957769e-11;4.86438625108e-09;1.7041022710170868
I;False;5;6;15;7.50792436464e-10;1.6546020445e-08;1.343173667767217
In;False;5;6;15;1.40404512414e-10;1.02338190117e-08;1.862656666405628
Ir;False;5;6;15;1.32853253073e-10;3.47729689398e-08;2.4178695795218235
K;False;6;6;18;3.56169207178e-06;0.00247678903436;2.8422326466676355
