from_stage,to_stage,link_class,strict_empirical_archive_or_sequence,from_independent_sources,to_independent_sources,from_measurement_records,to_measurement_records,closure_status
GC-E00,GC-E01,empirical_historical_contrast,False,2,2,2,6,open_or_nonunique_bridge
GC-E01,GC-E02,same_event_observed_transformation,True,2,2,6,6,strict_documented_relation
GC-E02,GC-E03,direct_material_inheritance_class,True,2,3,6,15,strict_documented_relation
GC-E03,GC-E08,measured_material_continuity,True,3,5,15,9,strict_documented_relation
GC-E04,GC-E05,observed_analogue_bridge,False,2,2,4,3,open_or_nonunique_bridge
GC-E04,GC-E06,observed_analogue_bridge,False,2,3,4,6,open_or_nonunique_bridge
GC-E05,GC-E06,observed_analogue_bridge,False,2,3,3,6,open_or_nonunique_bridge
GC-E06,GC-E08,cross_system_empirical_consistency,False,3,5,6,9,open_or_nonunique_bridge
GC-E07,GC-E10,analogue_to_solar_archive,False,2,4,8,8,open_or_nonunique_bridge
GC-E08,GC-E09,solar_sample_link,True,5,2,9,2,strict_documented_relation
GC-E08,GC-E10,solar_sample_link,True,5,4,9,8,strict_documented_relation
GC-E09,GC-E10,solar_sample_sequence,True,2,4,2,8,strict_documented_relation
GC-E10,GC-E13,chronometric_sequence,True,4,2,8,7,strict_documented_relation
GC-E10,GC-E14,chronometric_sequence,True,4,2,8,3,strict_documented_relation
GC-E11,GC-E12,laboratory_mechanism_stack,False,1,1,3,3,open_or_nonunique_bridge
GC-E12,GC-E15,mechanism_to_observation_non_unique,False,1,4,3,8,open_or_nonunique_bridge
GC-E15,GC-E16,same_system_observed_sequence,True,4,1,8,1,strict_documented_relation
GC-E13,GC-E17,solar_chronometric_sequence,True,2,1,7,1,strict_documented_relation
GC-E14,GC-E18,solar_context_non_genealogical,False,2,3,3,8,open_or_nonunique_bridge
GC-E16,GC-E19,analogue_endpoint_bridge,False,1,1,1,17,open_or_nonunique_bridge
GC-E17,GC-E19,same_body_history_to_endpoint,True,1,1,1,17,strict_documented_relation
GC-E18,GC-E19,same_body_history_to_endpoint,True,3,1,8,17,strict_documented_relation
