source_id;type_source;hyperaretes_retires;perte_projection;perte_fermeture_stricte;noeuds_projection_perdus;noeuds_stricts_perdus
S01;revue;9;21;30;N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N025|N026|N033|N034|N050;N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052
S02;revue;2;6;15;N013|N014|N025|N026|N033|N050;N013|N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N050|N051|N052
S03;mission_source;4;4;4;N020|N021|N022|N024;N020|N021|N022|N024
S04;mission_source;4;42;36;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N046|N048|N050|N051|N052|N053|N054;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N046|N047|N048|N050|N051|N052
S05;article;2;3;3;N006|N025|N026;N006|N025|N026
S06;article;1;0;0;;
S07;article_modele;2;1;1;N016;N016
S08;revue;2;3;4;N017|N018|N019;N017|N018|N019|N052
S09;prepublication;1;0;0;;
S10;revue;3;2;1;N026|N029;N026
S11;article;1;0;0;;
S12;revue;4;3;3;N033|N050|N051;N033|N050|N051
S13;article_recent;1;0;0;;
S14;perspective;4;5;0;N030|N031|N032|N035|N053;
S15;revue_reference;4;52;45;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052|N053|N054;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052
S16;revue;2;49;42;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052|N053|N054;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052
S17;revue;4;47;40;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052|N053|N054;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052
S18;revue;1;1;35;N047;N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N047|N048|N050|N051|N052
S19;article;0;0;0;;
S20;source_secondaire;0;0;0;;
S21;reference;0;0;0;;
S22;prepublication;0;0;0;;
S23;prepublication;0;0;0;;
S24;prepublication;0;0;0;;
S25;article;1;1;1;N052;N052
S26;mission_source;1;1;0;N054;
S27;prepublication;0;0;0;;
S28;article;0;0;0;;
S29;article;0;0;0;;
S30;article;0;0;0;;
S31;article;0;0;0;;
