edge_id,reachable_after_ablation,lost_vs_baseline,lost_nodes,all_unreachable
H001,46,0,,N029|N030|N031|N032|N035|N053|N054
H002,16,30,N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052,N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N050|N051|N052|N053|N054
H003,45,1,N006,N006|N029|N030|N031|N032|N035|N053|N054
H004,46,0,,N029|N030|N031|N032|N035|N053|N054
H005,21,25,N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052,N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N050|N051|N052|N053|N054
H006,24,22,N010|N011|N012|N013|N014|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052,N010|N011|N012|N013|N014|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N050|N051|N052|N053|N054
H007,46,0,,N029|N030|N031|N032|N035|N053|N054
H008,25,21,N011|N012|N013|N014|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052,N011|N012|N013|N014|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N050|N051|N052|N053|N054
H009,46,0,,N029|N030|N031|N032|N035|N053|N054
H010,30,16,N012|N013|N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N050|N051|N052,N012|N013|N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N035|N050|N051|N052|N053|N054
H011,31,15,N013|N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N050|N051|N052,N013|N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N035|N050|N051|N052|N053|N054
H012,32,14,N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N050|N051|N052,N014|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N035|N050|N051|N052|N053|N054
H013,43,3,N033|N050|N051,N029|N030|N031|N032|N033|N035|N050|N051|N053|N054
H014,46,0,,N029|N030|N031|N032|N035|N053|N054
H015,46,0,,N029|N030|N031|N032|N035|N053|N054
H016,45,1,N016,N016|N029|N030|N031|N032|N035|N053|N054
H017,42,4,N017|N018|N019|N052,N017|N018|N019|N029|N030|N031|N032|N035|N052|N053|N054
H018,45,1,N019,N019|N029|N030|N031|N032|N035|N053|N054
H019,46,0,,N029|N030|N031|N032|N035|N053|N054
H020,44,2,N025|N026,N025|N026|N029|N030|N031|N032|N035|N053|N054
H021,43,3,N020|N021|N022,N020|N021|N022|N029|N030|N031|N032|N035|N053|N054
H022,44,2,N021|N022,N021|N022|N029|N030|N031|N032|N035|N053|N054
H023,46,0,,N029|N030|N031|N032|N035|N053|N054
H024,45,1,N024,N024|N029|N030|N031|N032|N035|N053|N054
H025,45,1,N026,N026|N029|N030|N031|N032|N035|N053|N054
H026,46,0,,N029|N030|N031|N032|N035|N053|N054
H027,46,0,,N029|N030|N031|N032|N035|N053|N054
H028,46,0,,N029|N030|N031|N032|N035|N053|N054
H029,46,0,,N029|N030|N031|N032|N035|N053|N054
H030,46,0,,N029|N030|N031|N032|N035|N053|N054
H031,46,0,,N029|N030|N031|N032|N035|N053|N054
H032,46,0,,N029|N030|N031|N032|N035|N053|N054
H033,46,0,,N029|N030|N031|N032|N035|N053|N054
H034,46,0,,N029|N030|N031|N032|N035|N053|N054
H035,1,45,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N037|N038|N039|N040|N041|N042|N043|N044|N045|N046|N047|N048|N050|N051|N052|N053|N054
