edge_id;processus;entrees;sorties;type;branche;capacite_acquise;statut_preuve;source_id;incertitude_ou_scenario;role_genealogique
H001;Heritage du nuage protosolaire;N001;N002|N003;transmission;disque;archives stellaires et volatiles conservees;observe_infere;S04;fraction de survie variable;progression
H002;Vaporisation et recondensation interne;N001|N002|N003;N004|N005|N007;transformation;disque;reinitialisation thermique partielle;modele_appuye;S01;melange heritage-chimie locale;retour
H003;Formation des inclusions refractaires;N004|N005;N006;transformation;disque;archive des premiers traitements thermiques;observe_infere;S05;chronologie relative depend de 26Al;progression
H004;Transport radial des inclusions;N006;N006;transport;disque;presence de refractaires en regions externes;observe_modele;S01;trajectoires multiples;retour
H005;Coagulation fractale;N008;N009;assemblage;disque;surface collective et porosite;experience_modele;S01;depend de vitesse et composition;progression
H006;Compaction collisionnelle;N009;N010;transformation;disque;resistance et densite accrues;experience_modele;S01;rebond possible;progression
H007;Fragmentation et rebond;N010;N008|N009;recyclage;disque;redistribution des tailles;experience_modele;S01;barriere a la croissance;retour
H008;Croissance vers les galets;N009|N010;N011;assemblage;disque;couplage aerodynamique et derive;observe_modele;S01;barrieres fragmentation-derive;progression
H009;Derive et tri aerodynamique;N011;N011;transport;disque;selection par taille et Stokes;observe_modele;S01;pertes vers l etoile possibles;retour
H010;Piegeage aux maxima de pression et lignes de condensation;N007|N011;N012;concentration;disque;enrichissement local en solides;observe_modele;S01;efficacite et permeabilite variables;progression
H011;Instabilite de streaming;N011|N012;N013;collectif;disque;retroaction collective gaz-solides;modele;S02;seuil poussiere-gaz dependant du disque;progression
H012;Effondrement gravitationnel des filaments;N013;N014;transition;disque;gravite propre;modele_appuye;S02;distribution de tailles incertaine;progression
H013;Accretion de planetesimaux en embryons;N014;N033;assemblage;planetaire;capture gravitationnelle et accretion rapide;modele_appuye;S12;voies galets et planetesimaux concurrentes;progression
H014;Fusion rapide de precurseurs solides;N008|N009;N015;transformation;disque;chondres comme archives thermiques;observe_infere;S06;plusieurs mecanismes possibles;retour
H015;Production collisionnelle de chondres;N014|N033;N015|N023;recyclage;planetaire;composants fondus produits par corps avances;modele_appuye;S07;ne vaut pas pour tous les chondres;retour
H016;Reincorporation des chondres;N015|N008|N009;N016;assemblage;disque;corps chondritiques multigenerationnels;observe_infere;S07;temps de flottaison variable;progression
H017;Separation isotopique NC-CC;N007|N011;N017|N018;filtrage;disque;reservoirs durablement distincts;observe;S08;mecanisme exact ouvert;progression
H018;Reservoir CI distinct;N018;N019;separation;disque;troisieme signature possible;observe_hypothese;S08;statut revise par travaux recents;progression
