node_id;label;classe;capacite_principale;niveau_capacite;statut
N001;Matiere interstellaire heritee;reservoir;heritage isotopique et moleculaire;2;observe_infere
N002;Grains presolaires;constituant;archive stellaire;3;observe
N003;Glaces et organiques interstellaires;constituant;stockage de volatils et chimie de surface;2;observe_infere
N004;Gaz nebulaire et matiere vaporisee;reservoir;reinitialisation thermique partielle;1;infere
N005;Condensats refractaires;solide;stabilite a haute temperature;3;observe
N006;CAI et AOA;archive;enregistrement thermique et isotopique;3;observe
N007;Nouveaux grains nebulaires;solide;surface et transport aerodynamique;3;observe_infere
N008;Monomeres de poussiere;solide;collisions de surface;3;observe_modele
N009;Agregats fractals;agregat;porosite et surface collective;4;experience_modele
N010;Agregats compactes et poreux;agregat;resistance collisionnelle;4;experience_modele
N011;Galets;agregat;couplage aerodynamique et derive;4;observe_modele
N012;Concentrations locales de solides;collectif;retroaction collective sur le gaz;4;modele
N013;Filaments de streaming;collectif;auto-concentration;4;modele
N014;Planetesimaux primitifs;corps;gravite propre;5;observe_infere
N015;Chondres;composant;archive de fusion rapide;3;observe
N016;Corps chondritiques reassembles;corps;reincorporation de composants traites;5;observe_infere
N017;Reservoir NC;reservoir;signature isotopique interne;4;observe
N018;Reservoir CC;reservoir;signature isotopique externe;4;observe
N019;Reservoir CI;reservoir;signature isotopique potentiellement distincte;4;observe_hypothese
N020;Corps parent aqueux;corps;reacteur geochimique interne;6;observe_infere
N021;Mineraux hydrates carbonates sulfures;phase;stockage des produits aqueux;6;observe
N022;Organique modifie par eau;inventaire;mobilite et fractionnement chimique;6;observe
N023;Debris collisionnels;materiau;transmission secondaire;4;observe_infere
N024;Asteroide reassemble;corps;archive multigenerationnelle;5;observe
N025;Corps differencie;corps;separation metal silicate;6;observe
N026;Noyau planetaire;reservoir;sequestration siderophile;7;observe_infere
N027;Manteau et croute;reservoir;convection volcanisme et stockage;7;observe
N028;Atmosphere et hydrosphere;reservoir;mobilite de surface;8;observe
N029;Inventaire accessible;inventaire;quantite mobilisable dans un horizon donne;8;definition_operationnelle
N030;Interfaces eau roche gaz;interface;gradients et catalyse;9;observe
N031;Systeme serpentinise;interface;production H2 gradients redox et alcalins;9;observe
N032;Chimie organique organisee;systeme;concentration activation et cycles;10;hypothese_testable
N033;Embryons planetaires;corps;capture gravitationnelle et accretion rapide;5;observe_modele
N034;Planete differenciee;corps;reservoirs planetaires durables;7;observe
N035;Matiere disponible pour organisation active;inventaire;accessibilite chimique et energetique;10;definition_operationnelle
N036;Inventaire baryonique net;inventaire;matiere survivante disponible;1;observe_infere
N037;Protons et neutrons;constituant;constituants nucleaires durables;1;observe
N038;Noyaux legers primordiaux;constituant;inventaire nucleaire initial;1;observe_infere
N039;Atomes neutres primordiaux;architecture;orbitales electroniques et spectres;1;observe_infere
N040;Molecules primordiales H2 et HD;architecture;refroidissement radiatif du gaz;2;observe_infere
N041;Nuage auto-gravitant refroidi;systeme;concentration gravitationnelle;5;modele_appuye
N042;Premieres etoiles;systeme;environnements thermodynamiques nucleaires;6;observe_infere
N043;Elements lourds stellaires;inventaire;diversification nucleaire;1;observe
N044;Ejecta et vents stellaires;flux;redistribution des produits stellaires;1;observe
N045;Milieu interstellaire enrichi;reservoir;reutilisation des elements lourds;2;observe
N046;Poussieres stellaires;solide;surfaces refractaires et signatures isotopiques;3;observe
N047;Molecules complexes et glaces de nuages;inventaire;chimie de surface et stockage;2;observe
N048;Grains presolaires survivants;constituant;archive stellaire ayant traverse le disque;3;observe
N050;Disque de debris post-impact;materiau;reservoirs internes remis en circulation;4;modele_appuye
N051;Croute primitive;reservoir;concentration des elements incompatibles;7;observe_infere
N052;Vernis tardif siderophile;inventaire;reapprovisionnement hors equilibre metal-silicate;8;observe_infere
N053;Systeme hydrothermal;interface;circulation eau-roche entretenue par la chaleur;9;observe
N054;Phosphates solubles carbonates et sels;phase;especes chimiquement mobilisables;8;observe
