A;Z;N;Nuclide;Index état;Code état;Type d'état;Excès de masse keV;Incertitude masse keV;Énergie excitation keV;Incertitude excitation keV;Demi-vie valeur;Unité;Incertitude demi-vie;Spin et parité;Stabilité;Abondance isotopique source;Année découverte;Statut observation;Modes de désintégration;Année ENSDF;Origine énergie;Drapeaux isomériques;Source URL
1;0;1;1n;0;;État fondamental;8071.3181;0.0004;;;609.8;s;0.6;1/2+*;Radioactif ou résonant;;1932;Observé;B-=100;06;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
1;1;0;1H;0;;État fondamental;7288.971064;0.000013;;;stbl;;;1/2+*;Stable;99.9855 78;1920;Observé;IS=99.9855 78;06;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
2;1;1;2H;0;;État fondamental;13135.722895;0.000015;;;stbl;;;1+*;Stable;0.0145 78;1932;Observé;IS=0.0145 78;03;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
3;1;2;3H;0;;État fondamental;14949.81090;0.00008;;;12.32;y;0.02;1/2+*;Radioactif ou résonant;;1934;Observé;B-=100;00;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
3;2;1;3He;0;;État fondamental;14931.21888;0.00006;;;stbl;;;1/2+*;Stable;0.0002 2;1934;Observé;IS=0.0002 2;98;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
3;3;0;3Li;0;;État fondamental;28670#;2000#;;;p-unst;;;3/2-#;Instable par émission de particule;;;Estimé ou non observé;p ?;98;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
4;1;3;4H;0;;État fondamental;24620;100;;;139;ys;10;2-;Radioactif ou résonant;;1981;Observé;n=100;98;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
4;2;2;4He;0;;État fondamental;2424.91587;0.00015;;;stbl;;;0+;Stable;99.9998 2;1908;Observé;IS=99.9998 2;98;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
4;3;1;4Li;0;;État fondamental;25320;210;;;91;ys;9;2-;Radioactif ou résonant;;1965;Observé;p=100;98;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
5;1;4;5H;0;;État fondamental;32890;90;;;86;ys;6;(1/2+);Radioactif ou résonant;;1987;Observé;2n=100;19;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
5;2;3;5He;0;;État fondamental;11231;20;;;602;ys;22;3/2-;Radioactif ou résonant;;1937;Observé;n=100;02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
5;3;2;5Li;0;;État fondamental;11680;50;;;370;ys;30;3/2-;Radioactif ou résonant;;1941;Observé;p=100;02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
5;4;1;5Be;0;;État fondamental;37140#;2000#;;;p-unst;;;1/2+#;Instable par émission de particule;;;Estimé ou non observé;p ?;18;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
6;1;5;6H;0;;État fondamental;41880;250;;;294;ys;67;2-#;Radioactif ou résonant;;1984;Observé;"n ?;3n ?";19;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
6;2;4;6He;0;;État fondamental;17592.10;0.05;;;806.92;ms;0.24;0+;Radioactif ou résonant;;1936;Observé;"B-=100;B-d=0.000278 18";02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
6;3;3;6Li;0;;État fondamental;14086.8804;0.0014;;;stbl;;;1+*;Stable;4.85 171;1921;Observé;IS=4.85 171;02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
6;3;3;6Li;8;i;État isomérique, niveau, résonance ou IAS;17649.76;0.10;3562.88;0.10;56;as;14;0+      T=1;Radioactif ou résonant;;1981;Observé;IT=100;02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
6;4;2;6Be;0;;État fondamental;18375;5;;;5.0;zs;0.3;0+;Radioactif ou résonant;;1958;Observé;2p=100;02;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
