Z;Symbole;Nom international;Période;Groupe;Catégorie;État de référence vers 25 °C;Occurrence;Masse atomique indicative;Statut;Source URL
1;H;Hydrogen;1;1;Non-métal;Gaz;Naturel, stable, primordial ou trace;1.008;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
2;He;Helium;1;18;Gaz noble;Gaz;Naturel, stable, primordial ou trace;4.003;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
3;Li;Lithium;2;1;Métal alcalin;Solide;Naturel, stable, primordial ou trace;6.941;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
4;Be;Beryllium;2;2;Métal alcalino-terreux;Solide;Naturel, stable, primordial ou trace;9.012;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
5;B;Boron;2;13;Métalloïde;Solide;Naturel, stable, primordial ou trace;10.812;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
6;C;Carbon;2;14;Non-métal;Solide;Naturel, stable, primordial ou trace;12.011;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
7;N;Nitrogen;2;15;Non-métal;Gaz;Naturel, stable, primordial ou trace;14.007;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
8;O;Oxygen;2;16;Non-métal;Gaz;Naturel, stable, primordial ou trace;15.999;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
9;F;Fluorine;2;17;Halogène;Gaz;Naturel, stable, primordial ou trace;18.998;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
10;Ne;Neon;2;18;Gaz noble;Gaz;Naturel, stable, primordial ou trace;20.18;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
11;Na;Sodium;3;1;Métal alcalin;Solide;Naturel, stable, primordial ou trace;22.99;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
12;Mg;Magnesium;3;2;Métal alcalino-terreux;Solide;Naturel, stable, primordial ou trace;24.305;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
13;Al;Aluminium;3;13;Métal post-transition;Solide;Naturel, stable, primordial ou trace;26.982;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
14;Si;Silicon;3;14;Métalloïde;Solide;Naturel, stable, primordial ou trace;28.086;Confirmé officiellement;https://iupac.org/what-we-do/periodic-table-of-elements/
