Famille;Nom;Formule;Nombre d'atomes ou taille;État ou architecture;Réservoirs ou usages;Statut;Note;Source URL
Molécule simple;Hydrogène moléculaire;H2;2;Gaz moléculaire;Milieu interstellaire, étoiles froides, planètes géantes;Confirmé;Molécule la plus abondante de la matière moléculaire cosmique;https://molecules-in.space/
Molécule simple;Monoxyde de carbone;CO;2;Gaz;Nuages moléculaires, atmosphères, comètes;Confirmé;Traceur majeur du gaz moléculaire;https://molecules-in.space/
Molécule simple;Azote moléculaire;N2;2;Gaz;Atmosphères planétaires, glaces, comètes;Confirmé;Molécule homonucléaire;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Molécule simple;Oxygène moléculaire;O2;2;Gaz;Atmosphères, biosphères, quelques milieux interstellaires;Confirmé;Oxydant biologique et géochimique;https://molecules-in.space/
Hydrure;Eau;H2O;3;Gaz, liquide, glaces multiples;Nuages, comètes, planètes, organismes;Confirmé;Molécule structurante de nombreux systèmes;https://molecules-in.space/
Hydrure;Ammoniac;NH3;4;Gaz, liquide, glace;Nuages, planètes géantes, glaces, biologie;Confirmé;Base et réservoir d'azote;https://molecules-in.space/
Hydrure;Méthane;CH4;5;Gaz, liquide, glace;Atmosphères, lacs de Titan, nuages, organismes;Confirmé;Hydrocarbure simple;https://molecules-in.space/
Oxyde;Dioxyde de carbone;CO2;3;Gaz, liquide supercritique, glace;Atmosphères, glaces, volcans, biologie;Confirmé;Réservoir de carbone oxydé;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Oxyde;Monoxyde de silicium;SiO;2;Gaz;Enveloppes stellaires, chocs, poussières en formation;Confirmé;Traceur de chocs astrophysiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Oxyde;Dioxyde de soufre;SO2;3;Gaz, liquide, glace;Volcanisme, atmosphères, milieu interstellaire;Confirmé;Molécule soufrée oxydée;https://molecules-in.space/
Radical;Hydroxyle;OH;2;Radical;Milieu interstellaire, atmosphères, combustion;Confirmé;Radical très réactif;https://molecules-in.space/
Radical;Méthylidyne;CH;2;Radical;Milieu interstellaire diffus;Confirmé;Parmi les premières molécules détectées dans l'espace;https://molecules-in.space/
Ion moléculaire;Hydrogène moléculaire ionisé;H2+;2;Ion;Plasmas, chimie interstellaire;Confirmé;Précurseur de H3+;https://molecules-in.space/
Ion moléculaire;Trihydrogène cation;H3+;3;Ion;Nuages interstellaires, atmosphères géantes;Confirmé;Ion central de l'astrochimie;https://molecules-in.space/
Ion moléculaire;Formyle cation;HCO+;3;Ion;Nuages moléculaires;Confirmé;Traceur dense du gaz;https://molecules-in.space/
