Niveau;Entité;Composition;Architecture;Environnement;Statut;Note;Source URL
Système prébiotique;Vésicule lipidique;Lipides amphiphiles, eau, solutés;Compartiment auto-assemblé;Laboratoire, milieux prébiotiques possibles;Confirmé expérimentalement;Frontière sans métabolisme autonome;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Entité acellulaire;Prion;Protéine repliée transmissible;Conformation autocatalytique;Organismes;Confirmé;Propagation par conversion de conformation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Entité acellulaire;Virus à ARN;ARN, protéines, parfois lipides;Capside ou enveloppe;Cellules hôtes, milieux biologiques;Confirmé;Dépendance obligatoire à l'hôte;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Entité acellulaire;Virus à ADN;ADN, protéines, parfois lipides;Capside ou enveloppe;Cellules hôtes, milieux biologiques;Confirmé;Dépendance obligatoire à l'hôte;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Entité acellulaire;Viroïde;Petit ARN circulaire;ARN nu ou associé;Plantes;Confirmé;Réplication dépendante de l'hôte;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Archée;Membrane éther, protéines, ADN, ARN, métabolites;Cellule procaryote;Milieux variés, parfois extrêmes;Confirmé;Domaine du vivant;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Bactérie;Membrane, peptidoglycane variable, protéines, ADN, ARN;Cellule procaryote;Tous milieux terrestres;Confirmé;Domaine du vivant;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Protiste;Biomolécules, organites, membranes;Cellule eucaryote;Eaux, sols, hôtes;Confirmé;Grande diversité fonctionnelle;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Cellule fongique;Chitine, glucanes, protéines, organites;Cellule eucaryote à paroi;Sols, organismes, milieux aquatiques;Confirmé;Décomposition et symbioses;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Cellule végétale;Cellulose, membranes, chloroplastes, vacuole;Cellule eucaryote à paroi;Plantes et algues;Confirmé;Photosynthèse pour de nombreux groupes;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule;Cellule animale;Membranes, protéines, organites, matrice associée;Cellule eucaryote sans paroi rigide;Animaux;Confirmé;Spécialisation tissulaire;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Membrane plasmique;Phospholipides, protéines, stérols, glucides;Bicouche dynamique;Cellules;Confirmé;Frontière sélective;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Cytosol;Eau, ions, protéines, métabolites, ARN;Solution macromoléculaire encombrée;Cellules;Confirmé;Milieu réactionnel;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Noyau eucaryote;ADN, histones, ARN, protéines, membrane;Compartiment chromatinien;Cellules eucaryotes;Confirmé;Gestion de l'information génétique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Mitochondrie;Membranes, protéines, ADN, métabolites;Organite à double membrane;Cellules eucaryotes;Confirmé;Conversion énergétique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Chloroplaste;Membranes, pigments, protéines, ADN;Organite photosynthétique;Plantes et algues;Confirmé;Capture et conversion de lumière;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Ribosome;ARN ribosomiques et protéines;Complexe ribonucléoprotéique;Toutes cellules;Confirmé;Synthèse des protéines;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Structure cellulaire;Cytosquelette;Actine, tubuline, filaments intermédiaires et moteurs;Réseau dynamique;Cellules eucaryotes et analogues procaryotes;Confirmé;Forme, transport, division;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organisation multicellulaire;Biofilm;Cellules, matrice polymérique, eau, minéraux;Communauté adhérente;Surfaces naturelles et artificielles;Confirmé;Architecture collective;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organisation multicellulaire;Colonie microbienne;Cellules apparentées ou coopérantes;Agrégat organisé;Milieux biologiques;Confirmé;Coordination locale;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu végétal;Xylème;Cellules lignifiées, eau, ions;Réseau vasculaire;Plantes;Confirmé;Transport d'eau et soutien;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu végétal;Phloème;Cellules vivantes, sucres, eau, ions;Réseau vasculaire;Plantes;Confirmé;Transport de matière organique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu animal;Épithélium;Cellules, jonctions, lame basale;Feuillet polarisé;Animaux;Confirmé;Frontière et échange;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu animal;Muscle;Fibres, actine, myosine, mitochondries;Architecture contractile;Animaux;Confirmé;Conversion chimio-mécanique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu animal;Tissu nerveux;Neurones, glie, lipides, protéines, ions;Réseau excitable;Animaux;Confirmé;Transmission et intégration;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu animal;Sang;Plasma, cellules, protéines, ions;Suspension fluide;Vertébrés et analogues;Confirmé;Transport systémique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu minéralisé;Os;Collagène, hydroxyapatite, cellules, eau;Composite vivant hiérarchique;Vertébrés;Confirmé;Soutien, réserve, remodelage;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Tissu minéralisé;Dent;Hydroxyapatite, protéines, cellules selon région;Composite stratifié;Vertébrés;Confirmé;Fonction mécanique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organe;Feuille;Tissus végétaux, eau, pigments, gaz;Architecture photosynthétique;Plantes;Confirmé;Capture de lumière et échanges;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organe;Racine;Tissus, eau, minéraux, microbiote;Architecture ramifiée;Plantes et sols;Confirmé;Ancrage et acquisition;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organe;Cœur;Muscle, tissu conjonctif, nerfs, vaisseaux;Pompe vivante;Animaux;Confirmé;Circulation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organe;Poumon;Épithélium, matrice, sang, air;Interface ramifiée;Animaux;Confirmé;Échange gazeux;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organisme;Organisme unicellulaire;Une cellule autonome dans son milieu;Unité vivante;Tous milieux terrestres;Confirmé;Métabolisme, reproduction, évolution;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Organisme;Organisme multicellulaire;Cellules différenciées, tissus, organes;Architecture intégrée;Tous milieux terrestres;Confirmé;Coordination à plusieurs échelles;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Superorganisme;Colonie eusociale;Organismes, structures, ressources, signaux;Organisation collective;Insectes sociaux et autres;Confirmé comme niveau fonctionnel;Persistance distribuée;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Système écologique;Microbiome;Communautés microbiennes, métabolites, hôte ou milieu;Réseau d'interactions;Organismes, sols, océans;Confirmé;Fonctions émergentes;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Système écologique;Écosystème;Organismes, eau, air, minéraux, matière morte, flux;Réseau biotique et abiotique;Biosphère;Confirmé;Transformations couplées de matière et d'énergie;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Système planétaire vivant;Biosphère terrestre;Ensemble du vivant et milieux couplés;Architecture planétaire historique;Terre;Confirmé;Influence majeure sur cycles géochimiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Matière biologique morte;Nécromasse;Cellules mortes, polymères, minéraux;Matière en décomposition;Sols, eaux, sédiments;Confirmé;Réservoir de carbone et nutriments;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Matière biologique transformée;Humus;Composés organiques complexes, minéraux, eau;Assemblage organo-minéral;Sols;Confirmé;Stabilisation et échanges;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Matière biologique fossilisée;Kérogène;Macromolécules organiques géologiques;Solide amorphe complexe;Roches sédimentaires;Confirmé;Précurseur de combustibles fossiles;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Matière biologique fossilisée;Charbon;Carbone, organiques, minéraux, eau;Solide stratifié;Bassins sédimentaires;Confirmé;Produit de transformation de biomasse;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Matière biologique fossilisée;Pétrole;Hydrocarbures et hétérocomposés;Liquide complexe;Bassins sédimentaires;Confirmé;Produit de maturation organique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
