ID;Institution;Ressource;Usage dans l'inventaire;URL;Date de consultation
S01;CERN;The Standard Model;Particules fondamentales confirmées et limites du Modèle standard;https://home.cern/science/physics/standard-model/;2026-08-03
S02;Particle Data Group;Review of Particle Physics 2026;Registre de référence pour particules, hadrons et résonances;https://pdg.lbl.gov/;2026-08-03
S03;IUPAC;Periodic Table of Elements;118 éléments officiellement reconnus;https://iupac.org/what-we-do/periodic-table-of-elements/;2026-08-03
S04;IAEA AMDC;NUBASE2020 ASCII;5 843 lignes de données, états fondamentaux, isomères, niveaux et résonances;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt;2026-08-03
S05;NUBASE2020 paper;The NUBASE2020 evaluation;Description, portée et méthodologie du catalogue nucléaire;https://www-nds.iaea.org/amdc/ame2020/NUBASE2020.pdf;2026-08-03
S06;Molecules in Space;List of Observed Interstellar Molecules;352 espèces recensées au 16 juillet 2026, avec statuts à vérifier individuellement;https://molecules-in.space/;2026-08-03
S07;CDMS;Cologne Database for Molecular Spectroscopy;Spectres et espèces atomiques ou moléculaires pertinentes en astrophysique;https://cdms.astro.uni-koeln.de/;2026-08-03
S08;PubChem;PubChem Compound;Catalogue ouvert de structures et substances chimiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;2026-08-03
S09;RRUFF / IMA;IMA Mineral List;Registre dynamique des espèces minérales reconnues;https://www.rruff.net/ima-mineral-list/;2026-08-03
S10;NASA Science;The Universe's Building Blocks;Répartition indicative 5 % matière ordinaire, 27 % matière noire, 68 % énergie noire;https://science.nasa.gov/universe/overview/building-blocks/;2026-08-03
