condition_id;variable;origine;echelle;role;unite;plage;duree;source_url
CON-001;Énergie suffisante et conservation des nombres quantiques;transformation « Création de paire »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-002;Rencontre et canaux autorisés;transformation « Annihilation matière-antimatière »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-003;Interaction faible;transformation « Désintégration faible »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-004;Énergies hadroniques;transformation « Interaction forte »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-005;Refroidissement ou éloignement;transformation « Hadronisation »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-006;Champ électromagnétique;transformation « Diffusion électromagnétique »;Échelle particulaire;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-007;Température, densité ou confinement suffisants;transformation « Fusion nucléaire »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-008;Excitation ou instabilité;transformation « Fission nucléaire »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-009;Flux de neutrons;transformation « Capture neutronique »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-010;Énergie suffisante;transformation « Capture protonique »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-011;Instabilité nucléaire;transformation « Désintégration alpha »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-012;Instabilité neutronique;transformation « Désintégration bêta moins »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-013;Énergie disponible;transformation « Désintégration bêta plus »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-014;Énergie et état électronique adaptés;transformation « Capture électronique »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-015;Émission gamma ou conversion interne;transformation « Transition isomérique »;Échelle nucléaire;permissif;;;;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt
CON-016;Rayonnement, collision, champ;transformation « Ionisation »;Échelle atomique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-017;Affinité électronique et collision;transformation « Attachement électronique »;Échelle atomique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-018;Refroidissement et collision;transformation « Recombinaison »;Échelle atomique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-019;Absorption ou collision;transformation « Excitation électronique »;Échelle atomique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-020;Chemin réactionnel accessible;transformation « Formation de liaison covalente »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-021;Potentiels chimiques adaptés;transformation « Formation de liaison ionique »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-022;Donneur et accepteur couplés;transformation « Oxydoréduction »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-023;Milieu et pH adaptés;transformation « Acide-base »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-024;Catalyse, énergie, concentrations;transformation « Polymérisation »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-025;Eau et catalyse éventuelle;transformation « Hydrolyse »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-026;Longueur d'onde absorbée;transformation « Photolyse »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
