evidence_id;cible_id;domaine;niveau;mode_experimental;mode_observationnel;statut_evaluation
PRV-0001;GA-001;mécanisme;établi;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;préliminaire - revue bibliographique indépendante requise
PRV-0002;GA-001;milieu naturel;établi;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;préliminaire - revue bibliographique indépendante requise
PRV-0003;GA-001;transition historique;établi;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;préliminaire - revue bibliographique indépendante requise
PRV-0004;GA-001;rôle causal;établi;collisions d'ions lourds, RHIC et LHC;abondance baryonique du fond diffus;préliminaire - revue bibliographique indépendante requise
PRV-0005;GA-002;mécanisme;établi;sections efficaces mesurées;D/H des systèmes Lyman-α;préliminaire - revue bibliographique indépendante requise
PRV-0006;GA-002;milieu naturel;établi;sections efficaces mesurées;D/H des systèmes Lyman-α;préliminaire - revue bibliographique indépendante requise
PRV-0007;GA-002;transition historique;établi;sections efficaces mesurées;D/H des systèmes Lyman-α;préliminaire - revue bibliographique indépendante requise
PRV-0008;GA-002;rôle causal;établi;sections efficaces mesurées;D/H des systèmes Lyman-α;préliminaire - revue bibliographique indépendante requise
PRV-0009;GA-003;mécanisme;établi;réseau nucléaire mesuré;Y_p ≈ 0,247 en régions H II pauvres;préliminaire - revue bibliographique indépendante requise
PRV-0010;GA-003;milieu naturel;établi;réseau nucléaire mesuré;Y_p ≈ 0,247 en régions H II pauvres;préliminaire - revue bibliographique indépendante requise
PRV-0011;GA-003;transition historique;établi;réseau nucléaire mesuré;Y_p ≈ 0,247 en régions H II pauvres;préliminaire - revue bibliographique indépendante requise
PRV-0012;GA-003;rôle causal;établi;réseau nucléaire mesuré;Y_p ≈ 0,247 en régions H II pauvres;préliminaire - revue bibliographique indépendante requise
PRV-0013;GA-004;mécanisme;établi;spectroscopie atomique;fond diffus cosmologique;préliminaire - revue bibliographique indépendante requise
PRV-0014;GA-004;milieu naturel;établi;spectroscopie atomique;fond diffus cosmologique;préliminaire - revue bibliographique indépendante requise
PRV-0015;GA-004;transition historique;établi;spectroscopie atomique;fond diffus cosmologique;préliminaire - revue bibliographique indépendante requise
PRV-0016;GA-004;rôle causal;établi;spectroscopie atomique;fond diffus cosmologique;préliminaire - revue bibliographique indépendante requise
PRV-0017;GA-005;mécanisme;fortement inféré;taux de réaction mesurés;inféré, non observé directement;préliminaire - revue bibliographique indépendante requise
PRV-0018;GA-005;milieu naturel;fortement inféré;taux de réaction mesurés;inféré, non observé directement;préliminaire - revue bibliographique indépendante requise
PRV-0019;GA-005;transition historique;fortement inféré;taux de réaction mesurés;inféré, non observé directement;préliminaire - revue bibliographique indépendante requise
PRV-0020;GA-005;rôle causal;fortement inféré;taux de réaction mesurés;inféré, non observé directement;préliminaire - revue bibliographique indépendante requise
