ID;Entité;type_registre;statut_original;statut_ontologique;mode_obtention;milieu_validation;certitude_historique;role_causal
MAT-00001;up;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00002;down;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00003;charm;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00004;strange;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00005;top;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00006;bottom;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00007;électron;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00008;neutrino électronique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00009;muon;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00010;neutrino muonique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00011;tau;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00012;neutrino tauique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00013;photon;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00014;gluon;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00015;boson W positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00016;boson W négatif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00017;boson Z;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00018;boson de Higgs;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00019;proton;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00020;neutron;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00021;Delta;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00022;Lambda;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00023;Sigma;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00024;Xi;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00025;Omega moins;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00026;Lambda charmé;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00027;Sigma charmé;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00028;Xi charmé;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00029;Omega charmé;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00030;Lambda bottom;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00031;Xi bottom;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00032;Omega bottom;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00033;pion positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00034;pion neutre;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00035;pion négatif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00036;eta;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00037;eta prime;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00038;rho;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00039;omega;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00040;phi;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00041;kaon positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00042;kaon négatif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00043;kaon neutre;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00044;antikaon neutre;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00045;kaon court;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00046;kaon long;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00047;D zéro;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00048;anti-D zéro;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00049;D positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00050;D étrange;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00051;J/psi;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00052;eta charm;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00053;psi deux S;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00054;B positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00055;B zéro;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00056;Bs zéro;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00057;Bc positif;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00058;Upsilon;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00059;eta bottom;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00060;X 3872;ENT;Résonance confirmée, structure ouverte;confirme;experimente;laboratoire;non_specifie;non_specifie
MAT-00061;Zc 3900;ENT;Résonance observée;confirme;observe;laboratoire;non_specifie;non_specifie
MAT-00062;Tcc positif;ENT;État exotique observé;confirme;observe;laboratoire;non_specifie;non_specifie
MAT-00063;pentaquarks Pc;ENT;Résonances observées;confirme;observe;laboratoire;non_specifie;non_specifie
MAT-00064;molécule hadronique;ENT;Classe avec candidats confirmés;confirme;observe;laboratoire;non_specifie;non_specifie
MAT-00065;glueball;ENT;Prédit, candidats non conclusifs;hypothetique;simule;non_specifie;non_specifie;possible
MAT-00066;méson hybride;ENT;Prédit, plusieurs candidats;hypothetique;simule;non_specifie;non_specifie;possible
MAT-00067;positronium;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00068;muonium;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00069;pionium;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00070;hélium antiprotonique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00071;antiproton;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00072;antineutron;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00073;antideutéron;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00074;antihélium 4;ENT;Confirmé en laboratoire;confirme;experimente;laboratoire;non_specifie;non_specifie
MAT-00075;5 843 états nucléaires détaillés;NUC;Observé ou estimé selon ligne;confirme;mixte;non_specifie;non_specifie;non_specifie
MAT-00076;Hydrogen;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00077;Helium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00078;Lithium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00079;Beryllium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00080;Boron;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00081;Carbon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00082;Nitrogen;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00083;Oxygen;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00084;Fluorine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00085;Neon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00086;Sodium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00087;Magnesium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00088;Aluminium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00089;Silicon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00090;Phosphorus;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00091;Sulfur;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00092;Chlorine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00093;Argon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00094;Potassium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00095;Calcium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00096;Scandium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00097;Titanium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00098;Vanadium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00099;Chromium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00100;Manganese;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00101;Iron;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00102;Cobalt;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00103;Nickel;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00104;Copper;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00105;Zinc;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00106;Gallium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00107;Germanium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00108;Arsenic;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00109;Selenium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00110;Bromine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00111;Krypton;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00112;Rubidium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00113;Strontium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00114;Yttrium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00115;Zirconium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00116;Niobium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00117;Molybdenum;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00118;Technetium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00119;Ruthenium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00120;Rhodium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00121;Palladium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00122;Silver;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00123;Cadmium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00124;Indium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00125;Tin;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
