source,expedition,site,hole,physical_sample_id,nrm_intensite,inclinaison_nrm,declinaison_nrm,profondeur_m,n_etapes_ablation,dose_min,dose_max,intensite_finale,fraction_restante,rho_ablation,n_etapes_inscription,rho_inscription,data_kind
iodp_remanence_359_14015152,359,U1466,A,CUBE7120581,1.05e-05,-78.1,33.7,170.74,8,10,90,5.79e-05,5.51429,0.7619,13,0.9451,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,A,CUBE7122411,1.71e-05,-10.4,223.6,190.25,10,10,90,3.38e-05,1.97661,0.6242,12,0.9720,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,A,CUBE7122941,0.0004777,14.8,219.4,209.49,10,10,90,5.37e-05,0.112414,-0.7212,11,0.8455,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,A,CUBE7123101,0.0005019,-11.4,210.3,213.92,9,10,90,4.42e-05,0.0880654,-0.3333,11,0.7364,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,A,CUBE7123231,0.0005971,8.6,173.8,218.7,9,10,90,7.63e-05,0.127784,-0.2333,11,0.9636,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,A,CUBE7151231,6.64e-05,-20.1,72.8,1.54,21,10,70,0.0001069,1.60994,-0.1922,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,B,CUBE7157131,3.35e-05,-9.3,157.0,17.7,28,10,70,1.39e-05,0.414925,-0.8216,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,B,CUBE7159491,8e-05,-45.9,126.0,38.84,28,10,70,7.53e-05,0.94125,-0.4362,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,B,CUBE7161001,2.06e-05,77.2,33.3,56.36,28,10,70,6.92e-05,3.35922,0.3344,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,B,CUBE7166251,4.46e-05,1.2,121.3,91.65,21,10,70,7.87e-05,1.76457,0.3338,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1467,B,CUBE7168521,8.73e-05,-37.8,120.3,103.13,21,10,70,7.9e-05,0.904926,-0.2623,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1465,A,CUBE7335151,0.0013439,-17.4,181.9,35.67,9,10,90,0.0001301,0.0968078,-0.4333,14,0.9165,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,A,CYL7124491,6.04e-05,22.2,357.1,317.45,9,10,90,4.09e-05,0.677152,0.4333,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7125331,0.0001183,-76.3,354.9,316.53,10,10,90,0.0002914,2.46323,-0.1394,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7125481,3.73e-05,-59.1,35.0,333.99,9,10,90,7.45e-05,1.99732,0.0333,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7126801,2.2e-05,-19.4,184.4,391.82,9,10,90,8.32e-05,3.78182,0.7500,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7127841,0.0001138,-64.4,349.2,401.69,9,10,90,6.1e-05,0.536028,0.5167,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7129571,6.04e-05,-10.2,39.7,441.37,9,10,90,3.65e-05,0.604305,0.0167,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7141481,3.56e-05,57.3,234.7,754.91,8,10,80,5.3e-05,1.48876,0.1190,0,,mesure_experimentale
iodp_remanence_359_14015152,359,U1466,B,CYL7143541,8.04e-05,-52.4,4.8,790.62,8,10,80,6.57e-05,0.817164,0.3571,0,,mesure_experimentale
