source,duree_h,temperature_C,n_traces,longueur_moyenne_um,longueur_ecart_type_um,data_kind
traces_fission_zircon,1.0,600.0,74,7.897540221921322,1.5919284702289682,mesure_experimentale
traces_fission_zircon,1.0,625.0,153,7.640698606385146,1.3229142225002282,mesure_experimentale
traces_fission_zircon,1.0,675.0,158,7.431257595165507,1.1920117726054016,mesure_experimentale
traces_fission_zircon,1.0,700.0,147,7.453576198477552,0.9329527608974203,mesure_experimentale
traces_fission_zircon,1.0,775.0,8,6.18703766990918,1.2098089029225403,mesure_experimentale
traces_fission_zircon,10.0,575.0,230,7.744055503078115,1.3042528757313347,mesure_experimentale
traces_fission_zircon,10.0,650.0,38,7.50810177116887,1.0433597858618955,mesure_experimentale
traces_fission_zircon,10.0,675.0,9,7.358753188037393,1.5413024407420302,mesure_experimentale
traces_fission_zircon,100.0,500.0,86,8.114970062630015,1.2484538794630038,mesure_experimentale
traces_fission_zircon,100.0,550.0,312,7.5503245819051195,1.207361819072814,mesure_experimentale
traces_fission_zircon,100.0,600.0,112,7.627464858251339,0.8296853605893206,mesure_experimentale
