source,materiau,temperature_vieillissement_C,duree_jours,repetition,masse_mg,temperature_apparition_C,points_de_courbe,data_kind
recuit_thermique_polymere,LDPE-SBC-818,0.0,0.0,1,10.54,212.95829,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,12.0,1,10.18,198.882,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,16.0,1,10.37,196.20377,274,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,1.0,1,10.35,212.15674,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,20.0,1,10.38,198.135,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,2.0,1,10.67,213.15674,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,5.0,1,10.96,205.18086,272,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,100.0,8.0,1,10.36,206.15674,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,12.0,1,10.42,190.592,236,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,16.0,1,10.68,186.09267,235,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,1.0,1,10.51,210.29395,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,20.0,1,10.79,199.01443,235,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,2.0,1,10.43,204.22219,270,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,5.0,1,10.56,192.149,236,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,110.0,8.0,1,10.47,183.34048,235,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,12.0,1,10.74,208.47792,272,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,16.0,1,10.67,206.838,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,1.0,1,10.64,213.17344,271,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,20.0,1,10.54,208.17743,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,2.0,1,10.28,212.76152,272,mesure_experimentale
recuit_thermique_polymere,LDPE-SBC-818,90.0,8.0,1,10.89,212.85333,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,0.0,0.0,1,10.16,212.872,233,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,12.0,1,10.23,201.60404,231,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,16.0,1,10.18,208.568,233,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,1.0,1,10.7,213.328,235,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,20.0,1,10.85,208.753,232,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,2.0,1,10.37,215.328,235,mesure_experimentale
recuit_thermique_polymere,LDPE-SEB-853,100.0,5.0,1,10.68,213.328,235,mesure_experimentale
