band,low_period_years,high_period_years,nominal_period_years,peak_period_years,relative_period_error,normalized_band_power,job,power_ratio_vs_baseline
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.2868267807515334,jupiter_mass_minus_5pct_2myr,0.9104256202298188
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.25974902863646676,jupiter_mass_minus_5pct_2myr,1.0842525414814297
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,jupiter_mass_minus_5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,jupiter_mass_minus_5pct_2myr,
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.25711211070344053,jupiter_mass_plus_5pct_2myr,0.8161073810557219
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.18728623185633325,jupiter_mass_plus_5pct_2myr,0.7817760626120038
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,jupiter_mass_plus_5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,jupiter_mass_plus_5pct_2myr,
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.34050374361253394,saturn_mass_minus_5pct_2myr,1.0808033028044195
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.20007064727640492,saturn_mass_minus_5pct_2myr,0.8351411703982858
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,saturn_mass_minus_5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,saturn_mass_minus_5pct_2myr,
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.2896106760408741,saturn_mass_plus_5pct_2myr,0.9192620670525735
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.26326532683919096,saturn_mass_plus_5pct_2myr,1.0989303837160052
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,saturn_mass_plus_5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,saturn_mass_plus_5pct_2myr,
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.13833465600277522,jupiter_a_minus_0p5pct_2myr,0.4390922446663201
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.1686337696093288,jupiter_a_minus_0p5pct_2myr,0.7039163697293576
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,jupiter_a_minus_0p5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,jupiter_a_minus_0p5pct_2myr,
95 kyr,80000.0,110000.0,95000.0,105315.78947368421,0.10858725761772857,0.3117141139529943,jupiter_a_plus_0p5pct_2myr,0.9894212625001756
125 kyr,110000.0,160000.0,125000.0,111166.66666666667,0.11066666666666662,0.27690154877589157,jupiter_a_plus_0p5pct_2myr,1.1558511289780213
405 kyr,350000.0,460000.0,405000.0,400200.0,0.011851851851851851,0.0,jupiter_a_plus_0p5pct_2myr,
2.4 Myr,1800000.0,3200000.0,2400000.0,,,,jupiter_a_plus_0p5pct_2myr,
