time_years,elapsed_years,baseline,r00,r01,r02,r03,r04,r05,r06,r07,ensemble_mean,ensemble_std,rms_difference_vs_baseline,median_abs_difference_vs_baseline
-10000000,10000000,0.0542245077976881,0.0542245774092912,0.0542244866164905,0.0542245052818047,0.0542245355933488,0.0542245550417052,0.0542245297451087,0.0542245742749826,0.0542245235559691,0.0542245359398376,2.983023369864972e-08,4.1010040488625634e-08,2.4871540646453916e-08
-9999000,9999000,0.0544212813443881,0.0544212967072556,0.0544212715700659,0.0544212726343785,0.0544212816853365,0.0544212918079816,0.0544212866631186,0.0544212928775303,0.0544212806300245,0.05442128432196143,8.717134055162123e-09,9.211643126965255e-09,9.242165904116417e-09
-9998000,9998000,0.0546552313150832,0.0546552175793767,0.0546552409600295,0.0546552393144097,0.0546552296288188,0.0546552221181095,0.0546552249884192,0.0546552205932946,0.0546552298623901,0.05465522813060601,7.97714113398452e-09,8.589276781693412e-09,8.598150101624125e-09
-9997000,9997000,0.0547828709826237,0.0547829004616042,0.0547828561302797,0.0547828638093534,0.0547828753927942,0.0547828933465468,0.0547828839894453,0.0547828941976432,0.0547828716973291,0.05478287987812449,1.473193278588533e-08,1.7209293356642746e-08,1.3929582799721008e-08
-9996000,9996000,0.0548535971163215,0.0548535804701733,0.0548536013990302,0.0548535966879017,0.0548535884056287,0.0548535857507415,0.0548535905597849,0.0548535815552868,0.0548535913575921,0.0548535895232674,6.687050338555161e-09,1.0117861076459329e-08,7.63361469868773e-09
-9995000,9995000,0.0549912774303229,0.0549912380990603,0.054991293644514,0.0549912846695181,0.0549912640376532,0.0549912526912093,0.0549912668949067,0.0549912378944129,0.0549912683244809,0.054991263281969426,1.873910945537126e-08,2.34804201241539e-08,1.4803430401638673e-08
-9994000,9994000,0.054973428367016,0.0549734212771512,0.0549734260364887,0.054973423773396,0.0549734191872154,0.054973424306675,0.0549734261311689,0.0549734198089612,0.0549734220016547,0.05497342281533889,2.493546214668458e-09,6.0859585506335235e-09,5.479490649412666e-09
-9993000,9993000,0.054954287171386,0.0549541940211489,0.0549543240416391,0.0549543013297435,0.0549542551968166,0.0549542246159389,0.0549542557545045,0.0549541994293228,0.0549542681101111,0.054954252812403175,4.297834202418686e-08,5.5024336287639e-08,3.442241125126144e-08
-9992000,9992000,0.0549457967382734,0.0549458130044576,0.0549457893607052,0.0549457938906768,0.0549457995152061,0.0549458098853883,0.0549458050501443,0.0549458082248309,0.054945796856598,0.0549458019735009,7.821967453960284e-09,9.412267624451528e-09,7.844719551036716e-09
-9991000,9991000,0.0548316417301318,0.0548315624947478,0.0548316707641402,0.0548316489430072,0.0548316130052225,0.0548315868540942,0.0548316129065136,0.0548315678559146,0.0548316252026943,0.05483161100329179,3.5387131775234117e-08,4.686563551093567e-08,2.892881329971675e-08
-9990000,9990000,0.0547356206931929,0.0547355330189931,0.0547356543700202,0.0547356333865917,0.0547355888095573,0.0547355627710701,0.0547355923343636,0.0547355360448085,0.0547356015765514,0.05473558778899449,4.035325712818184e-08,5.2067952081196345e-08,3.278023144939746e-08
-9989000,9989000,0.0545498168230467,0.0545498056442355,0.0545498200665119,0.0545498176419457,0.0545498095141817,0.0545498118925477,0.0545498167475088,0.0545498008417726,0.0545498111920907,0.05454981169259932,6.025242537272726e-09,7.913598291508912e-09,5.280727501111304e-09
-9988000,9988000,0.0544048571398239,0.0544047667448907,0.0544048920635474,0.0544048673913014,0.054404826057398,0.0544047948377959,0.0544048249824141,0.0544047720617404,0.0544048395068437,0.05440482295574145,4.1198532193170635e-08,5.353382620423936e-08,3.3540566650447357e-08
-9987000,9987000,0.0541833628502478,0.0541834259938197,0.0541833409970054,0.054183357212844,0.0541833857504055,0.0541834048896949,0.0541833813748737,0.0541834239500468,0.0541833763214158,0.05418338706126323,2.8188253225123472e-08,3.7158456476494666e-08,2.2376700051923715e-08
-9986000,9986000,0.0539120836262104,0.0539120365037194,0.0539120977469455,0.0539120862510749,0.0539120606932126,0.0539120545283734,0.0539120714187807,0.0539120330282211,0.0539120691384,0.053912063663590956,2.1007278043545415e-08,2.897950838380623e-08,1.8710404101063283e-08
-9985000,9985000,0.0536957306006355,0.0536957912249551,0.0536957167356861,0.0536957298256677,0.0536957631588211,0.053695767181791,0.0536957440356903,0.0536957952799966,0.0536957512327968,0.05369575733442558,2.5832160627631946e-08,3.7175207535962245e-08,2.6595173455851162e-08
-9984000,9984000,0.053374181954637,0.0533742116713005,0.0533741653026602,0.0533741739838125,0.0533741837618054,0.0533742042891584,0.05337419355846,0.0533742059528554,0.0533741819647445,0.05337419006059961,1.545521524339716e-08,1.7451942816604322e-08,1.4127899902044438e-08
-9983000,9983000,0.0530555740355342,0.0530556460586077,0.0530555529825228,0.0530555707905105,0.0530556066398907,0.0530556201242813,0.0530555933560871,0.0530556475823038,0.0530555940147889,0.0530556039436241,3.133275088850676e-08,4.33155297737647e-08,2.6828683951513055e-08
-9982000,9982000,0.0527090807249561,0.0527091478400014,0.052709058816099,0.0527090749614301,0.0527091086561582,0.0527091239760286,0.0527090994575054,0.0527091480752715,0.052709097722283,0.05270910743809715,2.986553229120168e-08,4.006921416425751e-08,2.492002960235995e-08
-9981000,9981000,0.0523676629313631,0.0523676884048867,0.0523676510336695,0.0523676582990466,0.0523676683545956,0.0523676817831623,0.0523676733621188,0.0523676842071177,0.0523676654285363,0.05236767135914168,1.2227992040466527e-08,1.4850967687425422e-08,1.116422464891853e-08
-9980000,9980000,0.0519269586505582,0.0519270389683713,0.051926934292704,0.0519269559236384,0.0519269934277375,0.0519270104168716,0.0519269798173286,0.0519270414764252,0.0519269802140192,0.05192699181713697,3.5202733096572905e-08,4.836583882419628e-08,2.9567516750955702e-08
-9979000,9979000,0.0515285705994896,0.0515285868438132,0.051528565372085,0.0515285690635269,0.0515285774107696,0.0515285815454671,0.0515285761676383,0.0515285853755633,0.0515285747787375,0.05152857706970011,6.997005631264803e-09,9.530042595803723e-09,6.189714348708852e-09
-9978000,9978000,0.0510753736550289,0.0510754195621544,0.0510753552391107,0.0510753677872353,0.0510753877203763,0.0510754060672704,0.0510753905268738,0.0510754147472631,0.0510753815403919,0.05107539039883449,2.0982129957145752e-08,2.6844083205165325e-08,1.764388155023333e-08
-9977000,9977000,0.0506055018440434,0.0506055158011376,0.0506055005837642,0.0506055028246975,0.0506055127106944,0.0506055075560283,0.0506055004440577,0.0506055215050753,0.0506055101263287,0.050605508943972956,7.087856929643096e-09,1.0032283668889328e-08,6.9971350970254864e-09
