time_myr,obliquity_A_deg,eccentricity_A,obliquity_B_deg,eccentricity_B
-10.0,70.0,0.3,10.0,0.01
-9.98,70.0,0.3,10.0,0.01
-9.96,70.0,0.3,10.0,0.01
-9.940000000000001,70.0,0.3,10.0,0.01
-9.920000000000002,70.0,0.3,10.0,0.01
-9.900000000000002,70.0,0.3,10.0,0.01
-9.880000000000003,70.0,0.3,10.0,0.01
-9.860000000000003,70.0,0.3,10.0,0.01
-9.840000000000003,70.0,0.3,10.0,0.01
-9.820000000000004,70.0,0.3,10.0,0.01
-9.800000000000004,70.0,0.3,10.0,0.01
-9.780000000000005,70.0,0.3,10.0,0.01
-9.760000000000005,70.0,0.3,10.0,0.01
-9.740000000000006,70.0,0.3,10.0,0.01
-9.720000000000006,70.0,0.3,10.0,0.01
-9.700000000000006,70.0,0.3,10.0,0.01
-9.680000000000007,70.0,0.3,10.0,0.01
-9.660000000000007,70.0,0.3,10.0,0.01
-9.640000000000008,70.0,0.3,10.0,0.01
-9.620000000000008,70.0,0.3,10.0,0.01
-9.600000000000009,70.0,0.3,10.0,0.01
-9.580000000000009,70.0,0.3,10.0,0.01
-9.56000000000001,70.0,0.3,10.0,0.01
-9.54000000000001,70.0,0.3,10.0,0.01
-9.52000000000001,70.0,0.3,10.0,0.01
-9.50000000000001,70.0,0.3,10.0,0.01
-9.480000000000011,70.0,0.3,10.0,0.01
-9.460000000000012,70.0,0.3,10.0,0.01
-9.440000000000012,70.0,0.3,10.0,0.01
-9.420000000000012,70.0,0.3,10.0,0.01
-9.400000000000013,70.0,0.3,10.0,0.01
-9.380000000000013,70.0,0.3,10.0,0.01
-9.360000000000014,70.0,0.3,10.0,0.01
-9.340000000000014,70.0,0.3,10.0,0.01
-9.320000000000014,70.0,0.3,10.0,0.01
-9.300000000000015,70.0,0.3,10.0,0.01
-9.280000000000015,70.0,0.3,10.0,0.01
-9.260000000000016,70.0,0.3,10.0,0.01
-9.240000000000016,70.0,0.3,10.0,0.01
-9.220000000000017,70.0,0.3,10.0,0.01
-9.200000000000017,70.0,0.3,10.0,0.01
-9.180000000000017,70.0,0.3,10.0,0.01
-9.160000000000018,70.0,0.3,10.0,0.01
-9.140000000000018,70.0,0.3,10.0,0.01
-9.120000000000019,70.0,0.3,10.0,0.01
-9.10000000000002,70.0,0.3,10.0,0.01
-9.08000000000002,70.0,0.3,10.0,0.01
-9.06000000000002,70.0,0.3,10.0,0.01
-9.04000000000002,70.0,0.3,10.0,0.01
-9.020000000000021,70.0,0.3,10.0,0.01
-9.000000000000021,70.0,0.3,10.0,0.01
-8.980000000000022,70.0,0.3,10.0,0.01
-8.960000000000022,70.0,0.3,10.0,0.01
-8.940000000000023,70.0,0.3,10.0,0.01
-8.920000000000023,70.0,0.3,10.0,0.01
-8.900000000000023,70.0,0.3,10.0,0.01
-8.880000000000024,70.0,0.3,10.0,0.01
-8.860000000000024,70.0,0.3,10.0,0.01
-8.840000000000025,70.0,0.3,10.0,0.01
-8.820000000000025,70.0,0.3,10.0,0.01
-8.800000000000026,70.0,0.3,10.0,0.01
-8.780000000000026,70.0,0.3,10.0,0.01
-8.760000000000026,70.0,0.3,10.0,0.01
-8.740000000000027,70.0,0.3,10.0,0.01
-8.720000000000027,70.0,0.3,10.0,0.01
-8.700000000000028,70.0,0.3,10.0,0.01
-8.680000000000028,70.0,0.3,10.0,0.01
-8.660000000000029,70.0,0.3,10.0,0.01
-8.640000000000029,70.0,0.3,10.0,0.01
-8.62000000000003,70.0,0.3,10.0,0.01
-8.60000000000003,70.0,0.3,10.0,0.01
-8.58000000000003,70.0,0.3,10.0,0.01
-8.56000000000003,70.0,0.3,10.0,0.01
-8.540000000000031,70.0,0.3,10.0,0.01
-8.520000000000032,70.0,0.3,10.0,0.01
-8.500000000000032,70.0,0.3,10.0,0.01
-8.480000000000032,70.0,0.3,10.0,0.01
-8.460000000000033,70.0,0.3,10.0,0.01
-8.440000000000033,70.0,0.3,10.0,0.01
-8.420000000000034,70.0,0.3,10.0,0.01
-8.400000000000034,70.0,0.3,10.0,0.01
-8.380000000000035,70.0,0.3,10.0,0.01
-8.360000000000035,70.0,0.3,10.0,0.01
-8.340000000000035,70.0,0.3,10.0,0.01
-8.320000000000036,70.0,0.3,10.0,0.01
-8.300000000000036,70.0,0.3,10.0,0.01
-8.280000000000037,70.0,0.3,10.0,0.01
-8.260000000000037,70.0,0.3,10.0,0.01
-8.240000000000038,70.0,0.3,10.0,0.01
-8.220000000000038,70.0,0.3,10.0,0.01
-8.200000000000038,70.0,0.3,10.0,0.01
-8.180000000000039,70.0,0.3,10.0,0.01
-8.16000000000004,70.0,0.3,10.0,0.01
-8.14000000000004,70.0,0.3,10.0,0.01
-8.12000000000004,70.0,0.3,10.0,0.01
-8.10000000000004,70.0,0.3,10.0,0.01
-8.080000000000041,70.0,0.3,10.0,0.01
-8.060000000000041,70.0,0.3,10.0,0.01
-8.040000000000042,70.0,0.3,10.0,0.01
-8.020000000000042,70.0,0.3,10.0,0.01
-8.000000000000043,70.0,0.3,10.0,0.01
-7.980000000000043,70.0,0.3,10.0,0.01
-7.9600000000000435,70.0,0.3,10.0,0.01
-7.940000000000044,70.0,0.3,10.0,0.01
-7.920000000000044,70.0,0.3,10.0,0.01
-7.900000000000045,70.0,0.3,10.0,0.01
-7.880000000000045,70.0,0.3,10.0,0.01
-7.860000000000046,70.0,0.3,10.0,0.01
