model,replicate,trajectory,variable,final_mean,final_window_std
classic,0,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,0,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,0,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,0,A,regolith_fraction,0.6340664518586209,8.881784197001252e-16
classic,0,A,carbon_memory,0.4269255420431437,6.661338147750939e-16
classic,0,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,0,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,0,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,0,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,0,B,regolith_fraction,0.6340664518586209,8.881784197001252e-16
classic,0,B,carbon_memory,0.4269255420431437,6.661338147750939e-16
classic,0,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,1,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,1,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,1,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,1,A,regolith_fraction,0.6737801940073587,1.2212453270876722e-15
classic,1,A,carbon_memory,0.23207081815073136,5.551115123125783e-17
classic,1,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,1,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,1,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,1,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,1,B,regolith_fraction,0.6737801940073587,1.2212453270876722e-15
classic,1,B,carbon_memory,0.23207081815073136,5.551115123125783e-17
classic,1,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,2,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,2,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,2,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,2,A,regolith_fraction,0.6758489271019177,0.0
classic,2,A,carbon_memory,0.22164152403290643,4.718447854656915e-16
classic,2,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,2,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,2,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,2,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,2,B,regolith_fraction,0.6758489271019177,0.0
classic,2,B,carbon_memory,0.22164152403290643,4.718447854656915e-16
classic,2,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,3,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,3,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,3,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,3,A,regolith_fraction,0.9998433333316105,1.5543122344752192e-15
classic,3,A,carbon_memory,0.40069095000927013,5.551115123125783e-16
classic,3,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,3,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,3,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,3,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,3,B,regolith_fraction,0.9998433333316105,1.5543122344752192e-15
classic,3,B,carbon_memory,0.40069095000927013,5.551115123125783e-16
classic,3,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,4,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,4,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,4,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,4,A,regolith_fraction,0.7278692148100512,6.661338147750939e-16
classic,4,A,carbon_memory,0.5290965147249901,9.992007221626409e-16
classic,4,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,4,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,4,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,4,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,4,B,regolith_fraction,0.7278692148100512,6.661338147750939e-16
classic,4,B,carbon_memory,0.5290965147249901,9.992007221626409e-16
classic,4,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,5,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,5,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,5,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,5,A,regolith_fraction,0.6794707524439887,8.881784197001252e-16
classic,5,A,carbon_memory,0.5023725182790524,6.661338147750939e-16
classic,5,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,5,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,5,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,5,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,5,B,regolith_fraction,0.6794707524439887,8.881784197001252e-16
classic,5,B,carbon_memory,0.5023725182790524,6.661338147750939e-16
classic,5,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,6,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,6,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,6,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,6,A,regolith_fraction,0.8996894097347375,1.1102230246251565e-16
classic,6,A,carbon_memory,0.3199640460256037,5.551115123125783e-16
classic,6,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,6,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,6,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,6,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,6,B,regolith_fraction,0.8996894097347375,1.1102230246251565e-16
classic,6,B,carbon_memory,0.3199640460256037,5.551115123125783e-16
classic,6,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,7,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,7,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,7,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,7,A,regolith_fraction,0.7078728396236703,0.0
classic,7,A,carbon_memory,0.43578637794590747,2.220446049250313e-16
classic,7,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,7,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,7,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,7,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,7,B,regolith_fraction,0.7078728396236703,0.0
classic,7,B,carbon_memory,0.43578637794590747,2.220446049250313e-16
classic,7,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,8,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,8,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,8,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,8,A,regolith_fraction,0.9429765226017065,9.992007221626409e-16
classic,8,A,carbon_memory,0.19347041076278196,3.885780586188048e-16
classic,8,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,8,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,8,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,8,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,8,B,regolith_fraction,0.9429765226017065,9.992007221626409e-16
