block_start_index,block_stop_index,rmse_M0,rmse_M1,rmse_M2,rmse_M1P,rmse_M2_ablation
0,50,1.0976096784657279,1.1489133103248153,1.3458759004922056,1.091750787587197,0.9931833195352836
50,100,1.480673541454533,1.583830469149005,1.4751319995532235,0.8887850108323402,1.0743287494792857
100,150,1.3235382901745354,1.3144399933893418,1.0943405524425782,1.313295385091746,1.282391204127572
150,200,1.5761674635981973,1.6124530836414104,1.4857184661124072,1.0469118508311956,1.2662201764974994
200,250,1.6558274556139787,1.6350905700181075,1.6294087437025746,1.4652383114739267,1.4295161581458473
250,300,1.543283513318156,1.588873947967383,1.5161249943844135,0.9569467844708643,1.2597456358825898
300,350,2.3199142071068293,2.2772679893239456,2.2328017393421784,1.7946460127686075,2.026131338423722
350,400,1.637798165418332,1.6716216097495047,1.6275262166106634,1.0954913241498434,1.3218057859772971
400,450,1.9574077865487953,1.9658015477141544,1.8597601302024145,1.4438796629395179,1.6350184466639857
450,500,2.1649333713077374,2.217695096732031,2.1398491260785035,1.3963183498972396,1.7432284103545692
500,550,2.5141454453688863,2.5524587935690466,2.53260081925666,1.753770163610446,2.1358765994533275
550,600,3.0989030515108698,3.1574903331786133,2.995817183698024,2.3847146841835123,2.7627439438255212
600,650,1.5124657118394693,1.4910040252126116,1.3625160449562037,1.076860537056654,1.2470206761797462
650,700,1.7561007226121947,1.785796657352712,1.7856084379960453,1.0342347412348567,1.3768169818080427
700,750,2.1664718473190328,2.2363167843913336,2.1239265181933584,1.390703804482376,1.800309840196542
750,800,3.0215632315955494,3.0395029899995265,2.9584714341757508,2.6462363832910727,2.8438094246520036
800,850,2.1001343472707705,2.128145178507189,2.170942700381235,1.2861014615714892,1.699794711654026
850,900,1.8430305219381493,1.8275437823925949,1.5927183146009127,1.8537706905716904,1.7436410428186044
900,950,2.308230704254607,2.3280165267294195,2.3088457751386624,1.1871487284936653,1.8406629617715942
950,1000,1.4657781755533679,1.484310465567754,1.489428416785713,1.4663112485371896,1.299102217942177
1000,1050,2.778599331146169,2.8286254878914083,2.8149505351510165,1.701268356971315,2.4283047848437747
1050,1100,2.4126240371056173,2.3803313841865332,2.13124113934162,2.1042167760978345,2.2236388682534227
1100,1150,1.831857188449023,1.873678429810657,1.7953175965735397,0.8987500104279281,1.4719005267636494
1150,1200,2.9403483583370305,2.9525131320237863,2.807208767643,2.189689916584184,2.657604472079167
