interval,model,parameter_count,observed_power_ratio,rmse_standardized,correlation,best_lag_kyr,best_lag_correlation,power_ratio_100k_to_41k,power_ratio_log_error,termination_count,termination_timing_mae_kyr,residual_lag1_autocorrelation,sample_size,effective_sample_size,aic_naive,bic_naive,aic,bic,aicc
calibration,M0,3,0.18821942775416292,0.967960296335947,0.25187624119962176,-1,0.2527902595514841,0.03210023261144802,1.7687451745507161,27,13.413793103448276,0.9727084029052615,1401,19.382250044364454,-85.2449128575919,-69.51008821858088,4.737664727850042,7.630737831101364,6.297904610232711
calibration,M1,6,0.18821942775416292,0.9601901231322472,0.281215773192598,1,0.2816581295452278,0.02048250478458947,2.218037354495163,26,14.448275862068966,0.9721694818875153,1401,19.770388008577324,-101.82836169598812,-70.35871241796607,10.393696732969046,16.298808311684784,16.97141386604134
calibration,M2,8,0.18821942775416292,0.8545451570491723,0.5200643462701767,-2,0.5353429289157567,0.003775152647018025,3.9091676329433573,31,8.551724137931034,0.96750599981565,1401,23.13796972539847,-424.4349805012895,-382.47544813059346,8.726073344150391,17.857873177505887,18.91141132385394
calibration,M1P,8,0.18821942775416292,0.8685786596409675,0.49575257577247944,0,0.49575257577247944,0.08406945916316061,0.8059650991692984,26,14.448275862068966,0.9672142610366476,1401,23.349170040812833,-378.7937522843353,-336.83421991363923,9.42033800632585,18.624829519866026,19.455761629464046
calibration,M2_ablation,7,0.18821942775416292,1.0987783221513892,0.18021660591386707,8,0.26927448193246284,0.03217245548882732,1.7664977842543896,26,14.517241379310345,0.9744579657703202,1401,18.12365245355852,277.94544777664544,314.6600386010045,17.414457931622273,23.694982885730987,28.477658739215325
prediction,M0,3,2.6036246418251188,2.094486280284365,0.08605169228870087,-7,0.22601735160361977,0.017472901765189734,5.004008635924486,25,11.761904761904763,0.9710643503284554,1200,17.616258748765546,1780.3399464717347,1795.610176979063,32.04769300443074,34.654159808892366,33.81029170667528
prediction,M1,6,2.6036246418251188,2.1177881674304304,0.08568938585220409,9,0.18320051003155946,0.020635175195851008,4.837662692777449,24,13.19047619047619,0.9711318941144782,1200,17.574535304340348,1812.8933443195965,1843.433805334253,38.37488638258026,43.57359236234132,46.31849785887104
prediction,M2,8,2.6036246418251188,2.042097934661037,0.25954545378860794,-5,0.35166607030771374,0.004694799642179714,6.31820440914624,26,9.761904761904763,0.9702618136620325,1200,18.11222415118197,1729.5464290226396,1770.2670437088484,41.8634475132629,49.03614413552225,57.666395027599606
prediction,M1P,8,2.6036246418251188,1.5521968919110047,0.17496095314833457,10,0.29598671311937197,0.021958048302431813,4.775526108599015,24,12.80952380952381,0.9695598378397691,1200,18.54637462162184,1071.2110649422552,1111.931679628464,32.30861642941633,39.67081108353962,47.39287675939024
prediction,M2_ablation,7,2.6036246418251188,1.810076846205213,0.10036935289206383,10,0.27971798522268776,0.03775329973418903,4.2335869641215895,24,13.761904761904763,0.9714839299716619,1200,17.357120448096985,1438.0863220242863,1473.716859874719,34.59836484988581,40.57638460856401,46.5678591640023
