final_obliquity_deg,final_eccentricity,attractor_ice_mean,attractor_temperature_mean,attractor_spread_temperature_k,delta10_temperature_k,delta50_temperature_k,delta200_temperature_k,attractor_spread_ice_fraction,delta10_ice_fraction,delta50_ice_fraction,delta200_ice_fraction,attractor_spread_co2_ppm,delta10_co2_ppm,delta50_co2_ppm,delta200_co2_ppm,attractor_spread_productivity,delta10_productivity,delta50_productivity,delta200_productivity
5.0,0.0,0.9999998594739846,-3.167283186826042,3.019806626980426e-14,0.011223630324368683,3.7023190083251833e-05,4.440892098500626e-15,2.220446049250313e-15,5.7998021385508025e-09,4.469219438973937e-11,3.1086244689504383e-15,6.707523425575346e-12,2.985793551183434,0.00988773872441584,2.9558577807620168e-12,4.6629367034256575e-15,0.0016916906983864,5.593357272765109e-06,2.220446049250313e-16
5.0,0.02,0.9999998211914022,-3.160241514580326,3.019806626980426e-14,0.0116724334831384,3.846396167328514e-05,1.2878587085651816e-14,2.220446049250313e-15,7.845975535936134e-09,6.018940901242331e-11,5.995204332975845e-15,6.707523425575346e-12,3.1004433145474763,0.010261209042681685,2.8421709430404007e-12,4.718447854656915e-15,0.0017615301013850226,5.8197003845739115e-06,3.3306690738754696e-16
5.0,0.05,0.9999997231630943,-3.12321237326073,3.019806626980426e-14,0.012425864288057697,4.0721589044112605e-05,1.7763568394002505e-15,2.220446049250313e-15,1.3392764675046465e-08,1.0207662493044722e-10,9.992007221626409e-16,6.650680006714538e-12,3.279491352097608,0.010800658146848718,4.888534022029489e-12,4.829470157119431e-15,0.0018891578105494355,6.2089559006994754e-06,9.992007221626409e-16
5.0,0.1,0.9999992891868533,-2.9901156579109966,3.019806626980426e-14,0.014124847578420585,4.5425462771975234e-05,4.884981308350689e-15,2.220446049250313e-15,4.159645772272569e-08,3.136748638610243e-10,5.995204332975845e-15,6.536993168992922e-12,3.6470356227502805,0.011798775354236568,3.808509063674137e-12,4.884981308350689e-15,0.0022026473010765546,7.106715405047481e-06,3.885780586188048e-16
5.0,0.18,0.999993964442148,-2.5841057240060095,3.019806626980426e-14,0.018829836181661008,5.78769751189423e-05,1.687538997430238e-14,2.220446049250313e-15,5.279791657764044e-07,3.892848543518568e-09,5.995204332975845e-15,6.30961949354969e-12,4.550567362875995,0.01409850512510502,3.637978807091713e-12,5.218048215738236e-15,0.003114538300003411,9.604973753796209e-06,7.771561172376096e-16
5.0,0.3,0.9990040197341269,-1.4648171159779404,3.241851231905457e-14,0.021300141088180125,6.413218984258062e-05,1.765254609153999e-14,2.4424906541753444e-15,0.00022832622103963196,1.1221908173819628e-06,3.885780586188048e-15,5.5138116294983774e-12,4.032752244622628,0.012243511408399854,8.810729923425242e-13,5.717648576819556e-15,0.003555593359949122,1.0797213791158278e-05,2.55351295663786e-15
12.0,0.0,0.9999988973657126,-3.167280413766267,2.9753977059954195e-14,0.015038198146388515,4.961212964227357e-05,1.4654943925052066e-14,2.220446049250313e-15,5.888980753043782e-08,4.550119170332323e-10,9.992007221626409e-16,6.707523425575346e-12,3.995846617289317,0.013250195878526938,3.751665644813329e-12,4.6074255521944e-15,0.0022650240150720313,7.495215497005381e-06,9.43689570931383e-16
12.0,0.02,0.9999984758349164,-3.160237637813675,3.019806626980426e-14,0.015936474192223216,5.252214067419381e-05,6.217248937900877e-15,2.220446049250313e-15,8.749895774595728e-08,6.737034263792907e-10,3.1086244689504383e-15,6.650680006714538e-12,4.227477065324678,0.014012105738970604,5.9685589803848416e-12,4.6629367034256575e-15,0.0024031116025766686,7.946681892773144e-06,1.1102230246251565e-15
12.0,0.05,0.9999973011756597,-3.123205402704231,3.019806626980426e-14,0.017481580741492753,5.72989387013223e-05,1.8207657603852567e-14,2.220446049250313e-15,1.7394030499273683e-07,1.3323386283126126e-09,5.440092820663267e-15,6.59383658785373e-12,4.606618040726715,0.015198603418156154,4.547473508864641e-12,4.829470157119431e-15,0.002655310465337374,8.736454289115514e-06,1.1102230246251565e-15
12.0,0.1,0.9999910619403073,-2.990092080697741,3.019806626980426e-14,0.020872350188165134,6.713915391509673e-05,7.549516567451064e-15,2.220446049250313e-15,7.204846443342738e-07,5.4642306235308524e-09,9.992007221626409e-16,6.650680006714538e-12,5.378087438061101,0.017443437488594782,7.275957614183426e-12,4.884981308350689e-15,0.003250921031156623,1.0503369500425297e-05,3.3306690738754696e-15
