tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
1.0,5.0,0.03,0.5,1.7244255754222948e-05,0.0,7.862927198232228e-09,6.527745324336198e-06,0.0,2.773858920335215e-11,0.002072611227077914,0.0,1.695833191206475e-06,3.232539506570209e-06,0.0,1.1308683156574517e-09
1.0,8.237744862210329,0.03,0.5,5.145537119966015e-05,0.0,7.862927198232228e-09,1.885962284953191e-05,0.0,2.773858920335215e-11,0.005500483720055627,0.0,1.695833191206475e-06,9.579575788343231e-06,0.0,1.1308683156574517e-09
1.0,13.572088082974531,0.03,0.5,6.180875276728948e-05,1.6830981053317373e-13,7.862927198232228e-09,2.2240397999084838e-05,5.856426454897701e-14,2.773858920335215e-11,0.006149834215307237,1.5774048733874224e-11,1.695833191206475e-06,1.1462241704840448e-05,3.069766663088558e-14,1.1308683156574517e-09
1.0,22.360679774997894,0.03,0.5,2.35928280856168e-05,1.503464019947387e-11,7.862927198232228e-09,8.471717106717236e-06,5.353995025103586e-12,2.773858920335215e-11,0.002317989715550084,1.4324825770017924e-09,1.695833191206475e-06,4.371365310118502e-06,2.781108676686017e-12,1.1308683156574517e-09
1.0,36.84031498640386,0.03,0.5,0.00019905741703385438,3.425663308576077e-09,7.862927198232228e-09,7.06787278187404e-05,1.2123823611709383e-09,2.773858920335215e-11,0.01872148632929793,3.1793805987945234e-07,1.695833191206475e-06,3.679945084114622e-05,6.32752766849265e-10,1.1308683156574517e-09
1.0,60.696223100291725,0.03,0.5,0.0003886792614855583,4.897021210759078e-08,7.862927198232228e-09,0.00013746679414750052,1.7268469321152224e-08,2.773858920335215e-11,0.03595901270614377,4.474830461731472e-06,1.695833191206475e-06,7.178785441966373e-05,9.036918241500658e-09,1.1308683156574517e-09
1.0,100.0,0.03,0.5,0.0005386776100719803,2.2517410713795982e-07,7.862927198232228e-09,0.00019009157526989062,7.923278622090635e-08,2.773858920335215e-11,0.0493628587642263,2.0384806418860535e-05,1.695833191206475e-06,9.943561391204114e-05,4.1529201189050013e-08,1.1308683156574517e-09
1.0,164.75489724420657,0.03,0.5,0.0006401287153003921,5.507269094096046e-07,7.862927198232228e-09,0.0002255953082965223,1.9353615732242702e-07,2.773858920335215e-11,0.05832911094066162,4.9576850756238855e-05,1.695833191206475e-06,0.00011812135342129104,1.015342104560002e-07,1.1308683156574517e-09
1.0,271.4417616594907,0.03,0.5,0.000704009132448391,9.353860843663853e-07,7.862927198232228e-09,0.0002479149177508355,3.284574354167624e-07,2.773858920335215e-11,0.0639347484004702,8.39181714127335e-05,1.695833191206475e-06,0.00012988122493678977,1.7241221852981603e-07,1.1308683156574517e-09
1.0,447.213595499958,0.03,0.5,0.0007430969027963918,1.2831016675818319e-06,7.862927198232228e-09,0.0002615580282868124,4.5034502804686127e-07,2.773858920335215e-11,0.06734912676787985,0.00011487676277965875,1.695833191206475e-06,0.0001370745552745356,2.3647058397524567e-07,1.1308683156574517e-09
