final_hold_myr,variable,median_delta_classic,median_delta_ablated,median_delta_M2,materiality_threshold
10,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0025204296876411014,0.1
10,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.529192785567403e-05,0.01
10,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.686630060623088,1.0
10,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003756113554703455,0.01
15,temperature_k,6.341149827449044e-12,2.604139126560767e-12,0.0012366370665259918,0.1
15,ice_fraction,2.653433028854124e-14,3.3306690738754696e-15,1.8447250906994395e-05,0.01
15,co2_ppm,1.3642420526593924e-09,5.665583557856735e-10,0.34241157137117284,1.0
15,productivity,9.132972156322694e-13,3.7336800318144014e-13,0.000185597392946657,0.01
20,temperature_k,4.440892098500626e-16,0.0,0.0006062315951576025,0.1
20,ice_fraction,0.0,0.0,9.70465531574538e-06,0.01
20,co2_ppm,2.8421709430404007e-13,0.0,0.16959264539755736,1.0
20,productivity,1.3877787807814457e-16,0.0,9.126177503177013e-05,0.01
30,temperature_k,0.0,0.0,0.00014554328012983397,0.1
30,ice_fraction,0.0,0.0,2.7142998809126517e-06,0.01
30,co2_ppm,0.0,0.0,0.04129359531438581,1.0
30,productivity,0.0,0.0,2.193398023692117e-05,0.01
40,temperature_k,0.0,0.0,3.4934110404893914e-05,0.1
40,ice_fraction,0.0,0.0,7.638105183893629e-07,0.01
40,co2_ppm,0.0,0.0,0.010036447923198466,1.0
40,productivity,0.0,0.0,5.257901009664279e-06,0.01
60,temperature_k,0.0,0.0,2.0152019699626322e-06,0.1
60,ice_fraction,0.0,0.0,6.072341790508418e-08,0.01
60,co2_ppm,0.0,0.0,0.0005960656934291819,1.0
60,productivity,0.0,0.0,3.018526528453247e-07,0.01
80,temperature_k,0.0,0.0,1.1659756071757954e-07,0.1
80,ice_fraction,0.0,0.0,4.8266824981269e-09,0.01
80,co2_ppm,0.0,0.0,3.582168287152854e-05,1.0
80,productivity,0.0,0.0,1.7345990893646857e-08,0.01
120,temperature_k,0.0,0.0,3.9588288203162847e-10,0.1
120,ice_fraction,0.0,0.0,3.041439322615247e-11,0.01
120,co2_ppm,0.0,0.0,1.358654344585375e-07,1.0
120,productivity,0.0,0.0,5.762287869082172e-11,0.01
150,temperature_k,0.0,0.0,5.6772364587232005e-12,0.1
150,ice_fraction,0.0,0.0,6.789568907095145e-13,0.01
150,co2_ppm,0.0,0.0,2.194553871959215e-09,1.0
150,productivity,0.0,0.0,8.04051270009154e-13,0.01
200,temperature_k,0.0,0.0,4.440892098500626e-15,0.1
200,ice_fraction,0.0,0.0,7.771561172376096e-16,0.01
200,co2_ppm,0.0,0.0,4.149569576838985e-12,1.0
200,productivity,0.0,0.0,1.6653345369377348e-15,0.01
300,temperature_k,0.0,0.0,0.0,0.1
300,ice_fraction,0.0,0.0,0.0,0.01
300,co2_ppm,0.0,0.0,0.0,1.0
300,productivity,0.0,0.0,5.551115123125783e-17,0.01
450,temperature_k,0.0,0.0,0.0,0.1
450,ice_fraction,0.0,0.0,0.0,0.01
450,co2_ppm,0.0,0.0,0.0,1.0
450,productivity,0.0,0.0,5.551115123125783e-17,0.01
600,temperature_k,0.0,0.0,0.0,0.1
600,ice_fraction,0.0,0.0,0.0,0.01
600,co2_ppm,0.0,0.0,0.0,1.0
600,productivity,0.0,0.0,5.551115123125783e-17,0.01
