obliquity_deg,eccentricity,mode,initial_ice,initial_regolith,initial_memory,final_ice
30.0,0.1,classic,0.0,0.1,0.1,0.007687937142143742
30.0,0.1,classic,0.0,0.1,0.7,0.007687937142143742
30.0,0.1,classic,0.0,0.1,1.3,0.007687937142143742
30.0,0.1,classic,0.0,0.5,0.1,0.007687937142143742
30.0,0.1,classic,0.0,0.5,0.7,0.007687937142143742
30.0,0.1,classic,0.0,0.5,1.3,0.007687937142143742
30.0,0.1,classic,0.0,0.9,0.1,0.007687937142143742
30.0,0.1,classic,0.0,0.9,0.7,0.007687937142143742
30.0,0.1,classic,0.0,0.9,1.3,0.007687937142143742
30.0,0.1,classic,0.25,0.1,0.1,0.007687937142143742
30.0,0.1,classic,0.25,0.1,0.7,0.007687937142143742
30.0,0.1,classic,0.25,0.1,1.3,0.007687937142143742
30.0,0.1,classic,0.25,0.5,0.1,0.007687937142143742
30.0,0.1,classic,0.25,0.5,0.7,0.007687937142143742
30.0,0.1,classic,0.25,0.5,1.3,0.007687937142143742
30.0,0.1,classic,0.25,0.9,0.1,0.007687937142143742
30.0,0.1,classic,0.25,0.9,0.7,0.007687937142143742
30.0,0.1,classic,0.25,0.9,1.3,0.007687937142143742
30.0,0.1,classic,0.5,0.1,0.1,0.007687937142143742
30.0,0.1,classic,0.5,0.1,0.7,0.007687937142143742
30.0,0.1,classic,0.5,0.1,1.3,0.007687937142143742
30.0,0.1,classic,0.5,0.5,0.1,0.007687937142143742
30.0,0.1,classic,0.5,0.5,0.7,0.007687937142143742
30.0,0.1,classic,0.5,0.5,1.3,0.007687937142143742
30.0,0.1,classic,0.5,0.9,0.1,0.007687937142143742
30.0,0.1,classic,0.5,0.9,0.7,0.007687937142143742
30.0,0.1,classic,0.5,0.9,1.3,0.007687937142143742
30.0,0.1,classic,0.75,0.1,0.1,0.007687937142143742
30.0,0.1,classic,0.75,0.1,0.7,0.007687937142143742
30.0,0.1,classic,0.75,0.1,1.3,0.007687937142143742
30.0,0.1,classic,0.75,0.5,0.1,0.007687937142143742
30.0,0.1,classic,0.75,0.5,0.7,0.007687937142143742
30.0,0.1,classic,0.75,0.5,1.3,0.007687937142143742
30.0,0.1,classic,0.75,0.9,0.1,0.007687937142143742
30.0,0.1,classic,0.75,0.9,0.7,0.007687937142143742
30.0,0.1,classic,0.75,0.9,1.3,0.007687937142143742
30.0,0.1,classic,1.0,0.1,0.1,0.007687937142143742
30.0,0.1,classic,1.0,0.1,0.7,0.007687937142143742
30.0,0.1,classic,1.0,0.1,1.3,0.007687937142143742
30.0,0.1,classic,1.0,0.5,0.1,0.007687937142143742
30.0,0.1,classic,1.0,0.5,0.7,0.007687937142143742
30.0,0.1,classic,1.0,0.5,1.3,0.007687937142143742
30.0,0.1,classic,1.0,0.9,0.1,0.007687937142143742
30.0,0.1,classic,1.0,0.9,0.7,0.007687937142143742
30.0,0.1,classic,1.0,0.9,1.3,0.007687937142143742
30.0,0.1,M2,0.0,0.1,0.1,0.9461245322188737
30.0,0.1,M2,0.0,0.1,0.7,0.9461245322188762
30.0,0.1,M2,0.0,0.1,1.3,0.9461245322188762
30.0,0.1,M2,0.0,0.5,0.1,0.021978307958592035
30.0,0.1,M2,0.0,0.5,0.7,0.021988405365687108
30.0,0.1,M2,0.0,0.5,1.3,0.02201607480588866
30.0,0.1,M2,0.0,0.9,0.1,0.02181201273145888
30.0,0.1,M2,0.0,0.9,0.7,0.02181600031018853
30.0,0.1,M2,0.0,0.9,1.3,0.021822215699478877
30.0,0.1,M2,0.25,0.1,0.1,0.9461245322188737
30.0,0.1,M2,0.25,0.1,0.7,0.9461245322188762
30.0,0.1,M2,0.25,0.1,1.3,0.9461245322188762
30.0,0.1,M2,0.25,0.5,0.1,0.021980625024467154
30.0,0.1,M2,0.25,0.5,0.7,0.021990983092751944
30.0,0.1,M2,0.25,0.5,1.3,0.022020138563052946
30.0,0.1,M2,0.25,0.9,0.1,0.02181389683288116
30.0,0.1,M2,0.25,0.9,0.7,0.02181794195199638
30.0,0.1,M2,0.25,0.9,1.3,0.021824236534740728
30.0,0.1,M2,0.5,0.1,0.1,0.9461245322188762
30.0,0.1,M2,0.5,0.1,0.7,0.9461245322188762
30.0,0.1,M2,0.5,0.1,1.3,0.9461245322188762
30.0,0.1,M2,0.5,0.5,0.1,0.021984066111851146
30.0,0.1,M2,0.5,0.5,0.7,0.021995424189381434
30.0,0.1,M2,0.5,0.5,1.3,0.9461245322188737
30.0,0.1,M2,0.5,0.9,0.1,0.021816039002455594
30.0,0.1,M2,0.5,0.9,0.7,0.021820186350358498
30.0,0.1,M2,0.5,0.9,1.3,0.021826610300718204
30.0,0.1,M2,0.75,0.1,0.1,0.9461245322188762
30.0,0.1,M2,0.75,0.1,0.7,0.9461245322188762
30.0,0.1,M2,0.75,0.1,1.3,0.9461245322188762
30.0,0.1,M2,0.75,0.5,0.1,0.021993587914206632
30.0,0.1,M2,0.75,0.5,0.7,0.9461245322188737
30.0,0.1,M2,0.75,0.5,1.3,0.9461245322188737
30.0,0.1,M2,0.75,0.9,0.1,0.021818991437208272
30.0,0.1,M2,0.75,0.9,0.7,0.021823427230348538
30.0,0.1,M2,0.75,0.9,1.3,0.021830217332371345
30.0,0.1,M2,1.0,0.1,0.1,0.9461245322188762
30.0,0.1,M2,1.0,0.1,0.7,0.9461245322188762
30.0,0.1,M2,1.0,0.1,1.3,0.9461245322188762
30.0,0.1,M2,1.0,0.5,0.1,0.022017281497335537
30.0,0.1,M2,1.0,0.5,0.7,0.9461245322188737
30.0,0.1,M2,1.0,0.5,1.3,0.9461245322188737
30.0,0.1,M2,1.0,0.9,0.1,0.02182458983468043
30.0,0.1,M2,1.0,0.9,0.7,0.021830485075781683
30.0,0.1,M2,1.0,0.9,1.3,0.02183997368552254
30.0,0.1,M2P_corrige,0.0,0.1,0.1,0.0836248613660729
30.0,0.1,M2P_corrige,0.0,0.1,0.7,0.9421982091599083
30.0,0.1,M2P_corrige,0.0,0.1,1.3,0.9421982091599083
30.0,0.1,M2P_corrige,0.0,0.5,0.1,0.0836248613660695
30.0,0.1,M2P_corrige,0.0,0.5,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.0,0.5,1.3,0.9421982091599059
30.0,0.1,M2P_corrige,0.0,0.9,0.1,0.08362486136607086
30.0,0.1,M2P_corrige,0.0,0.9,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.0,0.9,1.3,0.08362486136607648
30.0,0.1,M2P_corrige,0.25,0.1,0.1,0.0836248613660729
30.0,0.1,M2P_corrige,0.25,0.1,0.7,0.9421982091599083
30.0,0.1,M2P_corrige,0.25,0.1,1.3,0.9421982091599083
30.0,0.1,M2P_corrige,0.25,0.5,0.1,0.0836248613660695
30.0,0.1,M2P_corrige,0.25,0.5,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.25,0.5,1.3,0.9421982091599059
30.0,0.1,M2P_corrige,0.25,0.9,0.1,0.08362486136607086
30.0,0.1,M2P_corrige,0.25,0.9,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.25,0.9,1.3,0.08362486136607648
30.0,0.1,M2P_corrige,0.5,0.1,0.1,0.9421982091599012
30.0,0.1,M2P_corrige,0.5,0.1,0.7,0.9421982091599083
30.0,0.1,M2P_corrige,0.5,0.1,1.3,0.9421982091599083
30.0,0.1,M2P_corrige,0.5,0.5,0.1,0.0836248613660695
30.0,0.1,M2P_corrige,0.5,0.5,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.5,0.5,1.3,0.9421982091599059
30.0,0.1,M2P_corrige,0.5,0.9,0.1,0.08362486136607086
30.0,0.1,M2P_corrige,0.5,0.9,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.5,0.9,1.3,0.08362486136607648
30.0,0.1,M2P_corrige,0.75,0.1,0.1,0.9421982091599012
30.0,0.1,M2P_corrige,0.75,0.1,0.7,0.9421982091599083
30.0,0.1,M2P_corrige,0.75,0.1,1.3,0.9421982091599083
30.0,0.1,M2P_corrige,0.75,0.5,0.1,0.0836248613660695
30.0,0.1,M2P_corrige,0.75,0.5,0.7,0.9421982091599056
30.0,0.1,M2P_corrige,0.75,0.5,1.3,0.9421982091599059
30.0,0.1,M2P_corrige,0.75,0.9,0.1,0.08362486136607086
30.0,0.1,M2P_corrige,0.75,0.9,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,0.75,0.9,1.3,0.08362486136607648
30.0,0.1,M2P_corrige,1.0,0.1,0.1,0.9421982091599012
30.0,0.1,M2P_corrige,1.0,0.1,0.7,0.9421982091599083
30.0,0.1,M2P_corrige,1.0,0.1,1.3,0.9421982091599083
30.0,0.1,M2P_corrige,1.0,0.5,0.1,0.0836248613660695
30.0,0.1,M2P_corrige,1.0,0.5,0.7,0.9421982091599056
30.0,0.1,M2P_corrige,1.0,0.5,1.3,0.9421982091599059
30.0,0.1,M2P_corrige,1.0,0.9,0.1,0.08362486136607086
30.0,0.1,M2P_corrige,1.0,0.9,0.7,0.08362486136607593
30.0,0.1,M2P_corrige,1.0,0.9,1.3,0.08362486136607648
40.0,0.0,classic,0.0,0.1,0.1,0.004704167759529566
40.0,0.0,classic,0.0,0.1,0.7,0.004704167759529566
40.0,0.0,classic,0.0,0.1,1.3,0.004704167759529566
40.0,0.0,classic,0.0,0.5,0.1,0.004704167759529566
