model,rmse_cap,rmse_cap_ratio_to_M1,achieved_power_ratio,achieved_prediction_rmse,cap_respected,reaches_factor_2_band
M1,,,2.6036215709744766,2.775035440012272,True,True
M1,2.1177903406960645,1.0,2.603624637307504,2.085032999506134,True,True
M1,2.223679857730868,1.05,2.603624631669556,1.6607094811088379,True,True
M1,2.435458891800474,1.15,2.6036245936225253,1.5816793412316146,True,True
M1,2.753127442904884,1.3,2.603624522161845,2.4957680766720807,True,True
M1,3.3884645451137034,1.6,2.603624640238475,2.7040893755213284,True,True
M1,4.235580681392129,2.0,2.6037817217918535,2.1882339954308754,True,True
M2,,,2.603750803702711,6.833227421935464,True,True
M2,2.1177903406960645,1.0,2.603624641775333,1.8413182581134697,True,True
M2,2.223679857730868,1.05,2.6036246693648963,1.9343813341663108,True,True
M2,2.435458891800474,1.15,2.603624644680439,1.5235243774553595,True,True
M2,2.753127442904884,1.3,2.603352097414995,1.835947643716525,True,True
M2,3.3884645451137034,1.6,2.6036246294840035,3.3471065463678897,True,True
M2,4.235580681392129,2.0,2.6036246354714665,2.1803424512723177,True,True
M1P,,,2.6036246452936704,15.922888291133372,True,True
M1P,2.1177903406960645,1.0,2.6036467743916547,1.6031145242616338,True,True
M1P,2.223679857730868,1.05,2.6036246417786115,2.1505099032219284,True,True
M1P,2.435458891800474,1.15,2.6036246318365577,1.6851065433041268,True,True
M1P,2.753127442904884,1.3,2.603624656761285,2.2407152979704854,True,True
M1P,3.3884645451137034,1.6,2.6036246632263254,2.5134417659875368,True,True
M1P,4.235580681392129,2.0,2.603473490466352,3.1605736580950463,True,True
