time_years,elapsed_years,eccentricity,obliquity_deg,long_peri_moving_rad,insolation_65n_solstice_w_m2,spin_x,spin_y,spin_z
0,0,0.0167023622192342,23.43929111,1.7962567794433015,510.09793382088975,1.058446924192655e-06,0.3977784304652209,0.9174815094897036
-1000,1000,0.0171610606162157,23.570213167962315,1.653083041371898,513.2395239299559,-0.035430403370885044,0.39620742384187785,0.9174771734542277
-2000,2000,0.0174968894250035,23.702866216474302,1.5092907569385492,515.9610057969267,-0.07073586844357281,0.39149374527228115,0.9174579468990477
-3000,3000,0.0178456335727804,23.837371980818272,1.3660092902449605,518.3766097577827,-0.10563805976223642,0.3836513553179095,0.9174160658569269
-4000,4000,0.0182111406252,23.973765683687436,1.2263087101602925,520.4955760900959,-0.13986171867484382,0.3727186877483704,0.917343708460712
-5000,5000,0.0184535626910457,24.112146187109143,1.082105740434269,522.1311656074406,-0.17313544977625053,0.35875817394924425,0.9172331702764457
-6000,6000,0.018748770608518,24.252114617621682,0.9422023042807246,523.5214009161998,-0.20519389320264658,0.34185629231982906,0.9170767370256867
-7000,7000,0.0189382169364903,24.394427679650704,0.8035686690388294,524.545762961482,-0.23578002165663786,0.32212247811778355,0.9168668880916431
-8000,8000,0.0191809562487666,24.538148191594214,0.6623641900398766,525.2966668508061,-0.2646469123251316,0.29968856815743866,0.9165962982210426
-9000,9000,0.0193276320949509,24.684067855215428,0.5234475089759478,525.7907065040716,-0.2915597837215057,0.2747078921451287,0.9162578602715773
-10000,10000,0.0194273180246997,24.831576707866812,0.38835132482214074,526.1579681871716,-0.3162978064964033,0.24735397813296148,0.9158448051429686
-11000,11000,0.0196014701815898,24.98094937741677,0.2486748247279078,526.3682505844288,-0.3386558007500275,0.21781921849560684,0.9153507724759513
-12000,12000,0.0196173941846374,25.13201666763521,0.11508405270120671,526.6358031724968,-0.35844602757691785,0.1863136496813684,0.9147697356475758
-13000,13000,0.0196569669746925,25.28479464418717,6.262188286662849,526.815769742975,-0.37549924366557985,0.15306317044941273,0.9140962661878406
-14000,14000,0.0196883186119455,25.43913968553512,6.130092500024719,527.0777695806161,-0.3896665013224765,0.11830784559120927,0.9133253918613382
-15000,15000,0.019642365997195,25.59525653925633,5.996975079635096,527.3923550406647,-0.40082009888365244,0.08230019445684232,0.9124526981292044
-16000,16000,0.0195745882381205,25.752783328053788,5.864748602726346,527.8485256756818,-0.4088544047702022,0.04530321905057846,0.9114744615422086
-17000,17000,0.0194970461033589,25.91180713669551,5.7368368432029015,528.5535479730894,-0.4136870973334016,0.007588539658064266,0.9103874996756726
-18000,18000,0.0193622670099474,26.072610998290834,5.606903914158134,529.4653949398091,-0.41525946782699985,-0.03056597703637839,0.9091893616996674
-19000,19000,0.0192388036937806,26.23424389167583,5.47821200138723,530.6271270699136,-0.4135370101834346,-0.06887779326032094,0.907878290743938
-20000,20000,0.0190162961474538,26.397799020329533,5.3546203402353685,532.2185620665525,-0.4085098683857513,-0.10706218364467594,0.9064531848168939
-21000,21000,0.0188565393087288,26.562291195538794,5.228056125016035,534.0094566391181,-0.40019265945799737,-0.14483444648965818,0.9049137077235428
-22000,22000,0.0186351168779263,26.72803766080999,5.105198765324129,536.2026043186582,-0.3886245351137574,-0.18191163183744022,0.9032602775002649
-23000,23000,0.0183642172855622,26.894961504929938,4.983709627524176,538.7687991514615,-0.3738690729551019,-0.21801500776889834,0.9014939670764414
-24000,24000,0.0181208024156654,27.062976099297135,4.863742705800596,541.6276155265679,-0.3560133472784423,-0.2528719956544728,0.8996167241516376
-25000,25000,0.0178977135497655,27.231674713364104,4.746399582716067,544.7670258139303,-0.33516787913145685,-0.2862182427421942,0.8976311103789193
-26000,26000,0.017541625384457,27.40165507411846,4.627608312123413,548.3473907604018,-0.31146548723684164,-0.3177994984074456,0.895540467579379
-27000,27000,0.017317303552111,27.572130049701506,4.517264650856944,552.0337756717721,-0.2850602343150553,-0.34737357586504675,0.8933489025028107
-28000,28000,0.0170117840446727,27.743454595366174,4.403668283290339,556.0635711643172,-0.2561267523930212,-0.374712215485134,0.8910610766242831
-29000,29000,0.0167005286737506,27.915490870737596,4.293351517918543,560.3063734096722,-0.2248584914150355,-0.3996025427012886,0.8886824329901089
-30000,30000,0.016421636825055,28.0878451767921,4.188528341147021,564.6611414765647,-0.1914666207367736,-0.4218487580940081,0.8862190239653984
-31000,31000,0.0161070368505137,28.261003410385275,4.084289916812114,569.2122798748892,-0.15617842865480702,-0.4412737644331663,0.8836774090390099
-32000,32000,0.0158462045511551,28.434195378970088,3.979530878014689,573.8574785054705,-0.11923555851584086,-0.4577200452615357,0.8810648340225554
-33000,33000,0.0155246840952823,28.607764959140567,3.883969407715631,578.5526421418285,-0.08089253533248172,-0.4710510497534422,0.8783890403765653
-34000,34000,0.0152563509761259,28.781700236357064,3.7857247546045776,583.3301112036416,-0.04141462400860078,-0.4811524238035092,0.8756581376234875
-35000,35000,0.0150309069253069,28.95545788803091,3.6918446367266253,588.0819742707234,-0.0010760312048596161,-0.4879322081961224,0.872880863784802
-36000,36000,0.0147473902294046,29.129373535850224,3.6005340808715056,592.8778476556015,0.0398418214507441,-0.4913221828817011,0.870066170973132
-37000,37000,0.0145289368176923,29.303369106400822,3.511322148532191,597.6388252562007,0.08105271427966476,-0.49127797705391163,0.8672233891966449
-38000,38000,0.0143790355735043,29.47705878486569,3.4268695443359816,602.3137983042525,0.12226745091861906,-0.4877793596361034,0.8643621733734397
-39000,39000,0.0141574339174998,29.650631265223627,3.3394214664598088,607.0695270750275,0.1631957626578239,-0.48083081032718117,0.8614922372782228
-40000,40000,0.0140510863667196,29.82424308389608,3.2594698038061645,611.6784460484438,0.2035487589249479,-0.47046092235487885,0.8586235631969986
-41000,41000,0.0139548021625682,29.997130498944514,3.1799767256502256,616.2686355145403,0.24304064738563472,-0.4567227279178075,0.8557660857510585
-42000,42000,0.0138677821181809,30.170279406184825,3.097934553734961,620.9038576985756,0.2813909306267145,-0.43969314049663083,0.8529297077492621
-43000,43000,0.0138609578227812,30.342526958833833,3.021544295785891,625.4282585818428,0.31832631665573635,-0.4194722507228754,0.850124336199051
-44000,44000,0.0138465651330542,30.51466394189977,2.9466536899867117,629.9186792948221,0.3535826383994204,-0.3961830075294939,0.8473596298900424
-45000,45000,0.0139439404825734,30.686157127749105,2.8645278037585236,634.5485278658248,0.3869069490264764,-0.36997008778974344,0.8446449827802645
-46000,46000,0.0139912138096004,30.856933963414583,2.7908304009328693,638.9974421577793,0.4180587872737556,-0.3409988735706952,0.8419896784442871
-47000,47000,0.0141420221200332,31.02702941219519,2.7127574016739606,643.5472047446772,0.4468124384257556,-0.3094545978295987,0.8394024641077437
-48000,48000,0.0143401286940856,31.196428798019117,2.632546713108284,648.1406598172342,0.4729582311913325,-0.2755405584596896,0.8368918163012998
-49000,49000,0.0145426255661587,31.36454756732336,2.5552378173446546,652.6557791897927,0.49630384224648205,-0.2394771222630325,0.8344658196019749
-50000,50000,0.0147634257887023,31.531902077963956,2.4719363422851863,657.2431197945788,0.5166759840139993,-0.2015001547448347,0.8321319698106624
-51000,51000,0.0151196403911235,31.69810893048965,2.39354557001698,661.8291483504498,0.53392134093321,-0.16185890603772968,0.8298974010275924
-52000,52000,0.0153803535568907,31.86283342332695,2.3072492584549416,666.3800695641718,0.5479077009316305,-0.12081500650676359,0.8277686183122586
-53000,53000,0.0157360803238946,32.02664346096466,2.2228188920969845,670.932093672161,0.558524850852373,-0.07864018296352829,0.8257516046631683
-54000,54000,0.0161251946645706,32.188841445014255,2.13895578613087,675.4262711918878,0.5656853426839641,-0.03561437929679077,0.8238517518703414
-55000,55000,0.0164959292916305,32.34987033903421,2.0479700465520834,679.8774717675819,0.5693251575270701,0.007975833201208662,0.8220737503968383
-56000,56000,0.0169032903866393,32.50947230418125,1.9585024245943743,684.2239807352715,0.5694040670021839,0.05183951465657981,0.8204216435477203
-57000,57000,0.0173236238763146,32.66764707361715,1.8707942630815664,688.4251394857024,0.5659058391031361,0.09568318848833202,0.8188988391185335
-58000,58000,0.0177678817664862,32.82452032247547,1.7739969413479666,692.5437602339639,0.5588387186010838,0.13921295000869904,0.8175078232911133
-59000,59000,0.0182106196177411,32.97995386504405,1.6825857292414836,696.4258800361152,0.5482348758035084,0.18213635662054453,0.8162504937515845
-60000,60000,0.0186270612901766,33.13384152939227,1.5872961022398862,700.0523095649431,0.5341505628576508,0.22416435883916994,0.81512791414911
-61000,61000,0.0191404472067486,33.28650962706177,1.4904253336774564,703.5617336677178,0.5166656980827166,0.26501358865818414,0.8141402546559223
-62000,62000,0.0195675693297927,33.43759483277314,1.392883546120111,706.6580634784154,0.4958830416196045,0.3044079207954995,0.8132870506721784
-63000,63000,0.0200108434528553,33.5871650319484,1.2945968792672171,709.4654804893923,0.47192797612887305,0.3420803771633737,0.8125669208789328
-64000,64000,0.0205323757823879,33.73553117234843,1.194270252940359,712.038371228462,0.44494717913564746,0.3777753344991396,0.811977711777419
-65000,65000,0.0209603998246702,33.882086061703575,1.0946218363330746,714.136021134675,0.415107907498882,0.41124970759857,0.8115165451991662
-66000,66000,0.0214486593754603,34.027382000391114,0.9906200409198512,715.8897882558917,0.38259688688178184,0.4422748590753638,0.8111797403647579
-67000,67000,0.0219253668306169,34.17110116538872,0.8908449149640072,717.3212379656765,0.34761884825183026,0.47063826680485465,0.8109628586803427
-68000,68000,0.0224241109608431,34.31327029592427,0.7860511856767187,718.2993601509386,0.31039525572877136,0.49614456303472054,0.8108608744983056
-69000,69000,0.0229066232342392,34.453979989738656,0.6813518347825229,718.8724945147338,0.2711629215759237,0.5186172482383972,0.8108679422643629
-70000,70000,0.0234034245042698,34.59311049526081,0.5788719210141142,719.1397151934386,0.23017225588674012,0.5378995302220086,0.8109776988345311
-71000,71000,0.0239176547142438,34.7307064768473,0.4725620671183041,718.947575653996,0.18768562824930135,0.5538555358872469,0.8111831792608348
-72000,72000,0.0244672453788893,34.8666586874918,0.366638635538727,718.428294117227,0.14397565989238922,0.5663712467907738,0.8114768143127784
-73000,73000,0.0249331385399023,35.00117911178299,0.26181082496795904,717.5718956590246,0.09932346026999037,0.575354956959367,0.8118506782298581
-74000,74000,0.025530147976301,35.13382028787706,0.15527123098152384,716.4058026462563,0.05401664027057358,0.5807382026060072,0.8122963391569752
-75000,75000,0.0260780844813621,35.26525912213087,0.04788414914099078,714.9192123293967,0.008347325733200923,0.5824759796318457,0.8128050536906285
-76000,76000,0.0265893554139713,35.39475303965789,6.224857294118447,713.237560850628,-0.03738930693642803,0.5805470687688377,0.8133677770054111
-77000,77000,0.0272086512552666,35.52303946022315,6.117164864598529,711.3141901291115,-0.08289754753859738,0.5749541793250297,0.8139752381299862
-78000,78000,0.027766087024003,35.649674168142596,6.010100148310702,709.2754261069266,-0.12788286429055107,0.5657239731189682,0.8146179222551722
