dataset_id,source_id,age_ka_bp,age_uncertainty_ka,proxy_name,proxy_value,proxy_unit,quality_flag,sha256_source
pile_benthique_independante,Ahn-et-al-2017,0.000000,,prob_stack_benthic_d18O,3.2191375,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,1.000000,,prob_stack_benthic_d18O,3.2225218,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,2.000000,,prob_stack_benthic_d18O,3.2228743,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,3.000000,,prob_stack_benthic_d18O,3.2689774,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,4.000000,,prob_stack_benthic_d18O,3.2257086,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,5.000000,,prob_stack_benthic_d18O,3.2670175,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,6.000000,,prob_stack_benthic_d18O,3.386693,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,7.000000,,prob_stack_benthic_d18O,3.3074789,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,8.000000,,prob_stack_benthic_d18O,3.3797882,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,9.000000,,prob_stack_benthic_d18O,3.4621496,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,10.000000,,prob_stack_benthic_d18O,3.5783898,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,11.000000,,prob_stack_benthic_d18O,3.7234217,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,12.000000,,prob_stack_benthic_d18O,3.9248164,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,13.000000,,prob_stack_benthic_d18O,3.9970323,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,14.000000,,prob_stack_benthic_d18O,4.139092,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,15.000000,,prob_stack_benthic_d18O,4.1540499,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,16.000000,,prob_stack_benthic_d18O,4.4054279,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,17.000000,,prob_stack_benthic_d18O,4.6203798,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,18.000000,,prob_stack_benthic_d18O,4.7196683,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,19.000000,,prob_stack_benthic_d18O,4.8731243,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,20.000000,,prob_stack_benthic_d18O,4.8857504,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,21.000000,,prob_stack_benthic_d18O,4.9062064,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,22.000000,,prob_stack_benthic_d18O,4.9390424,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,23.000000,,prob_stack_benthic_d18O,4.8900446,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,24.000000,,prob_stack_benthic_d18O,4.8756748,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,25.000000,,prob_stack_benthic_d18O,4.8715222,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,26.000000,,prob_stack_benthic_d18O,4.5739561,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,27.000000,,prob_stack_benthic_d18O,4.8265124,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,28.000000,,prob_stack_benthic_d18O,4.789026,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,29.000000,,prob_stack_benthic_d18O,4.7542062,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,30.000000,,prob_stack_benthic_d18O,4.7327011,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,31.000000,,prob_stack_benthic_d18O,4.698808,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,32.000000,,prob_stack_benthic_d18O,4.6779243,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,33.000000,,prob_stack_benthic_d18O,4.6966307,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,34.000000,,prob_stack_benthic_d18O,4.6913777,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,35.000000,,prob_stack_benthic_d18O,4.6352521,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
pile_benthique_independante,Ahn-et-al-2017,36.000000,,prob_stack_benthic_d18O,4.6258219,permil,observed;age_uncertainty_unavailable:published_table_has_stack_spread_not_point_age_distribution,5851d3696a142be40503acc8d92323a7e0b5771a27ea7b7a9b83e430a3babe19
