particle_size_um,particle_size_nm
0.57977,579.77
1.74917,1749.1699999999998
1.71202,1712.0200000000002
1.66029,1660.29
1.61046,1610.46
1.60413,1604.13
1.49611,1496.1100000000001
1.49526,1495.26
1.43531,1435.3100000000002
1.43442,1434.42
1.3971,1397.1
1.38474,1384.74
1.35311,1353.1100000000001
1.35029,1350.29
1.32362,1323.6200000000001
1.3217,1321.7
1.31348,1313.48
1.30278,1302.78
1.29935,1299.35
1.27911,1279.11
1.27811,1278.1100000000001
1.27612,1276.12
1.27012,1270.12
1.25651,1256.51
1.25448,1254.48
1.22885,1228.85
1.22261,1222.61
1.19736,1197.36
1.19736,1197.36
1.19096,1190.96
1.18882,1188.82
1.17752,1177.52
1.17644,1176.4399999999998
1.1721,1172.1
1.16938,1169.38
1.15954,1159.54
1.15954,1159.54
1.15349,1153.49
1.15128,1151.28
1.14128,1141.28
1.13513,1135.1299999999999
1.12951,1129.51
1.12045,1120.45
1.1119,1111.9
1.10846,1108.46
1.09981,1099.81
1.087,1087.0
1.07107,1071.07
1.06869,1068.6899999999998
1.0663,1066.3
1.06571,1065.71
1.06331,1063.31
1.06212,1062.12
1.05972,1059.72
1.05851,1058.51
1.05731,1057.31
1.05611,1056.1100000000001
1.0549,1054.8999999999999
1.05369,1053.69
1.04763,1047.63
1.04337,1043.37
1.04215,1042.1499999999999
1.0397,1039.7
1.03479,1034.7900000000002
1.03233,1032.33
1.02304,1023.04
1.01679,1016.7900000000001
1.01679,1016.7900000000001
1.01303,1013.0300000000001
1.00609,1006.0899999999999
1.00483,1004.8299999999999
1.00229,1002.2899999999998
0.99847,998.4699999999999
0.99208,992.0799999999999
0.98499,984.99
0.9837,983.7
0.9837,983.7
0.98111,981.11
0.97655,976.5500000000001
0.97198,971.9799999999999
0.97198,971.9799999999999
0.96804,968.04
0.96343,963.4300000000001
0.96078,960.78
0.94878,948.78
0.94002,940.02
0.92774,927.74
0.92637,926.37
0.92431,924.31
0.91739,917.39
0.91322,913.22
0.90903,909.03
0.90763,907.63
0.90622,906.22
0.9027,902.6999999999999
0.89846,898.46
0.89562,895.62
0.89562,895.62
0.89278,892.78
0.88849,888.49
0.88849,888.49
0.88274,882.74
0.88274,882.74
0.87331,873.3100000000001
0.87039,870.39
0.86452,864.52
0.86231,862.3100000000001
0.86157,861.5699999999999
0.85638,856.38
0.8444,844.4000000000001
0.8444,844.4000000000001
0.84138,841.38
0.84138,841.38
0.83149,831.4899999999999
0.83149,831.4899999999999
0.82919,829.1899999999999
0.82379,823.7900000000001
0.82379,823.7900000000001
0.8207,820.6999999999999
0.8207,820.6999999999999
0.8207,820.6999999999999
0.81759,817.59
0.81603,816.0300000000001
0.81603,816.0300000000001
0.81603,816.0300000000001
0.81447,814.47
0.8129,812.9
0.81134,811.3399999999999
0.81134,811.3399999999999
0.80898,808.98
0.8074,807.4
0.8074,807.4
0.80582,805.8199999999999
0.80582,805.8199999999999
0.80424,804.24
0.80424,804.24
0.80424,804.24
0.79788,797.88
0.79629,796.2900000000001
0.79148,791.48
0.79148,791.48
0.79148,791.48
0.79148,791.48
0.78987,789.87
0.78987,789.87
0.78825,788.25
0.78825,788.25
0.78825,788.25
0.78663,786.63
0.78663,786.63
0.7842,784.2
0.7842,784.2
0.7842,784.2
0.78258,782.58
0.77932,779.32
0.77932,779.32
0.77604,776.04
0.7744,774.4
0.77275,772.75
0.7711,771.1
0.7711,771.1
0.7711,771.1
0.76945,769.4499999999999
0.76945,769.4499999999999
0.7678,767.8000000000001
0.7678,767.8000000000001
0.76447,764.47
0.76364,763.64
0.7628,762.8000000000001
0.76113,761.13
0.75862,758.62
0.75357,753.5699999999999
0.75188,751.88
0.75018,750.18
0.74848,748.48
0.74678,746.78
0.74678,746.78
0.74678,746.78
0.74678,746.78
0.74507,745.07
0.74336,743.36
0.74336,743.36
0.7425,742.5
0.74165,741.65
0.74165,741.65
0.73993,739.93
0.73993,739.93
0.73993,739.93
0.7382,738.1999999999999
0.73648,736.48
0.73648,736.48
0.73475,734.75
0.73214,732.14
0.73214,732.14
0.7304,730.4000000000001
0.72691,726.91
0.72691,726.91
0.72603,726.03
0.72515,725.15
0.7234,723.4000000000001
0.7234,723.4000000000001
0.7234,723.4000000000001
0.72163,721.63
0.72163,721.63
0.72163,721.63
0.71987,719.87
0.71987,719.87
0.71987,719.87
0.71898,718.9799999999999
0.7181,718.0999999999999
0.71632,716.3199999999999
0.71632,716.3199999999999
0.71454,714.54
0.71454,714.54
0.71454,714.54
0.71454,714.54
0.71276,712.76
0.71097,710.97
0.70918,709.1800000000001
0.70918,709.1800000000001
0.70467,704.6700000000001
0.70286,702.86
0.70286,702.86
0.70105,701.05
0.69923,699.23
0.69923,699.23
0.69741,697.41
0.69741,697.41
0.69558,695.5799999999999
0.69558,695.5799999999999
0.69558,695.5799999999999
0.69558,695.5799999999999
0.68637,686.37
0.68637,686.37
0.68637,686.37
0.68637,686.37
0.68637,686.37
0.68451,684.51
0.68451,684.51
0.68265,682.65
0.68078,680.7800000000001
0.68078,680.7800000000001
0.67703,677.03
0.67703,677.03
0.67703,677.03
0.6742,674.2
0.6742,674.2
0.67231,672.31
0.67231,672.31
0.67231,672.31
0.6666,666.6
0.6666,666.6
0.6666,666.6
0.6666,666.6
0.6666,666.6
0.66277,662.77
0.65892,658.92
0.65698,656.98
0.65698,656.98
0.65698,656.98
0.6531,653.1
0.65114,651.1400000000001
0.65114,651.1400000000001
0.64919,649.19
0.64919,649.19
0.64722,647.22
0.64624,646.24
0.64426,644.2600000000001
0.64426,644.2600000000001
0.64328,643.28
0.64228,642.28
0.64228,642.28
0.64228,642.28
0.64228,642.28
0.6403,640.3
0.6403,640.3
0.63631,636.3100000000001
0.63631,636.3100000000001
0.63631,636.3100000000001
0.63431,634.3100000000001
0.63028,630.28
0.63028,630.28
0.62825,628.25
0.62623,626.2299999999999
0.62419,624.19
0.62419,624.19
0.62215,622.15
0.62215,622.15
0.6201,620.1
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61598,615.98
0.61598,615.98
0.61287,612.87
0.61287,612.87
0.61079,610.7900000000001
0.61079,610.7900000000001
0.6087,608.7
0.6087,608.7
0.6066,606.6
0.6066,606.6
0.6066,606.6
0.60239,602.39
0.60239,602.39
0.60027,600.27
0.60027,600.27
0.60027,600.27
0.59815,598.15
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59173,591.73
0.59173,591.73
0.59173,591.73
0.59065,590.65
0.58957,589.57
0.58957,589.57
0.58957,589.57
0.58957,589.57
0.58741,587.41
0.58741,587.41
0.58632,586.3199999999999
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58306,583.0600000000001
0.58306,583.0600000000001
0.57977,579.77
0.57977,579.77
0.57977,579.77
0.57757,577.57
0.57757,577.57
0.57536,575.36
0.57536,575.36
0.57315,573.1500000000001
0.57315,573.1500000000001
0.57203,572.0300000000001
0.57092,570.92
0.56869,568.69
0.56869,568.69
0.56869,568.69
0.56869,568.69
0.56644,566.44
0.56644,566.44
0.56644,566.44
0.56419,564.1899999999999
0.56419,564.1899999999999
0.56193,561.9300000000001
0.56193,561.9300000000001
0.56193,561.9300000000001
0.55966,559.6600000000001
0.55852,558.52
0.55852,558.52
0.55738,557.38
0.55738,557.38
0.55738,557.38
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55279,552.79
0.55164,551.64
0.55164,551.64
0.55048,550.48
0.55048,550.48
0.55048,550.48
0.55048,550.48
0.54816,548.16
0.54816,548.16
0.54816,548.16
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54233,542.3299999999999
0.54115,541.15
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53879,538.79
0.53761,537.61
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53166,531.66
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.52805,528.0500000000001
0.52805,528.0500000000001
0.52805,528.0500000000001
0.52564,525.64
0.52564,525.64
0.52564,525.64
