lineage_id,cycle,antibiotic,dose,duration,recovery_duration
W_AMK12p5_N0p25_P01,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P02,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P03,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P01,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P02,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P03,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P04,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P05,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P06,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P07,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P08,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P09,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P10,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P11,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P12,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P13,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P14,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P15,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P16,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P17,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P18,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P19,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P20,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P21,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P22,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P01,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P02,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P03,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P04,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P05,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P06,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P07,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P08,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P09,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P10,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P11,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P12,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P13,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P14,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P15,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P16,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P17,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P18,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P19,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P20,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P21,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P22,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P01,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P02,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P04,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P05,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P06,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P07,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P08,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P09,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P10,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P11,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P12,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P13,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P14,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P15,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P16,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P17,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P18,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P19,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P20,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P21,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P22,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P01,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P02,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P04,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P05,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P06,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P08,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P09,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P10,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P11,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P12,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P13,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P14,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P15,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P16,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P17,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P18,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P19,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P20,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P21,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p25_P22,11,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P01,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P02,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P03,1,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P01,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P02,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P03,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P04,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P05,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P06,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P07,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P08,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P09,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P10,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P11,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P12,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P13,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P14,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P15,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P16,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P17,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P18,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P19,2,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P01,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P04,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P07,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P08,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P10,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P12,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P17,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P19,5,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P01,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P02,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P03,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P04,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P05,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P06,8,amikacin,12.5,5.0,19.0
W_AMK12p5_N0p5_P07,8,amikacin,12.5,5.0,19.0
