arm_id,species,antibiotic,schedule,dose,replicates,nutrient_level,cycle_min,cycle_max,source_dataset
amikacin:12.5:N0.25,Escherichia coli,amikacin,5 h exposition / 19 h récupération,12.5,22,0.25,1,11,Windels et al.
amikacin:12.5:N0.5,Escherichia coli,amikacin,5 h exposition / 19 h récupération,12.5,19,0.5,1,11,Windels et al.
amikacin:12.5:N0.8,Escherichia coli,amikacin,5 h exposition / 19 h récupération,12.5,24,0.8,1,11,Windels et al.
amikacin:25.0:N0.25,Escherichia coli,amikacin,5 h exposition / 19 h récupération,25.0,22,0.25,1,13,Windels et al.
amikacin:25.0:N0.5,Escherichia coli,amikacin,5 h exposition / 19 h récupération,25.0,24,0.5,1,16,Windels et al.
amikacin:25.0:N0.8,Escherichia coli,amikacin,5 h exposition / 19 h récupération,25.0,4,0.8,2,16,Windels et al.
amikacin:50.0:N0.25,Escherichia coli,amikacin,5 h exposition / 19 h récupération,50.0,24,0.25,1,16,Windels et al.
amikacin:50.0:N0.5,Escherichia coli,amikacin,5 h exposition / 19 h récupération,50.0,12,0.5,1,16,Windels et al.
amikacin:100.0:N0.25,Escherichia coli,amikacin,5 h exposition / 19 h récupération,100.0,19,0.25,1,16,Windels et al.
amikacin:100.0:N0.5,Escherichia coli,amikacin,5 h exposition / 19 h récupération,100.0,33,0.5,1,14,Windels et al.
