sample_id,group,tracer,value,uncertainty,compound_group,compound_class,compound_type,reference,doi
Titan|CH4|1,Saturn|Titan|Titan|Titan,D/H,0.000158,1.6e-05,CH4,VOC,volatile,"Abbas et al., 2009",https://doi.org/10.1088/0004-637X/708/1/342
Ivuna|bulk|2,Meteorites|CC|CI|CI1,D/H,0.0003081724,,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Orgueil|bulk|3,Meteorites|CC|CI|CI1,D/H,0.00030723759999999996,0.0001561116,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
MET01070|bulk|4,Meteorites|CC|CM|CM1,D/H,0.0002637694,,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
ALH83100|bulk|5,Meteorites|CC|CM|CM1/2,D/H,0.00026844339999999996,0.00015751379999999997,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Cold Bokk|bulk|6,Meteorites|CC|CM|CM2,D/H,0.0002701572,0.00015985079999999998,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
DOM03183|bulk|7,Meteorites|CC|CM|CM2,D/H,0.0002553562,0.00015657899999999998,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Kivesvaara|bulk|8,Meteorites|CC|CM|CM2,D/H,0.0002659506,0.00015689059999999998,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Mighei|bulk|9,Meteorites|CC|CM|CM2,D/H,0.0002809074,,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Murchison|bulk|10,Meteorites|CC|CM|CM2,D/H,0.0002768566,0.0001600066,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
Murray|bulk|11,Meteorites|CC|CM|CM2,D/H,0.0002949294,,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
ALHA77307|bulk|12,Meteorites|CC|CO|CO3,D/H,0.0002047212,,organic,IOM,organic,"Alexander et al., 2007",https://doi.org/10.1016/j.gca.2007.06.052
