time,eccentricity,obliquity,precession
0.000,0.1670236225492288E-01,0.4090928042223415E+00,0.1796256991128036E+01
-1.000,0.1716138713254424E-01,0.4113529838787881E+00,0.1497928479545051E+01
-2.000,0.1749682471015021E-01,0.4135547681918493E+00,0.1200023931298518E+01
-3.000,0.1784575075382516E-01,0.4156391588120549E+00,0.9034936199713171E+00
-4.000,0.1821091028944827E-01,0.4175547806057498E+00,0.6113806652890439E+00
-5.000,0.1845349552525976E-01,0.4192474312468655E+00,0.3155370046330948E+00
-6.000,0.1874838431839618E-01,0.4206669281997619E+00,0.2457412868312314E-01
-7.000,0.1893737527286929E-01,0.4217769374072095E+00,0.6018640861807901E+01
-8.000,0.1918007250168996E-01,0.4225363586640914E+00,0.5727244726928691E+01
-9.000,0.1932548079861887E-01,0.4229181437746596E+00,0.5438355461448853E+01
-10.000,0.1942460866702592E-01,0.4229058543906755E+00,0.5153372822291404E+01
-11.000,0.1959737478374667E-01,0.4224860257030332E+00,0.4863457909956116E+01
-12.000,0.1961275880112955E-01,0.4216578537787596E+00,0.4579432018784965E+01
-13.000,0.1965055584702160E-01,0.4204362478161235E+00,0.4292346501998102E+01
-14.000,0.1967905963813162E-01,0.4188346346400140E+00,0.4008446131311938E+01
-15.000,0.1963487419524003E-01,0.4168867797531869E+00,0.3722754432363052E+01
-16.000,0.1956017775848288E-01,0.4146342725252823E+00,0.3436729869029236E+01
-17.000,0.1948695985468776E-01,0.4121230573066357E+00,0.3153956891750388E+01
-18.000,0.1934707647271221E-01,0.4094133838591168E+00,0.2867643102331336E+01
-19.000,0.1922308095068063E-01,0.4065767813528520E+00,0.2581400708862521E+01
-20.000,0.1900267225865419E-01,0.4036773689290164E+00,0.2298390171513589E+01
-21.000,0.1883542892960224E-01,0.4007997666004112E+00,0.2011218425709552E+01
-22.000,0.1861739983119154E-01,0.3980267044973062E+00,0.1725906587440175E+01
-23.000,0.1834059646670490E-01,0.3954325755320498E+00,0.1440527702533456E+01
-24.000,0.1809455334563617E-01,0.3931007988282741E+00,0.1155332224929834E+01
-25.000,0.1786813742110050E-01,0.3911082297349524E+00,0.8712674517109891E+00
-26.000,0.1750678361180578E-01,0.3895102551897790E+00,0.5847445164447782E+00
-27.000,0.1727896594149951E-01,0.3883679017993993E+00,0.3056833811276505E+00
-28.000,0.1696684805293583E-01,0.3877212879722674E+00,0.2273150055475615E-01
-29.000,0.1665184411057340E-01,0.3875889847623388E+00,0.6025903861611011E+01
-30.000,0.1636551893016798E-01,0.3879848846966447E+00,0.5751163585439079E+01
-31.000,0.1604546955791278E-01,0.3888984644382290E+00,0.5477444096025025E+01
-32.000,0.1577846477664555E-01,0.3902973232698900E+00,0.5203394574692510E+01
-33.000,0.1544954351199893E-01,0.3921477026005440E+00,0.4939584863371741E+01
-34.000,0.1517498845788225E-01,0.3943908371471427E+00,0.4673810986132457E+01
-35.000,0.1494231991921538E-01,0.3969553134166884E+00,0.4413764249354173E+01
-36.000,0.1465169278767554E-01,0.3997755798096480E+00,0.4157362254523399E+01
-37.000,0.1442406727541747E-01,0.4027683736119115E+00,0.3904722034118101E+01
-38.000,0.1427064318627170E-01,0.4058490459330686E+00,0.3657791394938350E+01
-39.000,0.1403936018899376E-01,0.4089427484993868E+00,0.3409935662294400E+01
-40.000,0.1392931289489690E-01,0.4119702005837327E+00,0.3170194431646793E+01
-41.000,0.1382407171998255E-01,0.4148529155188025E+00,0.2932975891436371E+01
-42.000,0.1373519859183324E-01,0.4175316949628994E+00,0.2693920650842870E+01
-43.000,0.1371940247316185E-01,0.4199397997299833E+00,0.2461692806098130E+01
-44.000,0.1370571799095759E-01,0.4220254679228546E+00,0.2232153006279418E+01
-45.000,0.1379270706095304E-01,0.4237490772585564E+00,0.1995683410071099E+01
-46.000,0.1384268014662993E-01,0.4250728525381489E+00,0.1768670199433041E+01
-47.000,0.1398676863392096E-01,0.4259720073843780E+00,0.1537221913387278E+01
-48.000,0.1418177395449276E-01,0.4264396009932957E+00,0.1304062413189045E+01
-49.000,0.1438542972374082E-01,0.4264647847592574E+00,0.1073562920615490E+01
-50.000,0.1460015175211740E-01,0.4260582941834141E+00,0.8368973314202179E+00
-51.000,0.1495811462087483E-01,0.4252384869592429E+00,0.6046924208502915E+00
-52.000,0.1521682889678969E-01,0.4240276524762205E+00,0.3639000448374556E+00
-53.000,0.1557127969134769E-01,0.4224608374053170E+00,0.1243217518977806E+00
-54.000,0.1596141810479995E-01,0.4205800420708101E+00,0.6167286111267327E+01
-55.000,0.1633035381262972E-01,0.4184268616733339E+00,0.5919504495774526E+01
-56.000,0.1673939325491892E-01,0.4160557679159794E+00,0.5671140557432846E+01
-57.000,0.1715601193024059E-01,0.4135203660914414E+00,0.5424311144280420E+01
-58.000,0.1760548460320829E-01,0.4108731965018549E+00,0.5166305624974717E+01
