condition_id,temperature,ph,wet_dry_cycles,uv_flux,mineral,replicate,experiment_condition,arm,fed,resuspended,generation_duration_h,source_file,measured_variable,transfer_map_available
FR-30min_log:drift,,,,,,1,FR,drift,True,True,0.5,FR-30min_log.xlsx,turbidity_A400,True
FR-30min_log:selection,,,,,,1,FR,selection,True,True,0.5,FR-30min_log.xlsx,turbidity_A400,True
FR-5hr_log:drift,,,,,,1,FR,drift,True,True,5.0,FR-5hr_log.xlsx,turbidity_A400,True
FR-5hr_log:selection,,,,,,1,FR,selection,True,True,5.0,FR-5hr_log.xlsx,turbidity_A400,True
FR-90min_log:drift,,,,,,1,FR,drift,True,True,1.5,FR-90min_log.xlsx,turbidity_A400,True
FR-90min_log:selection,,,,,,1,FR,selection,True,True,1.5,FR-90min_log.xlsx,turbidity_A400,True
FR1_log:drift,,,,,,1,FR,drift,True,True,24.0,FR1_log.xlsx,turbidity_A400,True
FR1_log:selection,,,,,,1,FR,selection,True,True,24.0,FR1_log.xlsx,turbidity_A400,True
FR2_log:drift,,,,,,2,FR,drift,True,True,24.0,FR2_log.xlsx,turbidity_A400,True
FR2_log:selection,,,,,,2,FR,selection,True,True,24.0,FR2_log.xlsx,turbidity_A400,True
FR3_log:drift,,,,,,3,FR,drift,True,True,24.0,FR3_log.xlsx,turbidity_A400,True
FR3_log:selection,,,,,,3,FR,selection,True,True,24.0,FR3_log.xlsx,turbidity_A400,True
FU1_log:drift,,,,,,1,FU,drift,True,False,24.0,FU1_log.xlsx,turbidity_A400,True
FU1_log:selection,,,,,,1,FU,selection,True,False,24.0,FU1_log.xlsx,turbidity_A400,True
FU2_log:drift,,,,,,2,FU,drift,True,False,24.0,FU2_log.xlsx,turbidity_A400,True
FU2_log:selection,,,,,,2,FU,selection,True,False,24.0,FU2_log.xlsx,turbidity_A400,True
FU3_log:drift,,,,,,3,FU,drift,True,False,24.0,FU3_log.xlsx,turbidity_A400,True
FU3_log:selection,,,,,,3,FU,selection,True,False,24.0,FU3_log.xlsx,turbidity_A400,True
UR1_log:drift,,,,,,1,UR,drift,False,True,24.0,UR1_log.xlsx,turbidity_A400,True
UR1_log:selection,,,,,,1,UR,selection,False,True,24.0,UR1_log.xlsx,turbidity_A400,True
UR2_log:drift,,,,,,2,UR,drift,False,True,24.0,UR2_log.xlsx,turbidity_A400,True
UR2_log:selection,,,,,,2,UR,selection,False,True,24.0,UR2_log.xlsx,turbidity_A400,True
UR3_log:drift,,,,,,3,UR,drift,False,True,24.0,UR3_log.xlsx,turbidity_A400,True
UR3_log:selection,,,,,,3,UR,selection,False,True,24.0,UR3_log.xlsx,turbidity_A400,True
UU-30min_log:drift,,,,,,1,UU,drift,False,False,0.5,UU-30min_log.xlsx,turbidity_A400,True
UU-30min_log:selection,,,,,,1,UU,selection,False,False,0.5,UU-30min_log.xlsx,turbidity_A400,True
UU1_log:drift,,,,,,1,UU,drift,False,False,24.0,UU1_log.xlsx,turbidity_A400,True
UU1_log:selection,,,,,,1,UU,selection,False,False,24.0,UU1_log.xlsx,turbidity_A400,True
UU2_log:drift,,,,,,2,UU,drift,False,False,24.0,UU2_log.xlsx,turbidity_A400,True
UU2_log:selection,,,,,,2,UU,selection,False,False,24.0,UU2_log.xlsx,turbidity_A400,True
UU3_log:drift,,,,,,3,UU,drift,False,False,24.0,UU3_log.xlsx,turbidity_A400,True
UU3_log:selection,,,,,,3,UU,selection,False,False,24.0,UU3_log.xlsx,turbidity_A400,True
