condition,arm,transition,donor,recipient,parent,offspring,mapping_mode,source_file,replicate,generation_duration_h,fed,resuspended
FR,drift,0,H7,D4,0.066,0.672,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H4,E4,0.067,0.629,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,G1,F7,0.084,0.579,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B4,C10,0.103,0.533,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,G2,B5,0.096,0.781,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,D12,D11,0.14,0.878,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,G12,B1,0.087,0.596,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A6,D3,0.1,0.249,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C1,C7,0.07,0.793,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C4,G5,0.078,0.558,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,E8,E1,0.093,0.767,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A10,F8,0.119,0.834,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B11,C2,0.066,0.693,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F11,F6,0.148,0.604,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H6,B9,0.083,0.406,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,E3,A8,0.078,0.62,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B10,G8,0.069,0.812,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F3,H11,0.085,0.273,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,G4,D5,0.067,0.482,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,D1,G11,0.146,0.465,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C11,B2,0.109,0.428,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F4,D2,0.063,0.666,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C9,A11,0.075,0.763,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H5,D9,0.081,0.72,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H9,F2,0.066,0.461,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H3,H1,0.154,0.392,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,D8,A9,0.085,0.806,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,G9,G10,0.12,0.727,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F9,D6,0.099,0.68,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A4,G3,0.085,0.713,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,D7,E10,0.09,0.698,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C3,G6,0.073,0.846,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F10,C5,0.11,0.448,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A7,C12,0.085,0.671,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,E9,E2,0.162,0.785,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A3,G7,0.096,0.648,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B6,A12,0.108,0.849,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B8,D10,0.066,0.69,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,B7,F1,0.181,0.812,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,E11,B12,0.113,0.492,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A2,C8,0.093,0.583,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,F5,E6,0.101,0.909,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H2,E7,0.093,0.979,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H12,H10,0.086,0.637,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A5,F12,0.087,0.847,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,C6,B3,0.107,0.891,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,H8,E5,0.143,0.755,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,0,A1,E12,0.094,0.737,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,D10,H9,0.69,0.44,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,D7,C2,0.785,0.414,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,D2,C3,0.666,0.368,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,A2,H4,0.676,0.347,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,F1,A9,0.812,0.306,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,E3,E9,0.667,0.408,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,G4,F8,0.538,0.385,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,C1,C12,0.79,0.431,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,D3,F11,0.249,0.366,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,B9,C6,0.406,0.537,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
FR,drift,1,E1,G1,0.767,0.201,coded_lineage,FR-30min_log.xlsx,1,0.5,True,True
