source_file,condition,generation,well,well_index,time_seconds,temperature_c,turbidity_A400
FR_inc.xlsx,FR,gen0,A1,1,13.0,22.1,0.469
FR_inc.xlsx,FR,gen0,A2,2,13.0,22.1,0.436
FR_inc.xlsx,FR,gen0,A3,3,13.0,22.1,0.362
FR_inc.xlsx,FR,gen0,A4,4,13.0,22.1,0.683
FR_inc.xlsx,FR,gen0,A5,5,13.0,22.1,0.38
FR_inc.xlsx,FR,gen0,A6,6,13.0,22.1,0.431
FR_inc.xlsx,FR,gen0,A7,7,13.0,22.1,0.479
FR_inc.xlsx,FR,gen0,A8,8,13.0,22.1,0.402
FR_inc.xlsx,FR,gen0,A9,9,13.0,22.1,0.413
FR_inc.xlsx,FR,gen0,A10,10,13.0,22.1,0.5
FR_inc.xlsx,FR,gen0,A11,11,13.0,22.1,0.564
FR_inc.xlsx,FR,gen0,A12,12,13.0,22.1,0.439
FR_inc.xlsx,FR,gen0,B1,13,13.0,22.1,0.641
FR_inc.xlsx,FR,gen0,B2,14,13.0,22.1,0.388
FR_inc.xlsx,FR,gen0,B3,15,13.0,22.1,0.5
FR_inc.xlsx,FR,gen0,B4,16,13.0,22.1,0.383
FR_inc.xlsx,FR,gen0,B5,17,13.0,22.1,0.537
FR_inc.xlsx,FR,gen0,B6,18,13.0,22.1,0.523
FR_inc.xlsx,FR,gen0,B7,19,13.0,22.1,0.5
FR_inc.xlsx,FR,gen0,B8,20,13.0,22.1,0.588
FR_inc.xlsx,FR,gen0,B9,21,13.0,22.1,0.463
FR_inc.xlsx,FR,gen0,B10,22,13.0,22.1,0.633
FR_inc.xlsx,FR,gen0,B11,23,13.0,22.1,0.591
FR_inc.xlsx,FR,gen0,B12,24,13.0,22.1,0.465
FR_inc.xlsx,FR,gen0,C1,25,13.0,22.1,0.442
FR_inc.xlsx,FR,gen0,C2,26,13.0,22.1,0.348
FR_inc.xlsx,FR,gen0,C3,27,13.0,22.1,0.453
FR_inc.xlsx,FR,gen0,C4,28,13.0,22.1,0.408
FR_inc.xlsx,FR,gen0,C5,29,13.0,22.1,0.549
FR_inc.xlsx,FR,gen0,C6,30,13.0,22.1,0.757
FR_inc.xlsx,FR,gen0,C7,31,13.0,22.1,0.482
FR_inc.xlsx,FR,gen0,C8,32,13.0,22.1,0.4
FR_inc.xlsx,FR,gen0,C9,33,13.0,22.1,0.455
FR_inc.xlsx,FR,gen0,C10,34,13.0,22.1,0.608
FR_inc.xlsx,FR,gen0,C11,35,13.0,22.1,0.459
FR_inc.xlsx,FR,gen0,C12,36,13.0,22.1,0.579
FR_inc.xlsx,FR,gen0,D1,37,13.0,22.1,0.566
FR_inc.xlsx,FR,gen0,D2,38,13.0,22.1,0.511
FR_inc.xlsx,FR,gen0,D3,39,13.0,22.1,0.482
FR_inc.xlsx,FR,gen0,D4,40,13.0,22.1,0.596
FR_inc.xlsx,FR,gen0,D5,41,13.0,22.1,0.531
FR_inc.xlsx,FR,gen0,D6,42,13.0,22.1,0.637
FR_inc.xlsx,FR,gen0,D7,43,13.0,22.1,0.407
FR_inc.xlsx,FR,gen0,D8,44,13.0,22.1,0.439
FR_inc.xlsx,FR,gen0,D9,45,13.0,22.1,0.53
FR_inc.xlsx,FR,gen0,D10,46,13.0,22.1,0.4
FR_inc.xlsx,FR,gen0,D11,47,13.0,22.1,0.603
FR_inc.xlsx,FR,gen0,D12,48,13.0,22.1,0.486
FR_inc.xlsx,FR,gen0,E1,49,13.0,22.1,0.421
FR_inc.xlsx,FR,gen0,E2,50,13.0,22.1,0.577
FR_inc.xlsx,FR,gen0,E3,51,13.0,22.1,0.648
FR_inc.xlsx,FR,gen0,E4,52,13.0,22.1,0.577
FR_inc.xlsx,FR,gen0,E5,53,13.0,22.1,0.559
FR_inc.xlsx,FR,gen0,E6,54,13.0,22.1,0.496
FR_inc.xlsx,FR,gen0,E7,55,13.0,22.1,0.583
FR_inc.xlsx,FR,gen0,E8,56,13.0,22.1,0.533
FR_inc.xlsx,FR,gen0,E9,57,13.0,22.1,1.157
FR_inc.xlsx,FR,gen0,E10,58,13.0,22.1,0.513
FR_inc.xlsx,FR,gen0,E11,59,13.0,22.1,0.454
FR_inc.xlsx,FR,gen0,E12,60,13.0,22.1,0.404
FR_inc.xlsx,FR,gen0,F1,61,13.0,22.1,0.438
FR_inc.xlsx,FR,gen0,F2,62,13.0,22.1,0.517
FR_inc.xlsx,FR,gen0,F3,63,13.0,22.1,0.473
FR_inc.xlsx,FR,gen0,F4,64,13.0,22.1,0.572
FR_inc.xlsx,FR,gen0,F5,65,13.0,22.1,0.489
FR_inc.xlsx,FR,gen0,F6,66,13.0,22.1,0.386
FR_inc.xlsx,FR,gen0,F7,67,13.0,22.1,0.452
FR_inc.xlsx,FR,gen0,F8,68,13.0,22.1,0.46
FR_inc.xlsx,FR,gen0,F9,69,13.0,22.1,0.509
FR_inc.xlsx,FR,gen0,F10,70,13.0,22.1,0.515
FR_inc.xlsx,FR,gen0,F11,71,13.0,22.1,0.588
FR_inc.xlsx,FR,gen0,F12,72,13.0,22.1,0.49
FR_inc.xlsx,FR,gen0,G1,73,13.0,22.1,0.613
FR_inc.xlsx,FR,gen0,G2,74,13.0,22.1,0.457
FR_inc.xlsx,FR,gen0,G3,75,13.0,22.1,0.565
FR_inc.xlsx,FR,gen0,G4,76,13.0,22.1,0.455
