source,target,relation_type
TR-001,TR-004,CNST
TR-002,TR-004,CNST
TR-003,TR-004,MATR
TR-004,TR-005,MATR
TR-005,TR-011,ENBL
TR-005,TR-012,ENBL
TR-012,TR-006,ENBL
TR-006,TR-007,ENBL
TR-006,TR-008,ENBL
TR-007,TR-009,MATR
TR-006,TR-010,ENBL
TR-009,TR-013,MATR
TR-008,TR-014,MATR
TR-014,TR-015,ENBL
TR-008,TR-016,MATR
TR-016,TR-017,MATR
TR-016,TR-019,MATR
TR-019,TR-020,ENBL
TR-020,TR-021,ENBL
TR-020,TR-022,ENBL
TR-022,TR-023,ENVR
TR-022,TR-024,ENVR
TR-021,TR-025,ENBL
TR-023,TR-026,ENBL
TR-023,TR-027,ENBL
TR-021,TR-028,ENBL
TR-038,TR-029,ENVR
TR-036,TR-030,DEPG
TR-026,TR-031,CATL
TR-031,TR-032,MATR
TR-031,TR-033,MATR
TR-032,TR-034,ENBL
TR-032,TR-035,ENBL
TR-035,TR-036,ENBL
TR-036,TR-037,ENBL
TR-037,TR-038,DESC
TR-037,TR-039,DESC
TR-039,TR-040,ENBL
TR-009,TR-016,MATR
TR-013,TR-014,MATR
TR-017,TR-018,INCO
TR-018,TR-019,MATR
TR-024,TR-023,STAB
TR-023,TR-025,CONT
TR-033,TR-034,STAB
TR-029,TR-038,FEED
TR-029,TR-040,ENVR
