limitation,population_origin,evolved_strain_id,ancestor_id,replicate,fitness_ancestor,fitness_evolved,change_in_fitness,source_file
Carbon,REL 606,CBTn288,REL606,1,1.060521846,1.280312057,0.21979021,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn290,REL11330,1,1.681205142,1.816245978,0.135040837,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn292,REL11333,1,1.75608031,1.962757645,0.206677335,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn294,REL11336,1,2.168230759,1.757560835,-0.410669924,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn296,REL11339,1,1.749748574,1.617138355,-0.132610219,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn298,REL11389,1,1.534183021,2.103130619,0.568947598,Figure_2_C-limited_Fitness.csv
Carbon,REL 606,CBTn300,REL606,1,0.969553407,1.407310984,0.437757577,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn302,REL11330,1,1.594233165,1.766541595,0.17230843,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn304,REL11333,1,1.890499978,1.86874035,-0.021759627,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn306,REL11336,1,2.3110747,2.94983388,0.63875918,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn308,REL11339,1,2.558175881,2.40157836,-0.156597522,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn310,REL11389,1,1.586773718,1.73315686,0.146383142,Figure_2_C-limited_Fitness.csv
Carbon,REL 606,CBTn288,REL606,2,1.064758451,1.246968422,0.182209971,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn290,REL11330,2,1.606238829,1.18258686,-0.423651969,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn292,REL11333,2,1.858818351,1.942732095,0.083913745,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn294,REL11336,2,1.722482948,3.010718068,1.28823512,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn296,REL11339,2,2.227360014,1.84405583,-0.383304184,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn298,REL11389,2,1.541620685,1.712941669,0.171320984,Figure_2_C-limited_Fitness.csv
Carbon,REL 606,CBTn300,REL606,2,1.061679726,1.163216659,0.101536933,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn302,REL11330,2,1.616320322,1.469347268,-0.146973054,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn304,REL11333,2,2.637238775,2.3236051,-0.313633675,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn306,REL11336,2,2.205379251,1.737100331,-0.46827892,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn308,REL11339,2,1.84338579,1.617109005,-0.226276785,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn310,REL11389,2,1.511486203,1.492861931,-0.018624272,Figure_2_C-limited_Fitness.csv
Carbon,REL 606,CBTn288,REL606,3,1.101762103,1.378298859,0.276536756,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn290,REL11330,3,1.717123747,2.704078371,0.986954624,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn292,REL11333,3,1.893247759,1.961397163,0.068149404,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn294,REL11336,3,2.485498041,2.030887921,-0.45461012,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn296,REL11339,3,2.143555166,2.097471384,-0.046083782,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn298,REL11389,3,1.497330266,1.887470145,0.390139879,Figure_2_C-limited_Fitness.csv
Carbon,REL 606,CBTn300,REL606,3,1.039062948,1.420334073,0.381271124,Figure_2_C-limited_Fitness.csv
Carbon,A-1,CBTn302,REL11330,3,2.395346557,2.250001355,-0.145345202,Figure_2_C-limited_Fitness.csv
Carbon,A-2,CBTn304,REL11333,3,2.159880204,1.619207559,-0.540672645,Figure_2_C-limited_Fitness.csv
Carbon,A-4,CBTn306,REL11336,3,2.272679289,2.750696157,0.478016867,Figure_2_C-limited_Fitness.csv
Carbon,A-5,CBTn308,REL11339,3,2.535874696,1.79653664,-0.739338056,Figure_2_C-limited_Fitness.csv
Carbon,A-6,CBTn310,REL11389,3,1.475845542,1.628016664,0.152171122,Figure_2_C-limited_Fitness.csv
Nitrogen,REL 606,CBTn312,606,1,1.018801857,1.489751374,0.470949517,Figure_2_N-limited_Fitness.csv
