lineage_id,cycle,mic,lag_time,growth_rate,survival,persister_fraction,fitness
W_AMK12p5_N0p25_P01,1,,,,0.875,,
W_AMK12p5_N0p25_P02,1,,,,1.09,,
W_AMK12p5_N0p25_P03,1,,,,0.842,,
W_AMK12p5_N0p25_P01,2,,,,0.667,,
W_AMK12p5_N0p25_P02,2,,,,0.958,,
W_AMK12p5_N0p25_P03,2,,,,0.417,,
W_AMK12p5_N0p25_P04,2,,,,0.457,,
W_AMK12p5_N0p25_P05,2,,,,0.0721,,
W_AMK12p5_N0p25_P06,2,,,,0.0988,,
W_AMK12p5_N0p25_P07,2,,,,0.121,,
W_AMK12p5_N0p25_P08,2,,,,0.107,,
W_AMK12p5_N0p25_P09,2,,,,0.415,,
W_AMK12p5_N0p25_P10,2,,,,0.5,,
W_AMK12p5_N0p25_P11,2,,,,0.37,,
W_AMK12p5_N0p25_P12,2,,,,0.714,,
W_AMK12p5_N0p25_P13,2,,,,0.296,,
W_AMK12p5_N0p25_P14,2,,,,0.129,,
W_AMK12p5_N0p25_P15,2,,,,0.581,,
W_AMK12p5_N0p25_P16,2,,,,0.556,,
W_AMK12p5_N0p25_P17,2,,,,0.567,,
W_AMK12p5_N0p25_P18,2,,,,0.433,,
W_AMK12p5_N0p25_P19,2,,,,0.18,,
W_AMK12p5_N0p25_P20,2,,,,0.111,,
W_AMK12p5_N0p25_P21,2,,,,0.195,,
W_AMK12p5_N0p25_P22,2,,,,0.167,,
W_AMK12p5_N0p25_P01,5,,,,0.879,,
W_AMK12p5_N0p25_P02,5,,,,1.11,,
W_AMK12p5_N0p25_P03,5,,,,0.9,,
W_AMK12p5_N0p25_P04,5,,,,0.917,,
W_AMK12p5_N0p25_P05,5,,,,0.863,,
W_AMK12p5_N0p25_P06,5,,,,0.97,,
W_AMK12p5_N0p25_P07,5,,,,0.857,,
W_AMK12p5_N0p25_P08,5,,,,1.23,,
W_AMK12p5_N0p25_P09,5,,,,0.698,,
W_AMK12p5_N0p25_P10,5,,,,0.745,,
W_AMK12p5_N0p25_P11,5,,,,1.0,,
W_AMK12p5_N0p25_P12,5,,,,0.889,,
W_AMK12p5_N0p25_P13,5,,,,1.07,,
W_AMK12p5_N0p25_P14,5,,,,1.21,,
W_AMK12p5_N0p25_P15,5,,,,1.02,,
W_AMK12p5_N0p25_P16,5,,,,0.818,,
W_AMK12p5_N0p25_P17,5,,,,0.97,,
W_AMK12p5_N0p25_P18,5,,,,1.41,,
W_AMK12p5_N0p25_P19,5,,,,1.05,,
W_AMK12p5_N0p25_P20,5,,,,1.08,,
W_AMK12p5_N0p25_P21,5,,,,0.813,,
W_AMK12p5_N0p25_P22,5,,,,1.25,,
W_AMK12p5_N0p25_P01,8,,,,0.567,,
W_AMK12p5_N0p25_P02,8,,,,0.941,,
W_AMK12p5_N0p25_P04,8,,,,0.553,,
W_AMK12p5_N0p25_P05,8,,,,0.343,,
W_AMK12p5_N0p25_P06,8,,,,0.481,,
W_AMK12p5_N0p25_P07,8,,,,0.381,,
W_AMK12p5_N0p25_P08,8,,,,0.376,,
W_AMK12p5_N0p25_P09,8,,,,0.706,,
W_AMK12p5_N0p25_P10,8,,,,0.757,,
W_AMK12p5_N0p25_P11,8,,,,1.12,,
W_AMK12p5_N0p25_P12,8,,,,1.03,,
W_AMK12p5_N0p25_P13,8,,,,0.456,,
W_AMK12p5_N0p25_P14,8,,,,0.566,,
W_AMK12p5_N0p25_P15,8,,,,0.513,,
W_AMK12p5_N0p25_P16,8,,,,0.702,,
W_AMK12p5_N0p25_P17,8,,,,0.762,,
W_AMK12p5_N0p25_P18,8,,,,0.973,,
W_AMK12p5_N0p25_P19,8,,,,0.792,,
W_AMK12p5_N0p25_P20,8,,,,0.627,,
W_AMK12p5_N0p25_P21,8,,,,0.519,,
W_AMK12p5_N0p25_P22,8,,,,0.79,,
W_AMK12p5_N0p25_P01,11,,,,0.6,,
W_AMK12p5_N0p25_P02,11,,,,0.696,,
W_AMK12p5_N0p25_P04,11,,,,0.782,,
W_AMK12p5_N0p25_P05,11,,,,0.508,,
W_AMK12p5_N0p25_P06,11,,,,0.561,,
W_AMK12p5_N0p25_P08,11,,,,0.667,,
W_AMK12p5_N0p25_P09,11,,,,0.741,,
W_AMK12p5_N0p25_P10,11,,,,0.485,,
W_AMK12p5_N0p25_P11,11,,,,0.494,,
W_AMK12p5_N0p25_P12,11,,,,0.848,,
W_AMK12p5_N0p25_P13,11,,,,0.778,,
W_AMK12p5_N0p25_P14,11,,,,0.966,,
W_AMK12p5_N0p25_P15,11,,,,0.41,,
W_AMK12p5_N0p25_P16,11,,,,0.648,,
W_AMK12p5_N0p25_P17,11,,,,0.8,,
W_AMK12p5_N0p25_P18,11,,,,0.912,,
W_AMK12p5_N0p25_P19,11,,,,0.687,,
W_AMK12p5_N0p25_P20,11,,,,0.817,,
W_AMK12p5_N0p25_P21,11,,,,0.667,,
