gene_family,host_code,gene_count
LdcA,Acpi,1
AmiD,Acpi,1
RlpA,Acpi,5
RlpA4-like,Acpi,1
RlpA3-like,Acpi,1
RlpA1-like,Acpi,1
RlpA2/5-like,Acpi,2
i-lys,Acpi,3
c-lys,Acpi,0
ch-lys,Acpi,1
PGRP,Acpi,0
LdcA,Simi,2
AmiD,Simi,1
RlpA,Simi,6
RlpA4-like,Simi,1
RlpA3-like,Simi,1
RlpA1-like,Simi,2
RlpA2/5-like,Simi,2
i-lys,Simi,3
c-lys,Simi,0
ch-lys,Simi,1
PGRP,Simi,0
LdcA,Dino,1
AmiD,Dino,1
RlpA,Dino,2
RlpA4-like,Dino,1
RlpA3-like,Dino,1
RlpA1-like,Dino,0
RlpA2/5-like,Dino,0
i-lys,Dino,3
c-lys,Dino,0
ch-lys,Dino,1
PGRP,Dino,0
LdcA,Myce,1
AmiD,Myce,1
RlpA,Myce,4
RlpA4-like,Myce,1
RlpA3-like,Myce,1
RlpA1-like,Myce,1
RlpA2/5-like,Myce,1
i-lys,Myce,3
c-lys,Myce,0
ch-lys,Myce,1
PGRP,Myce,0
LdcA,Mype,1
AmiD,Mype,1
RlpA,Mype,4
RlpA4-like,Mype,1
RlpA3-like,Mype,1
RlpA1-like,Mype,1
RlpA2/5-like,Mype,1
i-lys,Mype,3
c-lys,Mype,0
ch-lys,Mype,1
PGRP,Mype,0
LdcA,Peni,1
AmiD,Peni,0
RlpA,Peni,3
RlpA4-like,Peni,0
RlpA3-like,Peni,0
RlpA1-like,Peni,2
RlpA2/5-like,Peni,1
i-lys,Peni,3
c-lys,Peni,0
ch-lys,Peni,1
PGRP,Peni,0
LdcA,Apgl,1
AmiD,Apgl,0
RlpA,Apgl,5
RlpA4-like,Apgl,1
RlpA3-like,Apgl,1
RlpA1-like,Apgl,2
RlpA2/5-like,Apgl,1
i-lys,Apgl,3
c-lys,Apgl,0
ch-lys,Apgl,1
PGRP,Apgl,0
LdcA,Apgo,1
AmiD,Apgo,0
RlpA,Apgo,5
RlpA4-like,Apgo,1
RlpA3-like,Apgo,1
RlpA1-like,Apgo,2
RlpA2/5-like,Apgo,1
i-lys,Apgo,3
c-lys,Apgo,0
ch-lys,Apgo,1
PGRP,Apgo,0
LdcA,Rhma,1
AmiD,Rhma,0
RlpA,Rhma,4
RlpA4-like,Rhma,1
RlpA3-like,Rhma,1
RlpA1-like,Rhma,1
RlpA2/5-like,Rhma,1
i-lys,Rhma,3
c-lys,Rhma,0
ch-lys,Rhma,1
PGRP,Rhma,0
LdcA,Rhpa,2
AmiD,Rhpa,0
RlpA,Rhpa,5
RlpA4-like,Rhpa,1
RlpA3-like,Rhpa,1
RlpA1-like,Rhpa,2
RlpA2/5-like,Rhpa,1
i-lys,Rhpa,3
c-lys,Rhpa,0
ch-lys,Rhpa,1
PGRP,Rhpa,0
LdcA,Chsp,0
AmiD,Chsp,0
RlpA,Chsp,2
RlpA4-like,Chsp,1
RlpA3-like,Chsp,0
RlpA1-like,Chsp,0
RlpA2/5-like,Chsp,1
i-lys,Chsp,4
c-lys,Chsp,0
ch-lys,Chsp,1
PGRP,Chsp,0
LdcA,Stsp,0
AmiD,Stsp,0
RlpA,Stsp,8
RlpA4-like,Stsp,3
RlpA3-like,Stsp,0
RlpA1-like,Stsp,2
RlpA2/5-like,Stsp,3
i-lys,Stsp,4
c-lys,Stsp,0
ch-lys,Stsp,1
PGRP,Stsp,0
LdcA,Gesp,0
AmiD,Gesp,1
RlpA,Gesp,2
RlpA4-like,Gesp,0
RlpA3-like,Gesp,0
RlpA1-like,Gesp,0
RlpA2/5-like,Gesp,2
i-lys,Gesp,3
c-lys,Gesp,0
ch-lys,Gesp,1
PGRP,Gesp,0
LdcA,Pesp,2
AmiD,Pesp,0
RlpA,Pesp,10
RlpA4-like,Pesp,2
RlpA3-like,Pesp,1
RlpA1-like,Pesp,1
RlpA2/5-like,Pesp,6
i-lys,Pesp,3
c-lys,Pesp,0
ch-lys,Pesp,1
PGRP,Pesp,0
LdcA,Erla,1
AmiD,Erla,0
RlpA,Erla,5
RlpA4-like,Erla,1
RlpA3-like,Erla,1
RlpA1-like,Erla,1
RlpA2/5-like,Erla,2
i-lys,Erla,8
c-lys,Erla,0
ch-lys,Erla,1
PGRP,Erla,0
LdcA,Hoco,1
AmiD,Hoco,2
RlpA,Hoco,3
RlpA4-like,Hoco,1
RlpA3-like,Hoco,0
RlpA1-like,Hoco,0
RlpA2/5-like,Hoco,2
i-lys,Hoco,3
c-lys,Hoco,0
ch-lys,Hoco,1
PGRP,Hoco,0
LdcA,Cice,2
AmiD,Cice,1
RlpA,Cice,6
RlpA4-like,Cice,0
RlpA3-like,Cice,3
RlpA1-like,Cice,3
RlpA2/5-like,Cice,0
