Meteorite,Sample box number,Type,Fall,"Measurement surface description, TCS",Mass (g),Grain volume (cm3),Grain Vol. Std. Dev. (%),Bulk Volume (cm3),Grain Density (g/cm3),Grain density std (%),Grain density uncertainty (g/cm3),Bulk Density (g/cm3),Bulk density uncertainty (theoretical 1-?) (%),Bulk density uncertainty (g/cm3),Porosity (%),Porosity uncertainty (root sum of the squares) (%),Measured thermal diffusivity (10E-6 mm2/s),Measured thermal conductivity (W/m/K),TC G (=standard deviation / mean value)(%),"TC Inhomogeneity coefficient = (maximum-minimum) / mean, or (2 (TCmax-TCmin) / (TCmax+TCmin))",Corrected thermal conductivity due to sample thickness (W/m/K),Standard deviation / Mean value  (W/m/K),Aspect ratio of pores,Corrected thermal diffusivity (1.33 x 10-4 Pa) (mm2/s),Corrected thermal conductivity (1.33 x 10-4 Pa) (W/m/K),Temperature (K)
Kainsaz,D 5451,CO3.2,Fall,sawn,71.39,20.71,0.01,22.36,3.45,0.006,0.0002,3.19,0.193,0.006,7.4,0.6,0.94,2.55,2.35,0.08,2.55,0.06,0.024,0.68,1.85,296
Allende,A 9981,CV3,Fall,sawn,69.95,18.7,0.0,23.89,3.74,0.004,0.0002,2.93,0.178,0.005,21.7,0.5,0.45,1.21,1.24,0.04,1.21,0.01,0.048,0.08,0.22,296
Allende perpendicular,A 9981,CV3,Fall,sawn,69.95,18.7,0.0,23.89,3.74,0.004,0.0002,2.93,0.178,0.005,21.7,0.5,0.35,1.21,1.99,0.07,1.21,0.02,0.048,0.06,0.22,296
Abee,B 4965 (D 4880),EH4,Fall,sawn,15.24,3.46,0.12,4.47,4.41,0.12,0.0053,3.41,0.366,0.013,22.6,1.4,1.39,2.48,3.9,0.12,2.33,0.09,0.05,0.37,0.63,296
Metsäkylä,B 5064,H4,Find,sawn and polished,12.34,3.23,0.38,3.84,3.818024317,0.3783,0.0144,3.22,0.372,0.012,15.749454,1.9,0.77,2.58,2.81,0.07,2.43,0.07,0.037,0.35,1.1,296
Orimattila,B 5075,H4,Find,sawn and polished,39.77,,,11.65,,,,3.41,0.297,0.01,,,1.18,2.64,2.05,0.07,2.48,0.05,0.019,1.02,2.14,296
Orimattila perpendicular,B 5075,H4,Find,sawn and polished,39.77,,,11.65,,,,3.41,0.297,0.01,,,1.06,2.74,6.04,0.19,2.57,0.16,0.019,0.92,2.23,296
Ransom,D 5289 (B 5096),H4,Find,sawn and polished,79.72,,,22.15,,,,3.6,0.195,0.007,,,1.33,3.65,3.31,0.12,3.64,0.12,0.022,1.09,2.99,296
Ransom perpendicular,D 5289 (B 5096),H4,Find,sawn and polished,79.72,,,22.15,,,,3.6,0.195,0.007,,,1.09,3.76,3.38,0.11,3.75,0.13,0.022,0.89,3.09,296
Seneca,D 5330 (B 5108),H4,Find,sawn and polished,19.96,5.17,0.02,6.43,3.863482418,0.0242,0.0009,3.1,0.347,0.011,19.6910701,1.1,0.87,2.57,6.52,0.19,2.41,0.16,0.045,0.3,0.83,296
