LTEE population derived from,Evolved strain ID,Ancestor ID,Replicate,D0- Ancestor colonies,D0- REL607 colonies vs ancestor,D1- Ancestor colonies,D1- REL607 colonies vs ancestor,Generations- Ancestor,Generations-REL607 vs ancestor,Fitness ancestor (w),D0- Evolved colonies,D0- REL607 colonies vs evolved,D1-Evolved colonies,D1- REL607 colonies vs evolved,Generations- Evolved,Generations- REL607 vs evolved,Fitness evolved (w),Change in fitness
REL 606,CBTn312,606,1,323,328,266,249,6.363748271,6.246306117,1.018801857,265,360,619,140,7.86780324,5.28128611,1.489751374,0.470949517
A-1,CBTn266,11330,1,25,361,33,485,7.044394119,7.0698421,0.996400488,73,291,169,110,7.854911067,5.24034056,1.49893141,0.502530922
A-2,CBTn268,11333,1,3,360,0,305,N.D.,6.404668526,N.D.,0,340,28,96,N.D.,4.819427754,N.D.,N.D.
A-4,CBTn270,11336,1,16,323,93,200,9.183015001,5.952322025,1.542761793,44,325,190,74,8.754280179,4.509013647,1.941506694,0.398744901
A-5,CBTn272,11339,1,43,388,59,438,7.100234484,6.818730407,1.041283943,92,317,228,117,7.953184248,5.205881879,1.527730447,0.486446504
A-6,CBTn274,11389,1,95,352,83,618,6.449040013,7.455887599,0.864959393,210,400,365,295,7.441363326,6.204571144,1.199335643,0.33437625
REL 606,CBTn276,606,1,305,292,224,267,6.198545679,6.514727563,0.951466599,162,334,333,33,7.683384554,3.304546017,2.325095343,1.373628744
A-1,CBTn278,11330,1,26,287,12,365,5.528378972,6.990701917,0.790818867,117,311,191,129,7.350920298,5.374312675,1.367787984,0.576969116
A-2,CBTn280,11333,1,0,316,0,456,N.D.,7.172965456,N.D.,14,366,13,238,N.D.,6.022974115,N.D.,N.D.
A-4,CBTn282,11336,1,30,321,40,119,7.058893689,5.212244466,1.354290601,22,317,45,69,7.676277667,4.444041616,1.727319033,0.373028432
A-5,CBTn284,11339,1,44,356,44,195,6.64385619,5.775453073,1.150361038,108,309,86,60,6.315233442,4.279283757,1.475768797,0.325407759
A-6,CBTn286,11389,1,145,348,46,490,4.987509056,7.137550633,0.698770392,180,374,233,199,7.016189238,5.73358635,1.223699934,0.524929542
REL 606,CBTn312,606,2,290,325,200,248,6.10780329,6.253756592,0.976661499,276,283,372,49,7.074490544,4.113907791,1.71965219,0.742990691
A-1,CBTn266,11330,2,34,319,9,515,4.72631835,7.334872198,0.64436274,149,315,174,67,6.867631165,4.410737362,1.55702564,0.9126629
A-2,CBTn268,11333,2,0,369,0,463,N.D.,6.971247567,N.D.,5,356,0,235,N.D.,6.044639705,N.D.,N.D.
A-4,CBTn270,11336,2,75,366,164,111,7.772589504,4.922572218,1.578969116,71,307,194,42,8.094021912,3.774078767,2.144635131,0.565666015
A-5,CBTn272,11339,2,51,396,64,292,6.971430848,6.204324129,1.123640658,139,309,160,54,6.846843212,4.127280664,1.658923579,0.535282921
A-6,CBTn274,11389,2,137,298,40,529,4.867752202,7.471811581,0.651482194,210,334,295,208,7.134181816,5.960591615,1.196891563,0.545409369
REL 606,CBTn276,606,2,349,336,165,176,5.563095178,5.710970386,0.974106816,229,293,284,115,6.954399521,5.294589386,1.313491758,0.339384942
A-1,CBTn278,11330,2,21,418,4,482,4.251538767,6.849386394,0.620718196,168,353,288,124,7.421463768,5.134528127,1.445403275,0.824685079
A-2,CBTn280,11333,2,0,353,0,462,N.D.,7.032080858,N.D.,5,411,0,193,N.D.,5.553318643,N.D.,N.D.
A-4,CBTn282,11336,2,76,340,137,127,7.493960759,5.22314994,1.43475888,42,249,94,44,7.806127619,4.143285876,1.884042726,0.449283846
A-5,CBTn284,11339,2,40,359,111,305,8.116343961,6.408681588,1.266460792,123,319,215,86,7.449534534,4.752708331,1.567429351,0.300968559
A-6,CBTn286,11389,2,109,386,57,564,5.708561879,7.190950505,0.793853591,143,325,289,230,7.658910535,6.145050333,1.246354402,0.452500812
REL 606,CBTn312,606,3,337,316,298,345,6.466419929,6.770527993,0.955083553,242,273,378,56,7.287235377,4.358453971,1.671977133,0.716893581
A-1,CBTn266,11330,3,4,339,15,389,8.550746785,6.842341072,1.249681461,5,229,90,125,10.81378119,5.770436686,1.873997026,0.624315566
A-2,CBTn268,11333,3,0,317,0,356,N.D.,6.811250591,N.D.,0,387,0,300,N.D.,6.276485124,N.D.,N.D.
A-4,CBTn270,11336,3,30,318,91,159,8.244760234,5.64385619,1.460838114,68,332,133,74,7.611675784,4.478270124,1.69969108,0.238852966
A-5,CBTn272,11339,3,23,346,46,430,7.64385619,6.957420812,1.098662334,109,293,149,68,7.094840385,4.536562177,1.563924423,0.465262089
A-6,CBTn274,11389,3,106,286,64,634,5.915935735,7.792323883,0.759200442,170,276,308,239,7.501251794,6.436198541,1.16547862,0.406278178
REL 606,CBTn276,606,3,326,311,305,327,6.547793468,6.716232245,0.974920644,302,361,440,102,7.186811164,4.820426505,1.490907735,0.515987091
A-1,CBTn278,11330,3,314,344,360,404,6.841088537,6.875802918,0.994951225,40,360,137,165,8.419960178,5.518325308,1.525818017,0.530866792
A-2,CBTn280,11333,3,0,358,0,609,N.D.,7.41033883,N.D.,0,379,0,278,N.D.,6.196743224,N.D.,N.D.
A-4,CBTn282,11336,3,89,344,104,163,6.868562477,5.566319589,1.233950435,76,394,128,72,7.395928676,4.191729372,1.76440987,0.530459435
A-5,CBTn284,11339,3,26,388,16,434,5.943416472,6.80549458,0.873326163,121,346,174,78,7.167936448,4.494630181,1.594777804,0.72145164
A-6,CBTn286,11389,3,146,401,39,548,4.73943385,7.094429846,0.668049999,186,387,204,271,6.777122721,6.129815475,1.105599793,0.437549794
