Antibiotic,Strain,Limitation,Ancestor,MIC (ug/mL)
Ampicillin,288,Carbon,REL606,1
Ampicillin,288,Carbon,REL606,2
Ampicillin,288,Carbon,REL606,1
Ampicillin,290,Carbon,A-1,4
Ampicillin,290,Carbon,A-1,4
Ampicillin,290,Carbon,A-1,4
Ampicillin,292,Carbon,A-2,0.25
Ampicillin,292,Carbon,A-2,0.5
Ampicillin,292,Carbon,A-2,0.25
Ampicillin,294,Carbon,A-4,1
Ampicillin,294,Carbon,A-4,2
Ampicillin,294,Carbon,A-4,1
Ampicillin,296,Carbon,A-5,1
Ampicillin,296,Carbon,A-5,2
Ampicillin,296,Carbon,A-5,1
Ampicillin,298,Carbon,A-6,1
Ampicillin,298,Carbon,A-6,2
Ampicillin,298,Carbon,A-6,1
Ampicillin,300,Carbon,REL606,1
Ampicillin,300,Carbon,REL606,1
Ampicillin,300,Carbon,REL606,1
Ampicillin,302,Carbon,A-1,4
Ampicillin,302,Carbon,A-1,4
Ampicillin,302,Carbon,A-1,8
Ampicillin,304,Carbon,A-2,0.5
Ampicillin,304,Carbon,A-2,0.5
Ampicillin,304,Carbon,A-2,0.5
Ampicillin,306,Carbon,A-4,1
Ampicillin,306,Carbon,A-4,2
Ampicillin,306,Carbon,A-4,2
Ampicillin,308,Carbon,A-5,1
Ampicillin,308,Carbon,A-5,2
Ampicillin,308,Carbon,A-5,1
Ampicillin,310,Carbon,A-6,1
Ampicillin,310,Carbon,A-6,1
Ampicillin,310,Carbon,A-6,1
Ampicillin,264,Nitrogen,REL606,2
Ampicillin,264,Nitrogen,REL606,2
Ampicillin,264,Nitrogen,REL606,2
Ampicillin,266,Nitrogen,A-1,4
Ampicillin,266,Nitrogen,A-1,1
Ampicillin,266,Nitrogen,A-1,4
Ampicillin,268,Nitrogen,A-2,0.5
Ampicillin,268,Nitrogen,A-2,1
Ampicillin,268,Nitrogen,A-2,0.5
Ampicillin,270,Nitrogen,A-4,1
Ampicillin,270,Nitrogen,A-4,4
Ampicillin,270,Nitrogen,A-4,2
Ampicillin,272,Nitrogen,A-5,1
Ampicillin,272,Nitrogen,A-5,1
Ampicillin,272,Nitrogen,A-5,1
Ampicillin,274,Nitrogen,A-6,2
Ampicillin,274,Nitrogen,A-6,2
Ampicillin,274,Nitrogen,A-6,1
Ampicillin,276,Nitrogen,REL606,2
Ampicillin,276,Nitrogen,REL606,2
Ampicillin,276,Nitrogen,REL606,2
Ampicillin,278,Nitrogen,A-1,4
Ampicillin,278,Nitrogen,A-1,8
Ampicillin,278,Nitrogen,A-1,4
Ampicillin,280,Nitrogen,A-2,0.5
Ampicillin,280,Nitrogen,A-2,0.5
Ampicillin,280,Nitrogen,A-2,0.5
Ampicillin,282,Nitrogen,A-4,1
Ampicillin,282,Nitrogen,A-4,1
Ampicillin,282,Nitrogen,A-4,1
Ampicillin,284,Nitrogen,A-5,1
Ampicillin,284,Nitrogen,A-5,2
Ampicillin,284,Nitrogen,A-5,2
Ampicillin,286,Nitrogen,A-6,0.5
Ampicillin,286,Nitrogen,A-6,4
Ampicillin,286,Nitrogen,A-6,1
Erythromycin,288,Carbon,REL606,64
Erythromycin,288,Carbon,REL606,64
Erythromycin,288,Carbon,REL606,64
Erythromycin,290,Carbon,A-1,64
Erythromycin,290,Carbon,A-1,64
Erythromycin,290,Carbon,A-1,128
Erythromycin,292,Carbon,A-2,4
Erythromycin,292,Carbon,A-2,4
Erythromycin,292,Carbon,A-2,4
Erythromycin,294,Carbon,A-4,32
Erythromycin,294,Carbon,A-4,64
Erythromycin,294,Carbon,A-4,64
Erythromycin,296,Carbon,A-5,32
Erythromycin,296,Carbon,A-5,64
Erythromycin,296,Carbon,A-5,64
Erythromycin,298,Carbon,A-6,64
Erythromycin,298,Carbon,A-6,64
Erythromycin,298,Carbon,A-6,64
Erythromycin,300,Carbon,REL606,64
Erythromycin,300,Carbon,REL606,64
Erythromycin,300,Carbon,REL606,64
Erythromycin,302,Carbon,A-1,64
Erythromycin,302,Carbon,A-1,128
Erythromycin,302,Carbon,A-1,64
Erythromycin,304,Carbon,A-2,4
Erythromycin,304,Carbon,A-2,16
Erythromycin,304,Carbon,A-2,4
Erythromycin,306,Carbon,A-4,32
Erythromycin,306,Carbon,A-4,64
Erythromycin,306,Carbon,A-4,32
Erythromycin,308,Carbon,A-5,64
Erythromycin,308,Carbon,A-5,64
Erythromycin,308,Carbon,A-5,64
Erythromycin,310,Carbon,A-6,64
Erythromycin,310,Carbon,A-6,64
Erythromycin,310,Carbon,A-6,128
Erythromycin,264,Nitrogen,REL606,32
Erythromycin,264,Nitrogen,REL606,64
Erythromycin,264,Nitrogen,REL606,64
Erythromycin,266,Nitrogen,A-1,32
Erythromycin,266,Nitrogen,A-1,64
Erythromycin,266,Nitrogen,A-1,64
Erythromycin,268,Nitrogen,A-2,16
Erythromycin,268,Nitrogen,A-2,32
Erythromycin,268,Nitrogen,A-2,16
Erythromycin,270,Nitrogen,A-4,32
Erythromycin,270,Nitrogen,A-4,64
Erythromycin,270,Nitrogen,A-4,32
Erythromycin,272,Nitrogen,A-5,32
Erythromycin,272,Nitrogen,A-5,64
Erythromycin,272,Nitrogen,A-5,64
Erythromycin,274,Nitrogen,A-6,16
Erythromycin,274,Nitrogen,A-6,64
Erythromycin,274,Nitrogen,A-6,64
Erythromycin,276,Nitrogen,REL606,32
Erythromycin,276,Nitrogen,REL606,64
Erythromycin,276,Nitrogen,REL606,64
Erythromycin,278,Nitrogen,A-1,128
Erythromycin,278,Nitrogen,A-1,128
Erythromycin,278,Nitrogen,A-1,128
Erythromycin,280,Nitrogen,A-2,8
Erythromycin,280,Nitrogen,A-2,4
Erythromycin,280,Nitrogen,A-2,4
Erythromycin,282,Nitrogen,A-4,32
Erythromycin,282,Nitrogen,A-4,32
Erythromycin,282,Nitrogen,A-4,32
Erythromycin,284,Nitrogen,A-5,64
Erythromycin,284,Nitrogen,A-5,64
Erythromycin,284,Nitrogen,A-5,32
Erythromycin,286,Nitrogen,A-6,32
Erythromycin,286,Nitrogen,A-6,32
Erythromycin,286,Nitrogen,A-6,32
Tetracycline,288,Carbon,REL606,2
Tetracycline,288,Carbon,REL606,2
Tetracycline,288,Carbon,REL606,2
Tetracycline,290,Carbon,A-1,2
Tetracycline,290,Carbon,A-1,1
Tetracycline,290,Carbon,A-1,1
Tetracycline,292,Carbon,A-2,0.5
Tetracycline,292,Carbon,A-2,0.5
Tetracycline,292,Carbon,A-2,0.25
Tetracycline,294,Carbon,A-4,1
Tetracycline,294,Carbon,A-4,0.5
Tetracycline,294,Carbon,A-4,0.5
Tetracycline,296,Carbon,A-5,2
Tetracycline,296,Carbon,A-5,1
Tetracycline,296,Carbon,A-5,1
Tetracycline,298,Carbon,A-6,2
Tetracycline,298,Carbon,A-6,1
Tetracycline,298,Carbon,A-6,1
Tetracycline,300,Carbon,REL606,2
Tetracycline,300,Carbon,REL606,1
Tetracycline,300,Carbon,REL606,2
Tetracycline,302,Carbon,A-1,2
Tetracycline,302,Carbon,A-1,1
Tetracycline,302,Carbon,A-1,1
Tetracycline,304,Carbon,A-2,0.5
Tetracycline,304,Carbon,A-2,0.25
Tetracycline,304,Carbon,A-2,0.25
Tetracycline,306,Carbon,A-4,0.5
Tetracycline,306,Carbon,A-4,0.5
Tetracycline,306,Carbon,A-4,0.5
