Amino Acid,Bennu (CI) (Glavin+25),ALHA 77257 (U) (Burton+12),EET 83309 (U) (Burton+12),LEW 85328 (U) (Burton+12),GRA 95205 (U) (Burton+12),LAR 04315 (U) (Burton+12),ALH 84028 (CV3) (Burton+12),EET 96026 (CV3) (Burton+12),LAP 02206 (CV3) (Burton+12),LAR 06317 (CV3) (Burton+12),ALHA 77307 (CO3) (Burton+12),MIL 05013 (CO3) (Burton+12),DOM 08006 (CO3) (Burton+12),MAC 02675 (CBb) (Burton+13),Murchison (CM2) (Glavin+25),Tarda (C2-ung) (Glavin+25),Orgueil (CI1) (Glavin+25),Ryugu (CI) (Glavin+25),EET 92042 (CR2) (Martins+07),GRA 95229 (CR2) (Martins+07),Kebukawa UPLC (SYN) (Kebukawa+17),Enceladus Abiotic (SYN) (Klenner+20),Asuka (CM2.9) (Glavin+20),Paris (CM2.7) (Glavin+20),ALH 85085 (CH3) (Burton+13),PCA 91467 (CH3) (Burton+13),PAT 91546 (CH3) (Burton+13),MIL 05082 (CB) (Burton+13),MIL 07411 (CB) (Burton+13),Ivuna (CI) (Burton+14),GRA 06101 (CV3) (Burton+12),Allende (CV3) (Burton+12),UA 2741 (CM2) (Glavin+21),UA 2746 (CM2) (Glavin+21),Nakhla (Glavin+99),GRO 95577 (CR1) (Martins+07),Logat Diff. (MIX) (Klevenz+10),WA/CC Diff. (MIX) (Klevenz+10),SM2 (CM2) (Burton+14),SM12 (CM2) (Burton+14),SM51 (CM2) (Burton+14),Izena Cauldron (MIX) (Fuchida+14),LB Strom. (MIC) (Ballarini+94),Burmese Amber (EUK) (McCoy+19),Baltic Amber (EUK) (McCoy+19),M. megad. A; OF (EUK) (Saitta+24),M. megad. B (EUK) (Saitta+24),Logat Hot (MIC) (Klevenz+10),TP Hot (MIC) (Klevenz+10),RL Hot (MIC) (Klevenz+10),Bitter Springs Chert (MIC) (Schopf+67),Gunflint Chert (MIC) (Schopf+67),Fig Tree Chert (MIC) (Schopf+67),Enceladus Biotic (SYN) (Klenner+20),V21-16 GDe (EUK) (King+72),V21-16 GA (EUK) (King+72),GDu Recent (EUK) (King+72),Changjiang Est. B6 (MIX) (Wei+22),Changjiang Est. A5-6 (MIX) (Wei+22),Nile Delta (MIX) (Glavin+99),E. Coli (MIC) (Simensen+22),M. thermophila (MIC) (Jiang+24),Geobacillus LC300 (MIC) (Cordova+17),Thermus thermophilus HB8 (MIC) (Cordova+17),Rhodothermus marinus DSM 4252 (MIC) (Cordova+17),Methanococcus maripaludis (MIC) (Wang+24),Synechococcus 7002 (MIC) (Beck+18),A. acidocaldarius (MIC) (Beck+18),Kara Sea Surf. (MIX)
Sample Class,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Stat Model,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,logn,logn,n,n,n,t,t,logt,logt,t,t,logn,logn,logn,logn,logn,logn,n,logn,logn,logn,t,t,n,n,n,logn,logn,logn,n,n,n,t
Stat Model DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,,,,,,,,,,,7,18,,,,,,,,,,8
Glycine,44.0,80.0,7.4,63.0,36.0,24.0,19.0,56.0,120.0,49.0,7.5,13.0,19.0,39.0,80.0,11.2,11.5,0.46,26875,57796,344.1,2000,155.0,110.0,4531.0,4609.0,5747.0,900.0,55.0,10.7,47.0,851.0,66.5,75.0,327.0,136,465,40.6,2.26,2.96,12.8,1.23,58.6,186.74,478.4,61.5,397,6.8,7.3,78,9.2,2.8,3.2,27,155,164,273,16.81,16.5,2168.0,0.025,0.266,0.77,0.98,0.82,4.55,10.2,9.6,14.167222222222223
Alanine,7.9,53.6,0.8,5.5,9.7,7.3,9.4,11.5,12.0,15.2,11.0,4.0,6.4,13.7,20.0,2.55,2.0,0.025,47077,101403,1080.6,1685,51.0,18.8,1765.0,457.0,711.0,272.0,15.0,4.8,280.5,907.0,9.07,10.45,73.0,170,1055,28.6,0.6,1.39,9.129999999999999,0.95,39.69,36.29,94.43,158.25,785,7.6,65.6,52,6.6,2.7,0.95,,230,265,215,15.4,19.5,1038.0,0.046,0.347,0.98,1.02,0.9,6.96,12,11.8,10.198888888888888
beta-Alanine,3.3,103.0,91.0,158.0,161.0,102.0,112.0,144.0,271.0,181.0,279.0,13.0,58.0,25.0,29.2,3.8,30.7,3.3,3005,2910,218.9,,13.1,14.0,1093.0,3818.0,4218.0,267.0,28.0,29.2,5.0,295.0,2.55,2.45,100.0,122,,,0.51,0.53,2.04,,,,,,,,,,1,0.8,0.73,,,,,,,598.0,,,,,,,,,0.2488888888888889
Serine,0.18,125.0,1.2,4.1,5.9,1.3,2.1,2.7,14.7,7.3,14.0,3.5,17.1,27.8,4.14,0.99,0.0,0.24,742,1807,2.5,29,4.0,,292.0,149.0,239.0,33.0,9.9,0.56,29.0,774.0,9.37,10.7,102.0,50,2165,38.6,1.11,1.61,9.17,0.91,13,66.03,182.62,11,69.5,,19.3,99,2.4,1.5,1.2,29,18,15,166,6,4.45,604.0,0.021,0.226,0.38,0.49,0.47,3.83,4.9,5.6,8.082777777777778
Isoserine,0.053,,,,,,,,,,,,,,1.02,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Aspartic Acid,2.57,0,0,3.0999999999999996,5.6,0,0,8.3,0,0,2.6,2.8,1.2999999999999998,17.0,7.5,1.37,0.82,0.02,991,1365,0,15,3.5,2.51,372.0,330.0,405.0,87.0,16.4,1.19,18.0,1255.0,4.12,4.55,86.0,32,211,17,0.64,1.1600000000000001,10.75,1.3,17.47,31.61,128.89,6.5,93.5,18.6,16.3,1,5.5,1.7,0.14,8,273,398,467,13.41,14.5,1118.0,0.052,0.179,0.79,0.61,0.71,10.7,9.7,9.5,11.732777777777777
Threonine,0.0,,,,,,,,,,,,,,14.2,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,5.9,6.45,,0,545,9.3,0,0.66,5.9,0.66,9.24,23.13,57.8,11.5,,2.83,,,2.3,1,0.5,,11,11,172,7.13,5.52,,0.028,0.219,0.48,0.51,0.54,4.97,5.2,6.2,6.444999999999999
"D,L-a-ABA",0.8,0.0,0.0,0.4,0.5,0.4,0.7,0.4,0.3,0.0,0.0,0.8,0.8,0.0,3.23,0.19,0.69,0.0,0,0,38.2,388,15.0,2.97,470.0,297.0,375.0,69.0,13.0,0.4,0.4,15.0,1.8,1.9,,0,,,0.0,0.01,0.21,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
 beta-ABA,1.08,6.1,0.7,1.1,2.5,0.5,0.3,0.2,0.2,0,0,2.5,3.2,0,6.2,1.18,3.9,0.64,3094,5986,26.5,,6.55,0.0,228.0,717.0,792.0,62.0,11.2,4.300000000000001,0.6,11.7,1.8,1.9,,49,,,0,0.04,0.06,,,,,,,,,,0.9,0,0.09,,,,,,,,,,,,,,,,
gamma-ABA,3.03,285.0,575.0,815.0,561.0,558.0,158.0,979.0,1110.0,229.0,781.0,5.0,81.0,72.0,9.2,2.9,2.7,3.5,1975,2848,53.4,,2.0,,1996.0,542.0,809.0,177.0,29.0,3.9,41.0,104.0,0.0,0.0,99.0,54,,,0.06,0.38,5.98,,,,,,,,,,0.4,0,,,,,,,,205.0,,,,,,,,,0.4033333333333334
alpha-AIB,0.61,1.0,0.3,0.2,0.2,0.0,1.7,0.5,0.0,0.4,0.0,0.5,2.3,0.0,21.0,0.54,3.3,0.38,57856,27679,3.9,,17.0,3.0,58.0,139.0,195.0,57.0,6.0,2.6,0.7,6.4,5.0,9.0,,48,,,0.0,0.0,0.0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
 beta-AIB,0.32,0.0,0.0,0.0,0.0,0.0,14.0,,,,,23.0,9.2,0.0,2.55,0.0,0.0,0.37,1526,1645,0,,,,137.0,467.0,464.0,21.0,15.0,2.6,,0.0,2.9,2.9,,30,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Glutamic Acid,0.79,18.0,0,28.2,41.0,12.3,7.199999999999999,22.5,9.600000000000001,1.3,1.7,14.0,6.9,51.0,14.1,7.83,0.88,0.0,6298,6673,20.8,34,1.53,12.3,2076.0,781.0,967.0,101.0,37.0,0.37,16.0,1433.0,6.56,11.0,322.0,56,455.5,23.6,0.96,3.2399999999999998,19.68,0.8,16,55.91,188.29,117,1790.5,26.3,26.3,15,5.77,1.9,0.54,,168,193,252,6.02,6.22,1311.0,0.049,0.369,1.14,0.99,1.09,13.76,12.5,11.3,11.812222222222223
Valine,0.48,31.7,91.0,0.6,0,3.3,2.2,3.3,7.0,2.1,6.6,4.8,2.5,9.5,5.94,0.86,0.67,0.0,7297,11789,0,641,10.8,10.100000000000001,478.0,159.0,122.0,35.0,10.1,0.11,8.9,400.0,5.47,5.5,,21,1179.5,9.3,0.32,1.04,7.4799999999999995,1,8.32,26.81,94.54,69.25,457.5,4.3,7.6,24,2.45,1.2,0.79,,99,129,136,13.34,12.64,,0.033,0.179,0.64,0.65,0.62,6.8,5.8,8.1,6.170000000000001
Isovaline,0.154,0,0,0.3,0,0,0,0,0,0,0,0,2.0,0,11.87,0.08,0.73,0.0,0,0,0,,8.0,,88.0,92.0,101.0,37.0,5.1,0.41000000000000003,0,0,3.1,4.5,,0,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Norvaline,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.491,0.0,0.23,0.0,0,0,0,,2.9,,75.0,24.0,21.0,4.0,0.9,0.06,0,1.3,0.31,0.38,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
(R)-3-APA,0.146,3.6,0.0,0.0,0.0,1.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,0.12,1.6,0.0,0.0,0.0,0.0,,0.0,,73.0,108.0,92.0,10.0,1.4,0.44,0.0,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,
(S)-3-APA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D,L- and D,L-allo-3-A-2-MBA",0.25,2.1,0.0,0.0,0.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.08,1.1,0.55,,0,0,0,,1.4,,59.0,61.0,46.0,11.0,1.6,0.39,0.0,0.0,0.0,0.0,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
3-A-3-MBA,0.1,,,,,,,,,,,,,,0.25,0.23,0.0,,0,0,0,,0.92,,,,,,,0.0,,,0.0,0.0,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"3-A-2,2-DMPA",0.125,3.1,0.0,0.1,0.6,0.7,0.0,1.4,0.0,0.0,0.0,0.3,0.3,0.0,2.5,0.05,0.59,0.055,0,0,0,,0.98,,38.0,64.0,85.0,22.0,1.4,0.27,0.0,1.0,0.82,0.85,,0,,,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"D,L-3-A-2-EPA",0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,1.5,,0,0,0,,,,40.0,93.0,72.0,16.0,2.5,0.05,0.0,0.0,0.0,0.0,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"D,L-4-APA",0.5,0.2,0.0,1.5,0.0,8.7,0.3,0.8,0.9,0.0,0.2,0.0,0.0,0,1.37,0.14,2.4,,0,0,0,,0.46,,245.0,81.0,63.0,30.0,3.5,0.92,0.0,0.0,1.05,1.15,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"D,L-4-A-2-MBA",0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.11,1.5,0.0,0,0,0,,,,616.0,25.0,19.0,18.0,1.0,0.75,0.0,0.0,1.06,1.1,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"D,L-4-A-3-MBA",0.046,0.3,0.0,0.9,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.03,2.8,,0,0,0,,0.05,,1036.0,261.0,222.0,63.0,3.6,0.98,0.0,0.4,0.16,0.18,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
5-APA,1.01,51.0,4.4,71.0,66.0,151.0,41.0,77.0,93.0,7.9,38.0,1.6,25.0,5.2,6.4,1.26,1.2,1.2,0,0,0,,0.64,,553.0,85.0,124.0,30.0,6.4,,5.0,33.0,1.45,1.5,,0,,,,0.06,0.13,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Leucine,0.09,,,,,,,,,,,,,,2.2,0.0,0.0,0.0,0,0,0,,,0.0,,,,,,,,,0.0,0.0,,0,1418,6,,,,0.12,25.22,30.56,216.71,35.5,163.5,8.5,4.66,18,2.6,0.9,0.87,,49,65,95,6.35,4.98,,0.05,0.332,0.72,0.92,0.8,9.84,8.6,7.3,7.838333333333334
Isoleucine,0.069,,,,,,,,,,,,,,2.7,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,,,,,,0.65,3.84,30.22,116.27,67,177.5,,,,1.5,0.6,0.56,,35,43,81,2.53,2.42,,0.026,0.168,0.47,0.26,0.41,5.06,4.4,3.9,4.5505555555555555
epsi-Amino- n-caproic acid,0.19,1368.0,1060.0,960.0,1317.0,710.0,611.0,1880.0,1560.0,315.0,1290.0,190.0,550.0,532.0,0.9,0.0,0.82,4.5,0,0,0,,1.16,0.0,3879.0,2446.0,5702.0,2811.0,249.0,,211.0,50.0,2.3,2.5,,0,,,0.74,1.5,1.65,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Phenylalanine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,,,,,,1.42,25.82,51.52,99.99,35,,,,,0.9,0.35,0.44,,,,,4.36,3.54,,0.028,0.144,0.29,0.33,0.31,4.49,3.9,2.8,3.761666666666667
Methionine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,495.5,,,,,0.6,2.33,,,,,0.83,1,3,0.4,0.2,0.42,,,,,1.25,0.98,,0.018,0.008,0.21,0.15,0.2,2.96,1.9,2.6,0.9177777777777778
Lysine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,1272,12,,,,0.47,37.37,,,,,5.3,11.6,13,0.65,0.08,0.01,3,,,,,,,0.036,0.27,0.58,0.49,0.45,6.99,4.6,3.8,5.440555555555556
Arginine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,1651.5,7,,,,0.33,13.25,19.11,65.63,4.75,31,1.5,12.3,7,0.4,0.34,0.23,3,,,,5.34,7.39,,0.052,0.226,,,,7.38,6,5.6,4.509444444444444
Histidine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,4832,7.6,,,,0.14,20.71,18.06,27.5,,33.5,4,2.6,21,0.5,0.44,0.33,,,,,1.17,0.81,,0.012,0.061,,,,2.3,1.4,1.7,1.5333333333333334
Tyrosine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,0.0,0.0,,0,506,6.3,,,,,2.4,6.18,18.76,12.25,52.5,2.6,5.6,15,0.6,0.17,0.29,11,,,,0.82,0.5,,0.016,0.02,0.25,0.33,0.3,4.31,1.8,3,2.0044444444444443
Proline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,118,139,,,,0.022,0.194,0.37,0.55,0.53,3.32,4.5,4.8,
Cit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Orn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0.18055555555555555
allo-Ile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,46,,,,,,,,,,,,
Glutamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,5,,,,,,,,,,4.33,4,2,,,,,,,,,,,,0.369,,,,,,,
