%age(kyr)	%d18O(permille)	%d18O(sigma)
NaN	2.75609	0.125836
NaN	2.755056	0.123671
NaN	2.754227	0.121684
NaN	2.753939	0.120136
NaN	2.754306	0.119055
NaN	2.755257	0.118539
NaN	2.756503	0.118301
NaN	2.757907	0.118096
NaN	2.759439	0.118137
NaN	2.760906	0.118265
NaN	2.762402	0.118553
NaN	2.763793	0.118759
NaN	2.765133	0.118824
NaN	2.766099	0.11897
NaN	2.766523	0.119144
NaN	2.76615	0.119323
3.190523908	2.764958	0.119311
3.260914567	2.763223	0.119207
3.331305226	2.760445	0.119173
3.401695884	2.756635	0.119201
3.49194311	2.751923	0.119274
3.595392828	2.747033	0.119275
3.698842545	2.741845	0.119151
3.824102114	2.736879	0.119067
3.950343793	2.732384	0.119066
4.075575211	2.72836	0.119193
4.200538863	2.725332	0.119375
4.318628372	2.723222	0.119507
4.432171367	2.722429	0.119587
4.547953932	2.722986	0.11968
4.673089728	2.724822	0.119757
4.798153673	2.727353	0.119822
4.913855229	2.730292	0.119753
5.023773429	2.734074	0.119646
5.133404171	2.738484	0.119533
5.242957722	2.743592	0.119302
5.34685592	2.748114	0.118972
5.435872866	2.752384	0.118639
5.524889811	2.755793	0.118353
5.621661671	2.75848	0.11819
5.73218963	2.760711	0.118207
5.842306263	2.762676	0.118207
5.92102874	2.764183	0.118069
5.999751217	2.764682	0.117987
6.078473694	2.764205	0.118038
6.181674074	2.762387	0.118097
6.294541246	2.760132	0.117909
6.406016763	2.757462	0.117613
6.515554341	2.754849	0.117424
6.623430062	2.752278	0.117312
6.721033096	2.749771	0.117299
6.818636131	2.747576	0.11729
6.914414465	2.745732	0.117183
7.008199261	2.744252	0.117193
7.101984058	2.743207	0.117292
7.183712037	2.743106	0.117504
7.262462169	2.743311	0.117648
7.341212301	2.743978	0.117671
7.42576669	2.745439	0.11785
7.513953173	2.747645	0.11809
7.602139656	2.750236	0.118589
7.686420047	2.753157	0.119081
7.76952882	2.756138	0.119504
7.852637594	2.759048	0.119996
7.932062773	2.762227	0.120554
8.010257187	2.765557	0.12125
8.0884516	2.76894	0.121893
8.163439326	2.772448	0.122425
8.235374076	2.776059	0.123051
8.306933321	2.779005	0.123697
8.378232127	2.781524	0.124475
8.445895479	2.783724	0.125242
8.51355883	2.785512	0.125923
8.581222182	2.786865	0.126702
8.651364636	2.787898	0.127538
8.725325726	2.788965	0.128461
8.799286817	2.790188	0.1294
8.873371963	2.791549	0.130263
8.951067391	2.792933	0.131268
9.028762819	2.794851	0.132341
9.106458246	2.797021	0.133534
