/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Dust concentration measured with a coulter counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695984, 
	In supplement to: Lambert, F et al. (2008): Dust-climate couplings over the past 800,000 years from the EPICA Dome C ice core. Nature, 452, 616-619, https://doi.org/10.1038/nature06763
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 11.8269 m * MAXIMUM DEPTH, ice/snow: 3188.8650 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	New version of dataset doi:10.1594/PANGAEA.198744 published in Augustin et al. (2004, doi:10.1038/nature02599)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Dust concentration [µg/kg] (Dust conc) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Coulter counter
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	2308 data points
*/
Depth ice/snow [m]	Age model [ka]	Dust conc [µg/kg]
11.8269	0.124	13.86
16.4150	0.211	13.32
22.6900	0.338	16.88
28.1475	0.456	10.18
34.1950	0.596	20.00
38.9400	0.712	13.40
44.0975	0.839	10.35
49.6300	0.979	6.91
55.6775	1.136	11.36
61.4700	1.284	12.49
66.6500	1.419	12.05
71.6000	1.559	10.00
77.6500	1.740	11.86
82.6000	1.892	15.98
89.2000	2.098	20.83
94.1500	2.257	10.12
96.8250	2.348	6.70
97.3750	2.367	6.79
99.5750	2.444	12.74
101.7250	2.517	7.76
102.3250	2.536	14.61
102.7250	2.549	10.80
103.4250	2.572	23.60
105.6250	2.643	7.91
106.7250	2.679	8.36
108.3150	2.732	6.00
108.9250	2.751	18.24
110.5750	2.802	9.90
112.2250	2.853	7.02
113.1750	2.884	6.30
113.8200	2.905	8.05
114.4250	2.925	18.14
115.5250	2.962	13.48
117.7250	3.038	9.08
118.8250	3.075	8.40
119.9250	3.111	8.10
121.5750	3.166	11.55
123.2250	3.228	12.91
124.3250	3.268	8.38
124.7250	3.282	11.94
125.4250	3.307	9.74
127.0750	3.366	8.24
128.7250	3.426	9.75
129.8250	3.466	9.38
130.9250	3.504	10.72
132.8250	3.569	8.38
133.3750	3.588	10.67
133.6750	3.599	6.78
134.2250	3.619	4.94
134.6250	3.632	13.64
135.3250	3.655	14.16
136.4250	3.691	4.70
138.0750	3.746	9.02
139.7250	3.803	27.86
140.8250	3.843	7.50
141.9250	3.882	17.14
144.1250	3.961	14.79
145.2250	4.000	11.30
146.1750	4.034	11.02
146.3250	4.039	14.02
147.4250	4.077	18.24
150.1750	4.174	21.50
150.7250	4.194	10.63
151.8300	4.232	20.96
152.9250	4.270	3.79
155.1250	4.348	9.26
156.2250	4.387	32.40
157.3250	4.426	8.13
157.7250	4.441	7.46
158.4250	4.466	17.38
160.6250	4.543	14.85
161.7250	4.583	12.64
162.8250	4.623	16.55
163.9250	4.662	12.82
165.5750	4.722	10.76
167.2250	4.782	3.98
168.1750	4.817	15.66
168.3300	4.823	7.56
168.8750	4.843	10.12
169.9200	4.881	8.11
171.6250	4.940	7.30
172.7250	4.978	7.86
173.8250	5.019	15.32
174.9250	5.058	5.40
176.5750	5.119	12.42
178.2250	5.176	8.66
178.6250	5.189	6.96
179.3350	5.214	10.53
180.4250	5.254	13.31
183.1750	5.351	12.43
183.7250	5.371	12.04
184.8250	5.410	17.92
185.9250	5.454	15.11
188.1250	5.540	15.26
189.2300	5.581	14.04
189.6250	5.594	7.62
190.8200	5.636	11.34
191.4250	5.658	34.38
193.6250	5.737	10.91
194.7250	5.775	16.06
195.8250	5.812	12.04
196.9250	5.851	26.16
198.5750	5.906	16.56
