/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Dust concentration measured with a laser particle counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695985, 
	In supplement to: Lambert, F et al. (2008): Dust-climate couplings over the past 800,000 years from the EPICA Dome C ice core. Nature, 452, 616-619, https://doi.org/10.1038/nature06763
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.20 m * MAXIMUM DEPTH, ice/snow: 3188.90 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Dust concentration [µg/kg] (Dust conc) * PI: Stocker, Thomas F (https://orcid.org/0000-0003-1245-2728, thomas.stocker@climate.unibe.ch) * METHOD/DEVICE: Laser particle counter, KLOTZ
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10326 data points
*/
Depth ice/snow [m]	Age model [ka]	Dust conc [µg/kg]
24.20	0.371	22.50
24.75	0.383	57.20
27.50	0.442	28.00
28.05	0.454	36.90
28.60	0.466	43.70
29.15	0.478	17.00
29.70	0.490	27.00
30.25	0.503	13.40
30.80	0.516	15.90
31.35	0.529	25.90
31.90	0.542	9.27
32.45	0.555	25.60
33.00	0.568	5.85
33.55	0.581	14.70
34.10	0.594	7.25
34.65	0.606	21.20
35.20	0.619	9.36
35.75	0.632	30.70
37.40	0.672	41.30
38.50	0.701	6.93
39.05	0.715	21.40
39.60	0.729	11.50
40.15	0.744	18.70
40.70	0.759	30.10
41.25	0.772	41.20
41.80	0.786	8.46
42.35	0.799	20.30
43.45	0.825	23.70
44.00	0.837	56.60
45.10	0.862	29.50
45.65	0.875	47.90
46.20	0.889	24.90
46.75	0.903	45.40
47.30	0.917	8.28
47.85	0.932	35.50
48.40	0.947	10.20
48.95	0.961	45.00
49.50	0.976	10.50
50.05	0.990	14.00
50.60	1.005	14.00
51.15	1.019	50.20
51.70	1.032	26.00
52.25	1.047	10.60
52.80	1.061	9.90
53.35	1.075	22.70
53.90	1.089	19.20
54.45	1.104	19.20
55.00	1.118	12.80
55.55	1.133	25.70
56.10	1.147	8.19
56.65	1.161	28.00
57.20	1.174	6.93
57.75	1.188	19.70
58.30	1.201	9.45
58.85	1.215	35.60
59.40	1.229	12.60
59.95	1.244	20.70
60.50	1.258	13.10
61.05	1.273	19.60
61.60	1.287	17.10
62.15	1.302	26.10
62.70	1.316	16.80
63.25	1.330	46.80
63.80	1.345	63.40
64.35	1.359	45.40
64.90	1.373	10.30
65.45	1.387	12.00
66.00	1.401	12.00
66.55	1.416	10.10
67.10	1.432	40.60
67.65	1.448	39.60
68.20	1.463	10.40
68.75	1.479	8.64
69.30	1.494	5.40
69.85	1.510	8.46
70.40	1.525	12.80
70.95	1.541	8.01
71.50	1.556	10.90
72.05	1.572	20.00
72.60	1.588	10.40
73.15	1.604	15.60
73.70	1.621	6.57
74.25	1.637	16.70
74.80	1.654	9.27
75.35	1.670	14.90
75.90	1.686	9.18
76.45	1.702	24.30
77.55	1.737	18.60
78.10	1.754	12.80
78.65	1.771	24.50
79.20	1.787	11.90
79.75	1.804	26.50
80.30	1.822	32.00
80.85	1.839	22.00
81.40	1.856	6.66
81.95	1.873	18.10
82.50	1.889	24.20
83.05	1.905	27.80
83.60	1.922	12.90
84.15	1.938	30.20
84.70	1.956	8.46
85.25	1.973	15.60
85.80	1.990	13.60
86.35	2.007	25.20
86.90	2.025	8.96
87.45	2.044	30.70
88.00	2.061	4.86
88.55	2.078	21.50
89.10	2.095	8.10
89.65	2.113	23.40
90.20	2.130	9.27
90.75	2.147	23.30
91.30	2.165	12.00
91.85	2.184	21.00
92.40	2.202	6.03
92.95	2.219	14.00
93.50	2.237	7.65
94.05	2.253	21.30
94.60	2.271	29.10
95.15	2.289	38.90
95.70	2.306	10.90
96.25	2.327	22.20
96.80	2.347	19.40
97.35	2.367	18.20
98.45	2.405	23.90
99.00	2.424	56.30
358.60	11.554	25.10
359.15	11.573	45.60
361.35	11.649	30.20
361.90	11.667	32.90
362.45	11.686	10.70
363.00	11.704	7.50
363.55	11.723	6.12
364.10	11.742	12.00
364.65	11.760	23.30
365.20	11.779	18.90
365.75	11.798	26.10
366.30	11.820	5.67
366.85	11.841	11.30
367.40	11.863	14.60
367.95	11.884	9.09
368.50	11.905	25.60
369.05	11.927	15.60
369.60	11.949	15.80
370.15	11.972	20.10
370.70	11.993	11.80
371.25	12.014	13.20
371.80	12.037	11.20
372.35	12.059	20.70
372.90	12.082	14.10
373.45	12.106	15.10
374.00	12.131	13.50
374.55	12.156	12.20
375.10	12.181	17.90
375.65	12.205	25.60
376.20	12.227	12.80
376.75	12.250	14.70
377.30	12.273	15.80
377.85	12.297	14.10
378.40	12.324	17.10
378.95	12.350	25.00
379.50	12.376	19.30
380.05	12.402	17.40
380.60	12.427	10.80
381.15	12.452	24.00
381.70	12.477	13.40
382.25	12.503	34.40
382.80	12.530	20.30
383.35	12.559	21.50
383.90	12.588	19.40
384.45	12.617	22.90
385.00	12.646	30.70
385.55	12.673	23.50
386.10	12.700	29.10
386.65	12.727	29.70
387.20	12.754	33.50
387.75	12.784	29.10
388.30	12.813	18.30
388.85	12.841	31.80
389.40	12.867	22.20
389.95	12.894	27.40
390.50	12.922	24.50
391.05	12.950	47.70
392.70	13.032	32.90
393.25	13.059	43.30
393.80	13.087	28.70
394.35	13.115	38.90
394.90	13.143	24.80
395.45	13.170	34.80
396.00	13.196	31.10
396.55	13.222	24.70
