gene_del,pval,ab
recA,0.0031367399788452,MEC
atpF,0.0031367399788452,MEC
lpxM,0.0031367399788452,MEC
envZ,0.0031367399788452,MEC
hns,0.0031367399788452,MEC
dnaK,0.0031367399788452,MEC
pal,0.0031367399788452,MEC
sufC,0.0031367399788452,MEC
hfq,0.0031367399788452,MEC
uvrD,0.0031367399788452,MEC
seqA,0.0031367399788452,MEC
mutL,0.0031367399788452,MEC
tolC,0.0031367399788452,MEC
acrB,0.0031367399788452,MEC
fis,0.0031367399788452,MEC
tatC,0.0031367399788452,MEC
hda,0.0031367399788452,MEC
ihfA,0.0031367399788452,MEC
tolB,0.0107545370703265,MEC
ompR,0.0107545370703265,MEC
yfgA,0.0107545370703265,MEC
sapD,0.0179649653333863,MEC
rfaE,0.0392774397351056,MEC
uvrA,0.0008822081190502,NIT
recA,0.0008822081190502,NIT
dam,0.0008822081190502,NIT
yfiQ,0.0008822081190502,NIT
atpF,0.0008822081190502,NIT
rcsC,0.0008822081190502,NIT
gntY,0.0008822081190502,NIT
lon,0.0008822081190502,NIT
dnaK,0.0008822081190502,NIT
manX,0.0008822081190502,NIT
csdA,0.0008822081190502,NIT
cpxA,0.0008822081190502,NIT
lysS,0.0008822081190502,NIT
sufC,0.0008822081190502,NIT
sapD,0.0008822081190502,NIT
chaC,0.0008822081190502,NIT
gshB,0.0008822081190502,NIT
dnaJ,0.0008822081190502,NIT
acrB,0.0008822081190502,NIT
uvrB,0.0008822081190502,NIT
ppk,0.0008822081190502,NIT
ftn,0.0008822081190502,NIT
hns,0.0008822081190502,NIT
rsxD,0.0008822081190502,NIT
tatC,0.0008822081190502,NIT
nuoE,0.0008822081190502,NIT
seqA,0.0008822081190502,NIT
hfq,0.0008822081190502,NIT
holC,0.0008822081190502,NIT
phoQ,0.0008822081190502,NIT
sra,0.0008822081190502,NIT
dedD,0.0008822081190502,NIT
uvrC,0.0008822081190502,NIT
ycjU,0.0008822081190502,NIT
ptrB,0.0008822081190502,NIT
yccV,0.0008822081190502,NIT
ahpC,0.0008822081190502,NIT
soxR,0.0008822081190502,NIT
tolC,0.0008822081190502,NIT
soxS,0.0008822081190502,NIT
motB,0.0008822081190502,NIT
chaA,0.0008822081190502,NIT
fis,0.0008822081190502,NIT
ybdK,0.0008822081190502,NIT
cpxR,0.0008822081190502,NIT
relA,0.0008822081190502,NIT
hda,0.0008822081190502,NIT
yniC,0.0008822081190502,NIT
lpcA,0.0008822081190502,NIT
erfK,0.0008822081190502,NIT
maeB,0.0008822081190502,NIT
recO,0.0008822081190502,NIT
adhE,0.0008822081190502,NIT
galU,0.0008822081190502,NIT
cedA,0.0008822081190502,NIT
rsuA,0.0008822081190502,NIT
recF,0.0008822081190502,NIT
spr,0.0008822081190502,NIT
yggX,0.0008822081190502,NIT
ycbC,0.0008822081190502,NIT
ndh,0.0008822081190502,NIT
yedV,0.0008822081190502,NIT
fruR,0.0008822081190502,NIT
yobH,0.0008822081190502,NIT
cysE,0.0012832118095275,NIT
yciS,0.0012832118095275,NIT
lpxM,0.0012832118095275,NIT
rfaD,0.0012832118095275,NIT
hcp,0.0012832118095275,NIT
ycdR,0.0012832118095275,NIT
torR,0.0012832118095275,NIT
atoC,0.0012832118095275,NIT
ygdD,0.0012832118095275,NIT
galE,0.0012832118095275,NIT
tolQ,0.0012832118095275,NIT
tnaB,0.0012832118095275,NIT
rplA,0.0012832118095275,NIT
yddA,0.0012832118095275,NIT
atpD,0.0012832118095275,NIT
ybaD,0.0012832118095275,NIT
recG,0.0012832118095275,NIT
fiu,0.0012832118095275,NIT
rfaH,0.0012832118095275,NIT
ssuD,0.0012832118095275,NIT
nfsA,0.0012832118095275,NIT
crp,0.0012832118095275,NIT
ampG,0.0012832118095275,NIT
atoB,0.0012832118095275,NIT
nuoG,0.0021926726065714,NIT
gadX,0.0021926726065714,NIT
recR,0.0021926726065714,NIT
trxA,0.0021926726065714,NIT
cmr,0.0021926726065714,NIT
astC,0.0021926726065714,NIT
yaeI,0.0021926726065714,NIT
rfaC,0.0021926726065714,NIT
nfnB,0.0021926726065714,NIT
pepT,0.0021926726065714,NIT
purA,0.0021926726065714,NIT
rpiA,0.0021926726065714,NIT
htpG,0.0021926726065714,NIT
pepP,0.0021926726065714,NIT
kdsC,0.0021926726065714,NIT
dusB,0.0035288324762008,NIT
ompF,0.0035288324762008,NIT
cpdA,0.0035288324762008,NIT
bolA,0.0035288324762008,NIT
clpS,0.0035288324762008,NIT
minC,0.0035288324762008,NIT
yfbW,0.0035288324762008,NIT
rpoZ,0.0035288324762008,NIT
pepB,0.0035288324762008,NIT
cysA,0.0048521446547762,NIT
helD,0.0048521446547762,NIT
caiC,0.0048521446547762,NIT
ygbJ,0.0048521446547762,NIT
slt,0.0048521446547762,NIT
recN,0.0048521446547762,NIT
ldcA,0.0048521446547762,NIT
fur,0.0048521446547762,NIT
kdpE,0.0048521446547762,NIT
thrB,0.0048521446547762,NIT
oppF,0.0048521446547762,NIT
rfaE,0.0048521446547762,NIT
galT,0.0048521446547762,NIT
ddpX,0.0048521446547762,NIT
rpoD,0.0048521446547762,NIT
rfaP,0.0048521446547762,NIT
yjfF,0.0067416501037867,NIT
pal,0.0067416501037867,NIT
proQ,0.0067416501037867,NIT
yajI,0.0067416501037867,NIT
nuoB,0.0067416501037867,NIT
rfaF,0.0067416501037867,NIT
