/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Susceptibility of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808946, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	Depth, composite [mcd] (Depth comp) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html) * METHOD/DEVICE: Intercore correlation
	Magnetic susceptibility, volume [10**-6 SI] (kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
	ARM Susceptibility/susceptibility ratio [A/m] (ARM/kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	32289 data points
*/
Depth comp [mcd]	kappa [10**-6 SI]	ARM/kappa [A/m]
0.03	51.6	5.211
0.04	55.4	5.850
0.05	57.1	6.428
0.06	59.8	6.725
0.07	61.4	6.995
0.08	62.5	7.277
0.09	65.7	7.193
0.10	69.9	6.976
0.11	74.4	6.725
0.12	79.6	6.412
0.13	83.2	6.286
0.14	87.5	6.119
0.15	89.9	6.094
0.16	92.0	6.066
0.17	96.1	5.962
0.18	102.9	5.765
0.19	114.2	5.413
0.20	128.4	5.070
0.21	142.7	4.809
0.22	156.0	4.625
0.23	165.7	4.549
0.24	172.1	4.526
0.25	180.4	4.430
0.26	182.6	4.446
0.27	176.4	4.630
0.28	172.6	4.704
0.29	173.4	4.654
0.30	175.6	4.594
0.31	182.4	4.464
0.32	194.5	4.276
0.33	220.1	3.905
0.34	247.7	3.622
0.35	270.0	3.499
0.36	282.3	3.507
0.37	290.6	3.537
0.38	293.5	3.606
0.39	298.6	3.619
0.40	309.4	3.558
0.41	324.1	3.466
0.42	343.0	3.348
0.43	371.1	3.176
0.44	404.9	2.998
0.45	431.1	2.903
0.46	448.7	2.862
0.47	454.5	2.881
0.48	455.7	2.906
0.49	443.9	3.001
0.50	435.6	3.058
0.51	466.4	2.872
0.52	502.0	2.714
0.53	525.5	2.664
0.54	542.8	2.653
0.55	551.5	2.657
0.56	539.3	2.736
0.57	506.1	2.885
0.58	470.4	3.024
0.59	449.5	3.058
0.60	441.5	3.000
0.61	435.8	2.935
0.62	442.8	2.798
0.63	461.6	2.613
0.64	452.4	2.605
0.65	440.1	2.627
0.66	426.2	2.671
0.67	414.0	2.707
0.68	404.0	2.731
0.69	402.0	2.701
0.70	407.2	2.642
0.71	407.6	2.614
0.72	403.2	2.618
0.73	403.8	2.596
0.74	406.5	2.560
0.75	404.0	2.556
0.76	394.4	2.581
0.77	382.3	2.597
0.78	370.5	2.598
0.79	361.9	2.563
0.80	353.3	2.518
0.81	354.6	2.417
0.82	369.7	2.230
0.83	403.4	1.987
0.84	451.0	1.744
0.85	501.4	1.559
0.86	566.5	1.384
0.87	640.5	1.232
0.88	675.3	1.176
0.89	677.1	1.177
0.90	713.7	1.116
0.91	820.3	0.971
0.92	936.9	0.850
0.93	1009.4	0.794
0.94	1015.6	0.797
0.95	923.2	0.901
0.96	770.5	1.132
0.97	662.0	1.397
0.98	631.0	1.538
0.99	624.9	1.605
1.00	578.6	1.781
1.01	540.7	1.952
1.02	527.3	2.040
1.03	521.9	2.095
1.04	526.1	2.111
1.05	531.4	2.123
1.06	538.6	2.133
1.07	546.5	2.129
1.08	528.5	2.226
1.09	501.1	2.357
1.10	507.8	2.326
1.11	563.2	2.106
1.12	606.8	1.984
1.13	613.5	1.995
1.14	613.6	2.019
1.15	606.1	2.061
1.16	605.2	2.080
1.17	636.3	1.999
1.18	659.7	1.947
1.19	666.0	1.940
1.20	678.4	1.897
1.21	709.3	1.800
1.22	764.6	1.653
1.23	820.6	1.519
1.24	841.8	1.451
1.25	851.7	1.399
1.26	859.6	1.342
1.27	857.4	1.301
1.28	862.9	1.247
1.29	887.6	1.167
1.30	970.4	1.033
1.31	1129.6	0.868
1.32	1243.5	0.786
1.33	1170.5	0.859
1.34	928.5	1.156
1.35	708.6	1.646
1.36	580.3	2.166
1.37	512.5	2.565
1.38	480.6	2.777
1.39	468.0	2.825
1.40	467.6	2.774
1.41	463.2	2.756
1.42	445.1	2.829
1.43	434.6	2.874
1.44	448.8	2.783
1.45	476.3	2.638
1.46	487.5	2.593
1.47	448.2	2.782
1.53	320.2	2.001
1.54	352.8	2.152
1.55	366.7	2.282
1.56	377.9	2.347
1.57	394.8	2.311
1.58	410.8	2.252
1.59	419.2	2.218
1.60	417.0	2.224
1.61	398.9	2.300
1.62	372.5	2.409
1.63	344.5	2.517
1.64	338.4	2.451
1.65	357.2	2.202
1.66	372.5	2.004
1.67	373.7	1.917
1.68	376.5	1.836
1.69	393.6	1.711
1.70	424.2	1.564
1.71	446.6	1.480
1.72	451.9	1.474
1.73	454.9	1.492
1.74	465.5	1.506
1.75	482.6	1.526
1.76	487.5	1.603
1.77	473.8	1.745
1.78	467.4	1.834
1.79	464.4	1.867
1.80	451.1	1.911
1.81	438.4	1.949
1.82	433.2	1.949
1.83	434.3	1.933
1.84	444.8	1.893
1.85	452.5	1.888
1.86	447.6	1.948
1.87	439.1	2.021
1.88	427.4	2.088
1.89	422.5	2.106
1.90	426.2	2.082
1.91	431.9	2.048
1.92	440.0	2.016
1.93	446.6	1.998
1.94	457.4	1.956
1.95	474.2	1.892
1.96	491.1	1.832
1.97	503.5	1.797
1.98	515.6	1.770
1.99	525.0	1.752
2.00	528.6	1.754
2.01	520.9	1.785
2.02	501.6	1.834
2.03	477.8	1.873
2.04	464.6	1.844
2.05	455.2	1.794
2.06	429.0	1.816
2.07	419.1	1.799
2.08	439.0	1.689
2.09	457.1	1.638
2.10	465.9	1.662
2.11	475.2	1.693
2.12	479.6	1.740
2.13	462.8	1.841
2.14	427.0	1.984
2.15	394.7	2.082
2.16	387.0	2.026
2.17	401.9	1.870
2.18	397.0	1.836
2.19	366.0	1.950
2.20	340.7	2.073
2.21	321.5	2.189
2.22	306.1	2.283
2.23	312.1	2.222
2.24	349.1	1.965
2.25	382.5	1.781
2.26	387.0	1.760
2.27	383.5	1.782
2.28	387.0	1.780
2.29	392.4	1.768
2.30	403.8	1.749
2.31	418.1	1.719
2.32	421.9	1.739
2.33	411.1	1.816
2.34	408.5	1.852
2.35	423.6	1.821
2.36	434.5	1.828
2.37	425.5	1.914
2.38	394.4	2.090
2.39	371.5	2.219
2.40	405.5	2.026
2.41	471.6	1.791
2.42	509.7	1.760
2.43	499.4	1.912
2.44	451.5	2.210
2.45	424.6	2.415
2.46	457.1	2.293
2.47	534.7	2.031
2.48	616.6	1.838
2.49	647.4	1.805
2.50	636.7	1.847
2.51	633.4	1.801
2.52	642.4	1.686
2.53	646.6	1.574
2.54	663.6	1.443
2.55	690.1	1.315
2.56	697.6	1.232
2.57	671.0	1.210
2.58	612.1	1.252
2.59	544.7	1.329
2.60	494.0	1.389
2.61	511.0	1.274
2.62	718.2	0.868
2.63	1072.4	0.570
2.64	1429.0	0.433
2.65	1719.0	0.368
2.66	1918.5	0.335
2.67	2034.1	0.316
2.68	2112.9	0.302
2.69	2163.5	0.290
2.70	2187.2	0.283
2.71	2205.7	0.276
2.72	2223.7	0.269
2.73	2198.5	0.269
2.74	2088.4	0.279
2.75	1814.3	0.314
2.76	1323.4	0.422
2.77	832.7	0.649
2.78	564.8	0.934
2.79	453.7	1.147
2.80	419.6	1.234
2.81	419.8	1.245
2.82	408.9	1.309
2.83	375.7	1.452
2.84	345.5	1.600
2.85	331.0	1.693
2.86	324.1	1.753
2.87	318.8	1.806
2.88	313.4	1.860
2.89	308.6	1.914
2.90	307.0	1.940
2.91	304.2	1.983
2.92	298.1	2.040
2.93	297.6	2.061
2.95	292.1	2.030
2.96	292.0	2.057
2.97	294.5	2.056
2.98	294.5	2.074
2.99	297.6	2.069
3.00	304.0	2.042
3.01	308.6	2.028
3.02	309.8	2.037
3.03	301.9	2.114
3.04	285.4	2.254
3.05	275.3	2.355
3.06	271.2	2.409
3.07	267.2	2.474
3.08	264.5	2.518
3.09	262.9	2.553
3.10	260.7	2.593
3.11	265.1	2.578
3.12	278.2	2.494
3.13	300.2	2.361
3.14	326.5	2.240
3.15	353.3	2.148
3.16	376.3	2.104
3.17	395.6	2.077
3.18	409.7	2.080
3.19	414.1	2.112
3.20	407.2	2.197
3.21	395.8	2.293
3.22	395.3	2.327
3.23	417.9	2.243
3.24	438.2	2.202
3.25	441.8	2.247
3.26	425.1	2.377
3.27	405.3	2.499
3.28	406.1	2.482
3.29	419.8	2.395
3.30	427.5	2.363
3.31	433.5	2.337
3.32	437.0	2.306
3.33	425.9	2.337
3.34	406.1	2.402
3.35	396.4	2.403
3.36	396.0	2.361
3.37	406.4	2.263
3.38	427.6	2.128
3.39	451.9	2.002
3.40	471.3	1.909
3.41	501.0	1.776
3.42	554.2	1.578
3.43	623.9	1.370
3.44	714.0	1.165
3.45	843.1	0.954
3.46	979.2	0.791
3.47	1146.6	0.647
3.48	1391.9	0.513
3.49	1693.5	0.407
3.50	1989.9	0.336
3.51	2185.4	0.299
3.52	2292.6	0.277
3.53	2332.8	0.267
3.54	2296.9	0.266
3.55	2201.4	0.273
3.56	2088.7	0.282
3.57	2042.9	0.283
3.58	2000.9	0.284
3.59	1954.2	0.289
3.60	1817.3	0.315
3.61	1500.7	0.394
3.62	1033.2	0.603
3.63	656.8	1.014
3.64	473.4	1.513
3.65	378.8	2.030
3.66	331.9	2.454
