sample_id,tracer,final_value,uncertainty,candidate_source,unit,compilation,reference
s_MALETTO [6299],OS,0.000188,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[6299]
s_SILVESTRI [6299],OS,2e-06,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[6299]
s_MALETTO [6299],RE,0.000838,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[6299]
s_SILVESTRI [6299],RE,0.000669,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[6299]
s_A1(BOTTOM) [20691],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_A1(TOP) [20691],MO,4.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_A2 [20691],MO,4.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_A3 [20691],MO,4.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_A4 [20691],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_B(LAPILLI) [20691],MO,5.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_C1 [20691],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_D1 [20691],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_D2 [20691],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_16-SF-214 [24837],MO,3.447572,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[24837]
s_16-RM-308 [24837],MO,3.110132,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[24837]
s_ET-1 [25716],MO,1.19499,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-2 [25716],MO,1.295726,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-3 [25716],MO,3.685579,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-4 [25716],MO,3.449306,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-5 [25716],MO,2.769435,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-6 [25716],MO,2.893667,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_CD-1 [28539],MO,2.5,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-2 [28539],MO,5.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-3 [28539],MO,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-5 [28539],MO,2.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-6 [28539],MO,2.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-7 [28539],MO,2.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-8 [28539],MO,3.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-9 [28539],MO,3.6,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
s_CD-10 [28539],MO,2.6,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28539]
