time,variable,value,region
1850.03833,hadcrut5_surface_temperature_anomaly_C,-0.7336946831999995,global
1850.123203,hadcrut5_surface_temperature_anomaly_C,-0.3604363708249998,global
1850.199863,hadcrut5_surface_temperature_anomaly_C,-0.62713148855,global
1850.284736,hadcrut5_surface_temperature_anomaly_C,-0.6052969973000001,global
1850.366872,hadcrut5_surface_temperature_anomaly_C,-0.5315167668499999,global
1850.451745,hadcrut5_surface_temperature_anomaly_C,-0.3517499446750001,global
1850.533881,hadcrut5_surface_temperature_anomaly_C,-0.1755467131814999,global
1850.618754,hadcrut5_surface_temperature_anomaly_C,-0.223459228115,global
1850.703628,hadcrut5_surface_temperature_anomaly_C,-0.3938136516000003,global
1850.785763,hadcrut5_surface_temperature_anomaly_C,-0.5161554846500003,global
1850.870637,hadcrut5_surface_temperature_anomaly_C,-0.2765473366600001,global
1850.952772,hadcrut5_surface_temperature_anomaly_C,-0.32244865308,global
1851.03833,hadcrut5_surface_temperature_anomaly_C,-0.26558566862,global
1851.123203,hadcrut5_surface_temperature_anomaly_C,-0.46734078625,global
1851.199863,hadcrut5_surface_temperature_anomaly_C,-0.6410052657499996,global
1851.284736,hadcrut5_surface_temperature_anomaly_C,-0.5282866154999997,global
1851.366872,hadcrut5_surface_temperature_anomaly_C,-0.2218367782525699,global
1851.451745,hadcrut5_surface_temperature_anomaly_C,-0.2073365879599999,global
1851.533881,hadcrut5_surface_temperature_anomaly_C,-0.1364096405064,global
1851.618754,hadcrut5_surface_temperature_anomaly_C,-0.1475634754025,global
1851.703628,hadcrut5_surface_temperature_anomaly_C,-0.1459551062775,global
1851.785763,hadcrut5_surface_temperature_anomaly_C,-0.04530318212,global
1851.870637,hadcrut5_surface_temperature_anomaly_C,-0.1076697905514999,global
1851.952772,hadcrut5_surface_temperature_anomaly_C,-0.24792687805,global
1852.03833,hadcrut5_surface_temperature_anomaly_C,-0.3458982708999999,global
1852.123203,hadcrut5_surface_temperature_anomaly_C,-0.49635816715,global
1852.202601,hadcrut5_surface_temperature_anomaly_C,-0.5669252117499999,global
1852.287474,hadcrut5_surface_temperature_anomaly_C,-0.5746307910500001,global
1852.36961,hadcrut5_surface_temperature_anomaly_C,-0.1125670281167,global
1852.454483,hadcrut5_surface_temperature_anomaly_C,-0.0771973622067999,global
1852.536619,hadcrut5_surface_temperature_anomaly_C,0.00896463689995,global
1852.621492,hadcrut5_surface_temperature_anomaly_C,-0.149003328794,global
1852.706366,hadcrut5_surface_temperature_anomaly_C,-0.006418368869426,global
1852.788501,hadcrut5_surface_temperature_anomaly_C,-0.1576452634954999,global
1852.873374,hadcrut5_surface_temperature_anomaly_C,-0.2752179758749999,global
1852.95551,hadcrut5_surface_temperature_anomaly_C,0.0642619385414999,global
1853.03833,hadcrut5_surface_temperature_anomaly_C,-0.20419329589,global
1853.123203,hadcrut5_surface_temperature_anomaly_C,-0.3986166021000001,global
1853.199863,hadcrut5_surface_temperature_anomaly_C,-0.27264057962,global
1853.284736,hadcrut5_surface_temperature_anomaly_C,-0.4010711602,global
1853.366872,hadcrut5_surface_temperature_anomaly_C,-0.270081009605,global
1853.451745,hadcrut5_surface_temperature_anomaly_C,-0.1243004644529999,global
1853.533881,hadcrut5_surface_temperature_anomaly_C,-0.07192186035465,global
1853.618754,hadcrut5_surface_temperature_anomaly_C,-0.0398180628868799,global
