lineage_id,parent_id,generation,condition_id,yield,polymer_length,compartment_stability,copy_fidelity,condition,arm,replicate,well,source_file,generation_duration_h,fed,resuspended,mapping_mode
FR-30min_log:drift:g0:A1,,0,FR-30min_log:drift,0.094,,,,FR,drift,1,A1,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A10,,0,FR-30min_log:drift,0.119,,,,FR,drift,1,A10,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A2,,0,FR-30min_log:drift,0.093,,,,FR,drift,1,A2,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A3,,0,FR-30min_log:drift,0.096,,,,FR,drift,1,A3,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A4,,0,FR-30min_log:drift,0.085,,,,FR,drift,1,A4,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A5,,0,FR-30min_log:drift,0.087,,,,FR,drift,1,A5,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A6,,0,FR-30min_log:drift,0.1,,,,FR,drift,1,A6,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:A7,,0,FR-30min_log:drift,0.085,,,,FR,drift,1,A7,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B10,,0,FR-30min_log:drift,0.069,,,,FR,drift,1,B10,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B11,,0,FR-30min_log:drift,0.066,,,,FR,drift,1,B11,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B4,,0,FR-30min_log:drift,0.103,,,,FR,drift,1,B4,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B6,,0,FR-30min_log:drift,0.108,,,,FR,drift,1,B6,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B7,,0,FR-30min_log:drift,0.181,,,,FR,drift,1,B7,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:B8,,0,FR-30min_log:drift,0.066,,,,FR,drift,1,B8,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C1,,0,FR-30min_log:drift,0.07,,,,FR,drift,1,C1,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C11,,0,FR-30min_log:drift,0.109,,,,FR,drift,1,C11,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C3,,0,FR-30min_log:drift,0.073,,,,FR,drift,1,C3,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C4,,0,FR-30min_log:drift,0.078,,,,FR,drift,1,C4,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C6,,0,FR-30min_log:drift,0.107,,,,FR,drift,1,C6,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:C9,,0,FR-30min_log:drift,0.075,,,,FR,drift,1,C9,FR-30min_log.xlsx,0.5,True,True,coded_lineage
FR-30min_log:drift:g0:D1,,0,FR-30min_log:drift,0.146,,,,FR,drift,1,D1,FR-30min_log.xlsx,0.5,True,True,coded_lineage
