source_file,sheet,condition,arm,generation,well,measurement,value,header_original
FR2_log.xlsx,drdata,FR,drift,1,A1,pre_amphiphile_turbidity_A400,0.635,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A2,pre_amphiphile_turbidity_A400,0.467,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A3,pre_amphiphile_turbidity_A400,0.561,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A4,pre_amphiphile_turbidity_A400,0.888,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A5,pre_amphiphile_turbidity_A400,0.453,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A6,pre_amphiphile_turbidity_A400,0.451,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A7,pre_amphiphile_turbidity_A400,0.175,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A8,pre_amphiphile_turbidity_A400,0.668,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A9,pre_amphiphile_turbidity_A400,0.618,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A10,pre_amphiphile_turbidity_A400,0.508,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A11,pre_amphiphile_turbidity_A400,0.524,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,A12,pre_amphiphile_turbidity_A400,0.538,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B1,pre_amphiphile_turbidity_A400,0.525,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B2,pre_amphiphile_turbidity_A400,0.453,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B3,pre_amphiphile_turbidity_A400,0.517,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B4,pre_amphiphile_turbidity_A400,0.683,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B5,pre_amphiphile_turbidity_A400,0.761,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B6,pre_amphiphile_turbidity_A400,0.653,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B7,pre_amphiphile_turbidity_A400,0.568,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B8,pre_amphiphile_turbidity_A400,0.53,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B9,pre_amphiphile_turbidity_A400,0.672,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B10,pre_amphiphile_turbidity_A400,0.701,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B11,pre_amphiphile_turbidity_A400,0.476,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,B12,pre_amphiphile_turbidity_A400,0.619,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C1,pre_amphiphile_turbidity_A400,0.575,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C2,pre_amphiphile_turbidity_A400,0.444,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C3,pre_amphiphile_turbidity_A400,0.518,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C4,pre_amphiphile_turbidity_A400,0.887,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C5,pre_amphiphile_turbidity_A400,0.153,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C6,pre_amphiphile_turbidity_A400,0.544,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C7,pre_amphiphile_turbidity_A400,0.631,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C8,pre_amphiphile_turbidity_A400,0.605,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C9,pre_amphiphile_turbidity_A400,0.603,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C10,pre_amphiphile_turbidity_A400,0.547,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C11,pre_amphiphile_turbidity_A400,0.574,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,C12,pre_amphiphile_turbidity_A400,0.514,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D1,pre_amphiphile_turbidity_A400,0.484,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D2,pre_amphiphile_turbidity_A400,0.489,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D3,pre_amphiphile_turbidity_A400,0.653,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D4,pre_amphiphile_turbidity_A400,0.575,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D5,pre_amphiphile_turbidity_A400,0.271,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D6,pre_amphiphile_turbidity_A400,0.497,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D7,pre_amphiphile_turbidity_A400,0.564,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D8,pre_amphiphile_turbidity_A400,0.486,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D9,pre_amphiphile_turbidity_A400,0.381,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D10,pre_amphiphile_turbidity_A400,0.462,24G1DPM
FR2_log.xlsx,drdata,FR,drift,1,D11,pre_amphiphile_turbidity_A400,0.467,24G1DPM
